eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
0.1000	0.6000	5210.00	7.403706047183956e0	8.558718938244736e0	8.650483910740904e-1
0.1000	0.6000	5410.00	3.129187171550517e0	8.596373989290679e0	3.640124516975231e-1
0.1000	0.6000	5610.00	3.433126457785434e0	8.632662441222351e0	3.976903395865108e-1
0.1000	0.6000	5810.00	6.550842369245478e0	8.667680024690174e0	7.557780571716061e-1
0.1000	0.6000	6010.00	3.439548178465260e0	8.701512750872865e0	3.952816340032637e-1
0.1000	0.6000	6210.00	3.105897634785802e0	8.734238184268579e0	3.556002904042507e-1
0.1000	0.6000	6410.00	2.863164601465414e0	8.765926513729443e0	3.266242988668732e-1
0.1000	0.6000	6610.00	4.248996932672056e0	8.796641458940915e0	4.830249081430245e-1
0.1000	0.6000	6810.00	2.593768246160013e0	8.826441041782578e0	2.938634307850289e-1
0.1000	0.6000	7010.00	2.515027755008418e0	8.855378246041125e0	2.840113301916588e-1
0.1000	0.6000	7210.00	2.415856268302081e0	8.883501584323207e0	2.719486505822618e-1
0.1000	0.6000	7410.00	3.317597280096142e0	8.910855587405250e0	3.723096225221390e-1
0.1000	0.6000	7610.00	4.555636605257973e0	8.937481228416040e0	5.097226487898709e-1
0.1000	0.6000	7810.00	7.476187572099508e0	8.963416291996570e0	8.340779149993282e-1
0.1000	0.6000	8010.00	1.900189153686584e0	8.988695696785708e0	2.113976507588389e-1
0.1000	0.6000	8210.00	2.545284493706650e0	9.013351778138825e0	2.823904532251850e-1
0.1000	0.6000	8410.00	7.604233858967303e0	9.037414536822590e0	8.414169592402950e-1
0.1000	0.6000	8610.00	7.250866729648285e0	9.060911858484253e0	8.002358750304894e-1
0.1000	0.6000	8810.00	4.837403441060328e0	9.083869707922235e0	5.325267310738204e-1
0.1000	0.6000	9010.00	5.345976095580094e0	9.106312301552135e0	5.870626790022229e-1
0.1000	0.6000	9210.00	2.945834016815664e0	9.128262260940575e0	3.227157516519606e-1
0.1000	0.6000	9410.00	3.021202212893422e0	9.149740749847252e0	3.301953897375572e-1
0.1000	0.6000	9610.00	3.328164813404762e0	9.170767596856360e0	3.629101684515068e-1
0.1000	0.6000	9810.00	1.809177638680470e0	9.191361405378380e0	1.968345665987868e-1
0.1000	0.6000	12000.00	7.659617002391651e0	9.392828581549459e0	8.154750122276910e-1
0.1000	0.6000	15000.00	8.763170980116493e0	9.615938804529582e0	9.113172575504127e-1
0.1000	0.6000	20000.00	4.171111571536112e0	9.903587547536461e0	4.211717775518313e-1
