x	f_N	f_N_minus_1	abs_dev
0.00523000	1.861470310056399e0	8.614703100563990e-1	8.614703100563990e-1
0.00525000	1.817030621706817e0	8.170306217068166e-1	8.170306217068166e-1
0.00527000	9.753913012609362e-1	-2.460869873906379e-2	2.460869873906379e-2
0.00529000	9.316223934416058e-1	-6.837760655839420e-2	6.837760655839420e-2
0.00531000	7.304263410034388e-1	-2.695736589965612e-1	2.695736589965612e-1
0.00533000	2.643729029664179e-1	-7.356270970335821e-1	7.356270970335821e-1
0.00535000	-2.784179561403632e-1	-1.278417956140363e0	1.278417956140363e0
0.00537000	-3.208900751420653e-1	-1.320890075142065e0	1.320890075142065e0
0.00539000	5.057274529687771e-1	-4.942725470312229e-1	4.942725470312229e-1
0.00541000	4.638822222629312e-1	-5.361177777370687e-1	5.361177777370687e-1
0.00543000	4.223452437170007e-1	-5.776547562829992e-1	5.776547562829992e-1
0.00545000	3.707355129338800e-1	-6.292644870661200e-1	6.292644870661200e-1
0.00547000	1.179289909702653e0	1.792899097026530e-1	1.792899097026530e-1
0.00549000	1.138657523650603e0	1.386575236506031e-1	1.386575236506031e-1
0.00551000	-6.957594141349305e-2	-1.069575941413493e0	1.069575941413493e0
0.00553000	-1.096215839854210e-1	-1.109621583985421e0	1.109621583985421e0
0.00555000	-1.493786093135860e-1	-1.149378609313586e0	1.149378609313586e0
0.00557000	2.051069674435892e0	1.051069674435892e0	1.051069674435892e0
0.00559000	2.011880601140131e0	1.011880601140131e0	1.011880601140131e0
0.00561000	1.972970950826846e0	9.729709508268465e-1	9.729709508268465e-1
0.00563000	9.343377456312580e-1	-6.566225436874196e-2	6.566225436874196e-2
0.00565000	1.627177048802463e0	6.271770488024628e-1	6.271770488024628e-1
0.00567000	1.589087968161955e0	5.890879681619552e-1	5.890879681619552e-1
0.00569000	7.923376771198694e-1	-2.076623228801306e-1	2.076623228801306e-1
0.00571000	7.547813059750031e-1	-2.452186940249969e-1	2.452186940249969e-1
0.00573000	-1.276978078363417e-1	-1.127697807836342e0	1.127697807836342e0
0.00575000	1.804540859932059e-1	-8.195459140067940e-1	8.195459140067940e-1
0.00577000	1.436760664661500e-1	-8.563239335338499e-1	8.563239335338499e-1
0.00579000	1.071521265213056e-1	-8.928478734786944e-1	8.928478734786944e-1
0.00581000	7.087964227315906e-2	-9.291203577268410e-1	9.291203577268410e-1
0.00583000	-5.061978386015855e-2	-1.050619783860159e0	1.050619783860159e0
0.00585000	7.630879172021856e-1	-2.369120827978144e-1	2.369120827978144e-1
0.00587000	7.275544137190467e-1	-2.724455862809533e-1	2.724455862809533e-1
0.00589000	-5.484808057098136e-1	-1.548480805709814e0	1.548480805709814e0
0.00591000	-5.835341308517804e-1	-1.583534130851780e0	1.583534130851780e0
0.00593000	-6.183510086066006e-1	-1.618351008606601e0	1.618351008606601e0
0.00595000	-6.529338233177170e-1	-1.652933823317717e0	1.652933823317717e0
0.00597000	1.886399483905273e0	8.863994839052729e-1	8.863994839052729e-1
0.00599000	1.852277769522023e0	8.522777695220234e-1	8.522777695220234e-1
0.00601000	1.818383154735349e0	8.183831547353486e-1	8.183831547353486e-1
0.00603000	7.416203060396007e-1	-2.583796939603993e-1	2.583796939603993e-1
0.00605000	7.081731412338866e-1	-2.918268587661134e-1	2.918268587661134e-1
0.00607000	5.974954060880727e-1	-4.025045939119273e-1	4.025045939119273e-1
0.00609000	5.644868890642081e-1	-4.355131109357919e-1	4.355131109357919e-1
0.00611000	2.931338397183245e-1	-7.068661602816755e-1	7.068661602816755e-1
0.00613000	2.605553976473382e-1	-7.394446023526617e-1	7.394446023526617e-1
0.00615000	2.281888478825077e-1	-7.718111521174923e-1	7.718111521174923e-1
0.00617000	1.960321298827729e-1	-8.039678701172270e-1	8.039678701172270e-1
0.00619000	8.942074882335028e-1	-1.057925117664972e-1	1.057925117664972e-1
0.00621000	8.624643582342220e-1	-1.375356417657780e-1	1.375356417657780e-1
0.00623000	-1.087879979438410e-1	-1.108787997943841e0	1.108787997943841e0
0.00625000	-1.401254680654203e-1	-1.140125468065420e0	1.140125468065420e0
0.00627000	2.173340745129316e-1	-7.826659254870685e-1	7.826659254870685e-1
0.00629000	1.035879539660863e0	3.587953966086310e-2	3.587953966086310e-2
0.00631000	1.005136132827903e0	5.136132827902706e-3	5.136132827902706e-3
0.00633000	2.853969578292802e-2	-9.714603042170720e-1	9.714603042170720e-1
0.00635000	-1.817004416311965e-3	-1.001817004416312e0	1.001817004416312e0
0.00637000	-3.198308169438389e-2	-1.031983081694384e0	1.031983081694384e0
0.00639000	-6.196032593784755e-2	-1.061960325937848e0	1.061960325937848e0
0.00641000	-9.175050469462075e-2	-1.091750504694621e0	1.091750504694621e0
0.00643000	1.206309915483349e0	2.063099154833485e-1	2.063099154833485e-1
0.00645000	1.176888652680377e0	1.768886526803775e-1	1.768886526803775e-1
0.00647000	1.409088655950655e0	4.090886559506548e-1	4.090886559506548e-1
0.00649000	1.380029498410483e0	3.800294984104828e-1	3.800294984104828e-1
0.00651000	-6.556375118331417e-1	-1.655637511833142e0	1.655637511833142e0
0.00653000	-6.843412081810671e-1	-1.684341208181067e0	1.684341208181067e0
0.00655000	1.366153873877095e-1	-8.633846126122905e-1	8.633846126122905e-1
0.00657000	1.082606697175329e-1	-8.917393302824671e-1	8.917393302824671e-1
0.00659000	6.348675501896721e-1	-3.651324498103279e-1	3.651324498103279e-1
0.00661000	6.068554853580530e-1	-3.931445146419470e-1	3.931445146419470e-1
