# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
785	-2.843667667822001e-01
786	1.575682947868541e+00
787	3.696601723902896e-01
788	8.551124278503944e-01
789	-3.174776775644924e-01
790	1.165379252123780e+00
791	-5.774884243430906e-01
792	-3.630808757818015e-01
793	-6.682945282313022e-01
794	-1.014778266692776e+00
795	2.352223710270943e-01
796	8.427105121370145e-01
797	4.067645676856039e-01
798	-1.117451061538982e+00
799	-5.731269852659550e-01
800	-2.273491591223202e-01
801	-2.912884415455442e-01
802	-1.246400447670178e+00
803	-5.111416168981586e-01
804	-6.829644120522652e-01
805	7.311642882869421e-01
806	1.204115861332343e+00
807	-2.572856358023406e-01
808	1.502361108604877e-01
809	4.298284938388350e-01
810	2.489528110538983e-01
811	3.657911062232659e-01
812	-7.214007829831010e-01
813	-1.665502113702276e-01
814	9.883059838593626e-01
815	-4.895840601640031e-01
816	-4.234810639124171e-01
817	-7.117643344453830e-01
818	-1.371248346944650e+00
819	-7.560569549616721e-02
820	-9.343945346440066e-01
821	3.464225384730538e-01
822	1.424249005846745e+00
823	4.643442347479977e-01
824	3.407983700685508e-01
825	4.166850557888677e-01
826	1.394614885944267e+00
827	5.675008274580106e-01
828	2.434450146897143e-01
829	5.583303241201277e-01
830	1.205753010519591e+00
831	-8.862060791650929e-02
832	1.512377724601717e-01
833	1.847141054895224e-02
834	1.065529377249690e+00
835	-3.065530756572080e-01
836	-8.987229787629036e-01
837	-1.963030639064974e-03
838	-1.146607333212176e+00
839	1.029177724587351e-01
840	5.018965262722486e-01
841	-1.228408725591338e-01
842	-7.458102153571813e-01
843	-4.756631794820901e-01
844	7.038295518372121e-01
845	1.124203938091095e-01
846	1.624722118002647e-01
847	1.801128047621226e-01
848	2.440295238924659e-01
849	-2.491358835113511e-01
850	1.952878992767553e-02
851	-3.600073160944881e-01
852	-6.133846068535989e-01
853	4.151307183852660e-01
854	1.403848495302248e+00
855	1.971987053724127e-01
856	3.431763293422117e-01
857	4.353966619091699e-01
858	-1.162239511279007e+00
859	4.292577759389686e-01
860	-8.324170593700549e-01
861	3.755871616308989e-01
862	-9.890976822726277e-01
863	1.607663927694717e-01
864	-9.206110140657017e-02
865	-8.158224102155578e-01
866	-1.222717171520479e+00
867	-6.318813320751716e-02
868	-9.599542872118578e-01
869	-5.632235778634324e-01
870	-1.427930430175033e+00
871	-4.376452035477298e-01
872	1.200724050999131e-01
873	2.972830654776393e-01
874	1.313060387402831e+00
875	1.489731266093032e-01
876	-4.783827730550599e-01
877	2.336097126265933e-01
878	-9.133004010426609e-01
879	-6.440135381742517e-01
880	-8.081141788450762e-02
881	3.049103255964591e-01
882	-2.067717709459224e-01
883	3.309274136242768e-01
884	-5.591116113118534e-01
885	2.634705481653130e-01
886	-8.582989107847283e-01
887	1.880613646764593e-01
888	8.683899867405760e-03
889	-4.299243418809541e-01
890	1.294974013448989e+00
891	1.984098921727983e-01
892	7.711344795353148e-01
893	-2.954862757951992e-01
894	1.194139903155368e+00
895	-3.442051891000247e-01
896	-6.815040160448194e-02
897	1.788455539216597e-01
898	-1.049805129407414e+00
899	-5.997364565436653e-01
900	2.555170612836692e-01
901	-1.471143274112390e-01
902	1.326631591577443e+00
903	7.231700814383841e-01
904	1.570613331530067e-01
905	-3.249270779897513e-01
906	1.153545441072455e+00
907	3.000309604763856e-01
908	5.880134747808915e-01
909	7.477265363197802e-02
910	-1.146203881643608e+00
911	2.103361248512769e-01
912	-3.728370326491559e-01
913	-6.620998481120809e-01
914	-1.124321316556666e+00
915	8.346028598266438e-02
916	4.925529504762965e-01
917	-3.418042845654150e-01
918	6.389558476493729e-02
919	3.337394809877494e-01
920	-8.945823622009741e-02
921	-5.304879469506630e-01
922	-1.094953375121127e+00
923	-5.701628137518430e-01
924	-6.589362516888590e-02
925	-1.474870106072392e-01
926	-1.199893761881608e+00
927	-1.268260452124521e-01
928	-1.610916322493635e-01
929	3.428997449632365e-01
930	-1.250841511166047e+00
931	3.999572377357139e-02
932	5.738234859283762e-01
933	-7.743554842716551e-01
934	-9.711666525978930e-01
935	3.137455107152305e-01
936	-8.876294288222697e-02
937	3.381908032352801e-01
938	1.064028843250648e+00
939	-2.060596755036605e-01
940	-6.747116751654603e-01
941	4.654126802957684e-01
942	1.036734545387036e+00
943	-4.298280420355622e-01
944	5.174011356039760e-02
945	8.685306668534337e-02
946	1.257765696793600e+00
947	4.713171299133556e-01
948	-5.478347294120767e-01
949	-2.952179382565859e-01
950	6.773304193092308e-02
951	-5.319685017268481e-01
952	-1.024647667095102e-01
953	3.443485150477822e-01
954	3.037270514592019e-01
955	-3.553455319905246e-01
956	5.828232432378688e-01
957	4.618750260178146e-01
958	-7.498156463810287e-01
959	-5.172466038199975e-01
960	-5.765793760127322e-02
961	5.360221573392250e-02
962	1.027831827387844e+00
963	5.037809562283647e-02
964	3.309490980592937e-01
965	-3.003944737425175e-01
966	-1.178833788053074e+00
967	3.312256543933177e-01
968	5.213817250087446e-02
969	6.137473080745449e-01
970	1.307313735448216e+00
971	5.341962699770759e-01
972	-9.197844975810549e-03
973	-4.771117926961789e-01
974	-1.038306658396149e+00
975	5.760762523820015e-02
976	3.622557453835349e-03
977	4.277811771684270e-01
978	1.223554702677911e+00
979	-3.424514190676571e-01
980	-8.733879581715853e-02
981	-2.072960513520844e-01
982	-1.088369845643842e+00
983	-1.089194659382270e-03
984	7.019189026165917e-02
985	-1.766152141335122e-01
986	1.221357840517134e+00
987	5.406016350133639e-01
988	-5.039545056583619e-01
989	-4.411511094638348e-01
990	-4.185710013938151e-01
991	1.955541335837705e-01
992	-1.303488976753865e-01
993	-3.910118572898426e-01
994	1.024768564409531e+00
995	-2.573078167684658e-01
996	-8.000799141803203e-01
997	1.950394927218237e-01
998	-8.609160283507675e-01
999	5.464446809556919e-02
1000	-1.579055051680763e-01
1001	4.368230799749989e-01
1002	1.060685922309238e+00
1003	-3.814572147380857e-01
1004	3.911851095549616e-01
1005	2.063082624402738e-01
