energy	count	normalized
1.094757137733201e-4	95	4.773869346733668e-1
1.185784424095922e-4	96	4.824120603015075e-1
1.232954713883166e-4	97	4.874371859296482e-1
1.272413103775135e-4	98	4.924623115577890e-1
1.361097161941017e-4	99	4.974874371859296e-1
1.401848621649974e-4	100	5.025125628140703e-1
1.465568042672015e-4	101	5.075376884422110e-1
1.526909302279545e-4	102	5.125628140703518e-1
1.631661750496743e-4	103	5.175879396984925e-1
1.700874971058953e-4	104	5.226130653266332e-1
1.737346219416528e-4	105	5.276381909547738e-1
1.835348982367630e-4	106	5.326633165829145e-1
1.904887830301941e-4	107	5.376884422110553e-1
1.975557917232623e-4	108	5.427135678391960e-1
2.075959573674952e-4	109	5.477386934673367e-1
2.096878428868561e-4	110	5.527638190954773e-1
2.204111782153883e-4	111	5.577889447236181e-1
2.329614605755855e-4	112	5.628140703517588e-1
2.347603104819258e-4	113	5.678391959798995e-1
2.447376304945620e-4	114	5.728643216080402e-1
2.675749572706368e-4	115	5.778894472361809e-1
2.740919009365326e-4	116	5.829145728643216e-1
2.843252509628180e-4	117	5.879396984924623e-1
2.999917180395393e-4	118	5.929648241206030e-1
3.095284342549540e-4	119	5.979899497487438e-1
3.205479915754536e-4	120	6.030150753768844e-1
3.694858214915776e-4	121	6.080402010050251e-1
3.865614892014281e-4	122	6.130653266331658e-1
4.095519269946276e-4	123	6.180904522613065e-1
4.201646645094341e-4	124	6.231155778894473e-1
4.465410141361001e-4	125	6.281407035175880e-1
4.783439777086647e-4	126	6.331658291457286e-1
5.375887032335302e-4	127	6.381909547738693e-1
5.853170379398987e-4	128	6.432160804020101e-1
6.405300329086630e-4	129	6.482412060301508e-1
6.477256022353505e-4	130	6.532663316582915e-1
7.169736872508070e-4	131	6.582914572864321e-1
7.315938140653844e-4	132	6.633165829145728e-1
8.264371799005956e-4	133	6.683417085427136e-1
8.594843711242019e-4	134	6.733668341708543e-1
9.258621212309164e-4	135	6.783919597989950e-1
9.383612625332385e-4	136	6.834170854271356e-1
1.017910482314136e-3	137	6.884422110552764e-1
1.102674234749735e-3	138	6.934673366834171e-1
1.166878980687287e-3	139	6.984924623115578e-1
