beta	free_energy	specific_heat	entropy
1.431458937523479e5	-1.149426582626382e-5	1.158645213721774e0	2.618297836903809e0
1.570290124729376e5	-9.910371174079909e-6	1.225935007190040e0	2.507905248700169e0
1.722585965398789e5	-8.530352277164878e-6	1.287602231262549e0	2.391510114733311e0
1.889652339691210e5	-7.333453751271316e-6	1.338914078105398e0	2.269847461684628e0
2.072921779595369e5	-6.300291101002002e-6	1.374851562546593e0	2.144108465474090e0
2.273965752357931e5	-5.412676774782080e-6	1.390836778603409e0	2.015934757313536e0
2.494508135230317e5	-4.653521656332880e-6	1.383568546125782e0	1.887339019496368e0
2.736439997074667e5	-4.006813413077940e-6	1.351752554378933e0	1.760551256206758e0
3.001835813575593e5	-3.457659719421140e-6	1.296492058753914e0	1.637811542911284e0
3.292971255097151e5	-2.992371609907940e-6	1.221183759102759e0	1.521148849567127e0
3.612342699709427e5	-2.598554676956958e-6	1.130921635108082e0	1.412192991988145e0
3.962688638701483e5	-2.265176530578205e-6	1.031579208836041e0	1.312058486158274e0
4.347013158125023e5	-1.982587701726154e-6	9.288377025390827e-1	1.221318027988669e0
4.768611697714464e5	-1.742486674788476e-6	8.274143108939517e-1	1.140058326492039e0
5.231099308056267e5	-1.537833250982894e-6	7.306424643343236e-1	1.067991739104757e0
5.738441648302394e5	-1.362724065849285e-6	6.404237372136788e-1	1.004589237107051e0
6.294988990221878e5	-1.212248108743051e-6	5.574657755860558e-1	9.492036468584133e-1
6.905513520162334e5	-1.082339056930770e-6	4.816703595864272e-1	9.011628164139807e-1
7.575250258771911e5	-9.696370099575247e-7	4.125385140875911e-1	8.598251559766960e-1
8.309941949353380e5	-8.713669044305327e-7	3.494969034626273e-1	8.246007729354837e-1
9.115888299750796e5	-7.852361238252477e-7	2.920999980503037e-1	7.949479847772336e-1
9.999999999999995e5	-7.093504493459814e-7	2.401081038290532e-1	7.703570065302583e-1
