N	t	zeta_norm	dn_norm	product_norm	cancel_residual	cancel_ratio
500	20	1.157898320121508e0	8.637636334519644e-1	1.000150460156080e0	6.293715576642744e-3	6.292768765672088e-3
500	22	9.734140545178969e-1	1.051812787713952e0	1.023849350282410e0	4.520621602494854e-2	4.415319110421787e-2
500	24	1.105986425235444e0	9.063332165869573e-1	1.002392234285150e0	4.111680768748880e-2	4.101868139153232e-2
500	26	1.432060628027021e0	7.221155940406945e-1	1.034113311110022e0	4.897759211230222e-2	4.736192019395771e-2
500	28	2.808043181375932e0	4.039691345424389e-1	1.134362773738232e0	1.344592694103113e-1	1.185328649028282e-1
500	30	5.870395110583916e-1	2.230419080937302e0	1.309344126728741e0	7.336213693641804e-1	5.602968344136209e-1
500	32	8.865527662531951e-1	1.314639728183300e0	1.165497487647253e0	1.655397296568211e-1	1.420335362463887e-1
500	34	1.651253224315769e0	5.816377623327503e-1	9.604312304357631e-1	1.270042936328661e-1	1.322367386733584e-1
500	36	2.627576601723659e0	4.558410693864657e-1	1.197757328024568e0	1.978099872822930e-1	1.651503043680277e-1
500	38	7.802544191052251e-1	1.696329157135707e0	1.323568321112177e0	7.595384618487361e-1	5.738566341709551e-1
500	40	1.324450671394206e0	8.488632044547845e-1	1.124277441061976e0	1.313404624681685e-1	1.168221096245658e-1
1000	2	5.654264803804672e-1	1.696965651989348e0	9.595093159308817e-1	6.515723578070949e-2	6.790682977110676e-2
1000	4	5.859361161985774e-1	1.574856378480258e0	9.227652299772791e-1	7.725040522061624e-2	8.371620723346755e-2
1000	6	8.868162950208472e-1	1.100139083738365e0	9.756212662484862e-1	6.394519050546950e-2	6.554304699748412e-2
1000	8	1.310023061869230e0	7.875534166760564e-1	1.031713138299541e0	5.800624440573898e-2	5.622322935747845e-2
1000	10	1.580624707488814e0	6.780848650715919e-1	1.071797691506377e0	7.193831075682626e-2	6.711929996389458e-2
1000	12	1.286458344806362e0	8.252727328135747e-1	1.061678993869174e0	1.199169470053188e-1	1.129502869490659e-1
1000	14	1.231549337821083e-1	4.777890556356994e0	5.884207950863062e-1	1.098438647926665e0	1.866757016576126e0
1000	16	1.534102105434501e0	6.476417838347753e-1	9.935486241482850e-1	6.443477723738676e-2	6.485316940841539e-2
1000	18	2.342272070187408e0	4.728854116130670e-1	1.107626292020363e0	1.087797424365257e-1	9.820978720007296e-2
1000	20	1.157898320121508e0	8.339313869564676e-1	9.656077520534929e-1	9.946374364771508e-2	1.030063640605538e-1
1000	22	9.734140545178969e-1	1.004520896821673e0	9.778147590231383e-1	2.741667275561176e-2	2.803871848181317e-2
1000	24	1.105986425235444e0	8.869482347845317e-1	9.809527075582314e-1	9.298451928646949e-2	9.479001237269100e-2
1000	26	1.432060628027021e0	6.698177446946904e-1	9.592196201311208e-1	1.259216335336067e-1	1.312750812127819e-1
1000	28	2.808043181375932e0	4.109982000942083e-1	1.154100693332323e0	1.630277751897106e-1	1.412595765097308e-1
1000	30	5.870395110583916e-1	2.278972441317016e0	1.337846867666290e0	6.702304868470763e-1	5.009769825273138e-1
1000	32	8.865527662531951e-1	1.209592560630585e0	1.072367630666331e0	1.013363113144494e-1	9.449773418793203e-2
1000	34	1.651253224315769e0	5.945422718770254e-1	9.817398434289609e-1	1.818259993251668e-1	1.852079250344940e-1
1000	36	2.627576601723659e0	4.394425933113097e-1	1.154669075985563e0	1.562576817430332e-1	1.353268092069237e-1
1000	38	7.802544191052251e-1	1.769717591592858e0	1.380829971408583e0	7.173071342466408e-1	5.194753511287973e-1
1000	40	1.324450671394206e0	7.812274910906862e-1	1.034697275086670e0	4.974985251955774e-2	4.808155362677504e-2
2000	2	5.654264803804672e-1	1.712902309919325e0	9.685203243332560e-1	5.770132330726861e-2	5.957678105205595e-2
2000	4	5.859361161985774e-1	1.581412102771242e0	9.266064656072069e-1	7.349216101311946e-2	7.931324002251583e-2
2000	6	8.868162950208472e-1	1.101825151991300e0	9.771164990497067e-1	6.152061545240257e-2	6.296139253838653e-2
2000	8	1.310023061869230e0	7.898435734021833e-1	1.034713296426062e0	5.166957250001813e-2	4.993612499084215e-2
2000	10	1.580624707488814e0	6.560854957936472e-1	1.037024944876487e0	3.773294893897600e-2	3.638576788861152e-2
2000	12	1.286458344806362e0	8.628995548941401e-1	1.110084333123262e0	1.256485017261578e-1	1.131882488356910e-1
2000	14	1.231549337821083e-1	5.180720835584318e0	6.380313314499756e-1	1.104524149334178e0	1.731144059687573e0
2000	16	1.534102105434501e0	6.631177138651106e-1	1.017290280991379e0	1.337088521330482e-1	1.314362818867639e-1
2000	18	2.342272070187408e0	4.665009931413840e-1	1.092672246949751e0	9.313382441118735e-2	8.523491346208804e-2
2000	20	1.157898320121508e0	8.559333573241972e-1	9.910837965816502e-1	1.510055594456442e-1	1.523640684738040e-1
