d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
43	1.308161494882721e-2	1.308161494882721e-2	177.1972	1.023256	43 (prime)
46	-5.567617950422717e-3	5.567617950422717e-3	177.5001	1.565217	2·23
47	-1.597224737110193e-2	1.597224737110193e-2	178.3690	1.021277	47 (prime)
51	5.587675130685196e-3	5.587675130685196e-3	178.6730	1.411765	3·17
53	6.316935084876844e-3	6.316935084876844e-3	179.0166	1.018868	53 (prime)
55	-9.846073123362326e-3	9.846073123362326e-3	179.5523	1.309091	5·11
57	-9.637316883623877e-3	9.637316883623877e-3	180.0766	1.403509	3·19
58	4.563725350643470e-5	4.563725350643470e-5	180.0790	1.551724	2·29
59	-1.407780612736356e-2	1.407780612736356e-2	180.8449	1.016949	59 (prime)
61	-4.952786295771702e-3	4.952786295771702e-3	181.1143	1.016393	61 (prime)
62	4.606074642523405e-3	4.606074642523405e-3	181.3649	1.548387	2·31
65	2.320102781977481e-3	2.320102781977481e-3	181.4911	1.292308	5·13
