a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	telescope_lg_err	telescope_psi_err	beta_duality_pw	beta_duality_sum_err	sum_pcl	delta_target	identity_err	certified
19	148	18	true	true	true	3.552714e-15	8.526513e-14	1.989520e-13	1.250555e-12	1.243450e-14	4.263256e-14	true	5.204170e-18	-3.475845542512986e-4	-3.475845542512583e-4	4.022390e-17	true
21	148	20	true	true	true	7.105427e-15	8.526513e-14	2.415845e-13	1.250555e-12	1.421085e-14	9.947598e-14	true	0.000000e0	-6.725923356231756e-4	-6.725923356230862e-4	8.933826e-17	true
23	148	22	true	true	true	0.000000e0	8.526513e-14	2.984279e-13	1.250555e-12	1.421085e-14	5.684342e-14	true	1.214306e-17	-5.672660368964519e-4	-5.672660368964957e-4	4.380177e-17	true
25	148	24	true	true	true	3.552714e-15	8.526513e-14	2.415845e-13	1.250555e-12	1.776357e-14	7.105427e-14	true	6.938894e-18	-2.619976592090761e-4	-2.619976592090493e-4	2.688821e-17	true
27	148	26	true	true	true	0.000000e0	8.526513e-14	2.842171e-13	1.250555e-12	1.776357e-14	1.278977e-13	true	1.561251e-17	-5.834031496824645e-4	-5.834031496824267e-4	3.773024e-17	true
29	148	28	true	true	true	7.105427e-15	8.526513e-14	3.552714e-13	1.250555e-12	2.131628e-14	9.947598e-14	true	1.734723e-17	-8.647430133576763e-4	-8.647430133576807e-4	4.445229e-18	true
31	148	30	true	true	true	1.065814e-14	8.526513e-14	3.552714e-13	1.250555e-12	1.421085e-14	1.278977e-13	true	3.469447e-18	-5.856240883854320e-4	-5.856240883854256e-4	6.396793e-18	true
33	148	32	true	true	true	0.000000e0	8.526513e-14	3.126388e-13	1.250555e-12	1.421085e-14	8.526513e-14	true	6.938894e-18	-6.919828797410212e-4	-6.919828797411175e-4	9.627715e-17	true
35	148	34	true	true	true	7.105427e-15	8.526513e-14	3.979039e-13	1.250555e-12	1.421085e-14	1.136868e-13	true	3.469447e-18	-9.461587186696608e-4	-9.461587186696098e-4	5.095750e-17	true
39	148	38	true	true	true	1.421085e-14	8.526513e-14	4.547474e-13	1.250555e-12	2.131628e-14	1.705303e-13	true	0.000000e0	-6.796783279898169e-4	-6.796783279897998e-4	1.713039e-17	true
41	148	40	true	true	true	1.421085e-14	8.526513e-14	5.400125e-13	1.250555e-12	2.842171e-14	1.136868e-13	true	8.673617e-18	-9.435984652989796e-4	-9.435984652990002e-4	2.059984e-17	true
43	148	42	true	true	true	7.105427e-15	8.526513e-14	4.831691e-13	1.250555e-12	2.131628e-14	2.273737e-13	true	1.734723e-18	-9.837361016446413e-4	-9.837361016446543e-4	1.301043e-17	true
45	148	44	true	true	true	2.131628e-14	8.526513e-14	5.968559e-13	1.250555e-12	2.131628e-14	1.136868e-13	true	1.214306e-17	-1.148375046039946e-3	-1.148375046039971e-3	2.406929e-17	true
47	148	46	true	true	true	7.105427e-15	8.526513e-14	5.115908e-13	1.250555e-12	2.842171e-14	1.989520e-13	true	5.204170e-18	-1.267884274941633e-3	-1.267884274941611e-3	2.276825e-17	true
49	148	48	true	true	true	7.105427e-15	8.526513e-14	5.684342e-13	1.250555e-12	3.552714e-14	1.421085e-13	true	1.301043e-17	-1.382554734125037e-3	-1.382554734124984e-3	5.290907e-17	true
51	148	50	true	true	true	7.105427e-15	8.526513e-14	7.105427e-13	1.250555e-12	3.552714e-14	8.526513e-14	true	3.469447e-18	-6.031451684892240e-4	-6.031451684892397e-4	1.572093e-17	true
53	148	52	true	true	true	0.000000e0	8.526513e-14	5.400125e-13	1.250555e-12	2.842171e-14	2.273737e-13	true	6.938894e-18	-9.186680712438785e-4	-9.186680712437775e-4	1.010476e-16	true
55	148	54	true	true	true	2.131628e-14	8.526513e-14	5.684342e-13	1.250555e-12	5.684342e-14	2.557954e-13	true	3.469447e-18	-1.158974233834221e-3	-1.158974233834149e-3	7.264155e-17	true
57	148	56	true	true	true	7.105427e-15	8.526513e-14	7.389644e-13	1.250555e-12	4.973799e-14	2.557954e-13	true	1.734723e-17	-1.249950893355524e-3	-1.249950893355490e-3	3.404395e-17	true
59	148	58	true	true	true	7.105427e-15	8.526513e-14	7.389644e-13	1.250555e-12	3.552714e-14	2.842171e-13	true	1.214306e-17	-1.483518565902859e-3	-1.483518565902832e-3	2.732189e-17	true
61	148	60	true	true	true	7.105427e-15	8.526513e-14	7.958079e-13	1.250555e-12	4.263256e-14	3.410605e-13	true	3.469447e-18	-1.354456383926797e-3	-1.354456383926746e-3	5.117434e-17	true
63	148	62	true	true	true	2.842171e-14	8.526513e-14	7.958079e-13	1.250555e-12	2.842171e-14	2.842171e-13	true	3.469447e-18	-1.532435029219369e-3	-1.532435029219339e-3	2.927346e-17	true
65	148	64	true	true	true	7.105427e-15	8.526513e-14	7.389644e-13	1.250555e-12	3.552714e-14	5.684342e-14	true	5.204170e-18	-1.558792427321670e-3	-1.558792427321734e-3	6.418477e-17	true
67	148	66	true	true	true	0.000000e0	8.526513e-14	8.526513e-13	1.250555e-12	5.684342e-14	2.273737e-13	true	6.938894e-18	-1.647617012507052e-3	-1.647617012507020e-3	3.230922e-17	true
69	148	68	true	true	true	2.131628e-14	8.526513e-14	7.958079e-13	1.250555e-12	4.263256e-14	5.684342e-14	true	1.387779e-17	-1.720871930169811e-3	-1.720871930169731e-3	8.001412e-17	true
71	148	70	true	true	true	3.552714e-14	8.526513e-14	6.252776e-13	1.250555e-12	4.263256e-14	3.410605e-13	true	5.204170e-18	-1.781595122278745e-3	-1.781595122278724e-3	2.081668e-17	true
73	148	72	true	true	true	0.000000e0	8.526513e-14	9.094947e-13	1.250555e-12	3.552714e-14	1.705303e-13	true	6.938894e-18	-1.845834100525650e-3	-1.845834100525540e-3	1.097213e-16	true
75	148	74	true	true	true	1.421085e-14	8.526513e-14	1.023182e-12	1.250555e-12	4.263256e-14	1.136868e-13	true	0.000000e0	-3.602377971496644e-4	-3.602377971496783e-4	1.387779e-17	true
77	148	76	true	true	true	0.000000e0	8.526513e-14	7.389644e-13	1.250555e-12	2.842171e-14	5.684342e-14	true	2.428613e-17	-7.709854719851769e-4	-7.709854719852372e-4	6.028164e-17	true
79	148	78	true	true	true	2.842171e-14	8.526513e-14	7.958079e-13	1.250555e-12	5.684342e-14	3.979039e-13	true	2.081668e-17	-1.043423246547087e-3	-1.043423246547155e-3	6.765422e-17	true
81	148	80	true	true	true	7.105427e-14	8.526513e-14	1.080025e-12	1.250555e-12	4.263256e-14	0.000000e0	true	3.469447e-18	-1.256130927071841e-3	-1.256130927071800e-3	4.076600e-17	true
83	148	82	true	true	true	1.421085e-14	8.526513e-14	1.023182e-12	1.250555e-12	7.105427e-14	2.842171e-13	true	3.469447e-18	-1.434606080682003e-3	-1.434606080681933e-3	6.982262e-17	true
