k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
389	1.362365508955e-4	1	2	390	1	1	398	excited boson	389 (prime)
390	1.418955260550e-4	0	16	1008	4	4	3019	heavy fermion	2·3·5·13
391	8.372231689927e-6	0	4	432	2	2	1102	spectator	17·23
392	4.602896956998e-6	0	12	855	2	5	2293	spectator	2^3·7^2
393	2.730848680100e-6	0	4	528	2	2	922	spectator	3·131
394	1.014494502551e-6	0	4	594	2	2	793	spectator	2·197
395	8.617459156575e-5	0	4	480	2	2	1026	heavy fermion	5·79
396	5.419703647032e-5	0	18	1092	3	5	3141	fermion	2^2·3^2·11
397	1.525045380854e-4	1	2	398	1	1	398	excited boson	397 (prime)
398	1.950809472292e-3	0	4	600	2	2	795	heavy fermion	2·199
399	7.124900647148e-5	0	8	640	3	3	2006	heavy fermion	3·7·19
400	1.811545778662e-3	0	15	961	2	6	2719	heavy fermion	2^4·5^2
