rank	k	weight	d_k	omega	is_prime	factors
1055	651	3.448871003524e-6	8	3	composite	3·7·31
1056	980	3.366477978442e-6	18	3	composite	2^2·5·7^2
1057	646	3.345659943897e-6	8	3	composite	2·17·19
1058	217	3.340975859321e-6	4	2	composite	7·31
1059	2112	3.314988745631e-6	28	3	composite	2^6·3·11
1060	3137	3.313329456481e-6	2	1	prime	3137 (prime)
1061	637	3.294097271709e-6	6	2	composite	7^2·13
1062	7121	3.287605481983e-6	2	1	prime	7121 (prime)
1063	1047	3.264207296907e-6	4	2	composite	3·349
1064	2111	3.221829958312e-6	2	1	prime	2111 (prime)
1065	1065	3.165992786155e-6	8	3	composite	3·5·71
1066	137	3.165303209329e-6	2	1	prime	137 (prime)
1067	18427	3.144980191663e-6	2	1	prime	18427 (prime)
1068	683	3.141414175123e-6	2	1	prime	683 (prime)
1069	6151	3.133306244002e-6	2	1	prime	6151 (prime)
1070	1571	3.118767592510e-6	2	1	prime	1571 (prime)
1071	1093	3.108267917121e-6	2	1	prime	1093 (prime)
1072	957	3.102251219439e-6	8	3	composite	3·11·29
1073	967	3.007846923285e-6	2	1	prime	967 (prime)
1074	8419	3.004430780590e-6	2	1	prime	8419 (prime)
1075	1305	2.979436314918e-6	12	3	composite	3^2·5·29
1076	1736	2.953254637992e-6	16	3	composite	2^3·7·31
1077	254	2.931932326755e-6	4	2	composite	2·127
1078	1211	2.914641212159e-6	4	2	composite	7·173
1079	3041	2.910279369171e-6	2	1	prime	3041 (prime)
1080	4931	2.887621881676e-6	2	1	prime	4931 (prime)
1081	78	2.880832221805e-6	8	3	composite	2·3·13
1082	15121	2.874931599892e-6	2	1	prime	15121 (prime)
1083	155	2.838778573080e-6	4	2	composite	5·31
1084	888	2.784628819952e-6	16	3	composite	2^3·3·37
1085	1236	2.750967440086e-6	12	3	composite	2^2·3·103
1086	1190	2.748821453925e-6	16	4	composite	2·5·7·17
1087	475	2.694798642085e-6	6	2	composite	5^2·19
1088	3307	2.677455839412e-6	2	1	prime	3307 (prime)
1089	6091	2.657989928251e-6	2	1	prime	6091 (prime)
1090	693	2.579152868997e-6	12	3	composite	3^2·7·11
1091	2728	2.564264346908e-6	16	3	composite	2^3·11·31
1092	1006	2.531446536279e-6	4	2	composite	2·503
1093	6561	2.500402205769e-6	9	1	composite	3^8
1094	709	2.486707865847e-6	2	1	prime	709 (prime)
1095	10079	2.476239072325e-6	2	1	prime	10079 (prime)
1096	224	2.443715741327e-6	12	2	composite	2^5·7
1097	643	2.435092659703e-6	2	1	prime	643 (prime)
1098	955	2.389354799936e-6	4	2	composite	5·191
1099	853	2.376452119712e-6	2	1	prime	853 (prime)
1100	347	2.361304584073e-6	2	1	prime	347 (prime)
