index	raw	unfolded
56	3.323659968792190e-6	1.660225717573721e0
57	3.681650024934250e-6	1.705381787593401e0
58	9.485681370390334e-7	4.375766172107814e-1
59	3.133252115924205e-6	1.293083791243383e0
60	4.625279419925420e-7	1.957293607450689e-1
61	2.298981315947783e-6	9.047793584256000e-1
62	2.239877523922047e-6	8.660204947297060e-1
63	2.687824295676377e-6	1.045507126643955e0
64	4.797913833037753e-6	1.587946029123170e0
65	1.704019903528610e-6	5.644357878418131e-1
66	2.671958595541556e-6	8.429795505067438e-1
67	3.823853193903379e-6	1.126115662810769e0
68	3.510386909061700e-6	9.641814621327723e-1
69	5.905453453407749e-6	1.499147612780107e0
70	3.105974239799042e-6	8.755847760113683e-1
71	2.120017173083607e-6	5.484452910921749e-1
72	4.784465927988168e-6	1.243981167899473e0
73	4.936875907835664e-6	1.238460569619094e0
74	5.970362875142178e-6	1.541218466184153e0
75	4.870871482069424e-7	1.257505742449979e-1
76	5.204102691107652e-6	1.295362894317200e0
77	2.458431684449305e-6	5.897101138647226e-1
78	5.366146778761429e-6	1.321128473649889e0
79	2.272816321122184e-6	5.453406709396112e-1
80	5.901545597992617e-6	1.507560490822247e0
81	4.690497276340911e-6	1.114883426763718e0
82	3.785366163758594e-6	8.828595660234694e-1
83	3.606460517542115e-6	7.253566109356766e-1
84	6.101883083689427e-6	1.270156122880412e0
85	3.186622461777265e-6	6.686489742614542e-1
86	3.704930032912706e-6	7.513166521934885e-1
87	6.089117979547331e-6	1.274117333881481e0
88	9.986423435590569e-6	2.008528748906060e0
89	3.518796729204410e-6	6.918036138418372e-1
90	1.851748409737185e-6	3.425113898938079e-1
91	7.721900861410184e-6	1.369875756106969e0
92	3.016710715347251e-6	4.661138685411307e-1
93	5.907507069439642e-6	9.202439009766251e-1
94	4.864867785900036e-6	8.704750356095179e-1
95	9.621608526312858e-6	1.547828762233261e0
96	5.722675591837516e-6	8.578617169627196e-1
97	1.289115637457964e-5	1.969681641581103e0
98	5.511120603243682e-6	7.676352868367383e-1
99	8.481627748562186e-7	1.061373272850047e-1
100	1.042070841529065e-5	1.257263438030083e0
101	6.853043572146186e-6	8.187747854507506e-1
102	6.335149030868700e-6	7.078922288719215e-1
103	9.996824557925320e-6	1.162212776355402e0
104	1.483769259472812e-5	1.627995491993478e0
105	8.134311638880690e-6	7.876091188017007e-1
106	1.051779280706764e-5	1.099880168015050e0
107	1.209647914528401e-5	1.120906622546373e0
108	9.065700986826903e-6	7.044145779408690e-1
109	1.114909178080042e-5	8.312833805682157e-1
110	1.419959459353489e-5	1.074806513864182e0
111	2.003706501763547e-6	1.456615827362081e-1
112	2.037226948108935e-5	1.524613731384612e0
113	2.919474585261938e-5	2.274961340593307e0
114	1.595954384754942e-5	1.177426244483342e0
115	1.263109710659298e-5	8.318207469642853e-1
116	1.412490325584313e-5	9.658518721773929e-1
117	6.187614914895966e-6	3.599024396016368e-1
118	6.275539013803240e-6	3.569871224695749e-1
119	1.700251302837370e-5	1.082423483715827e0
120	2.908213762518473e-5	1.905645362776380e0
121	8.033180645508490e-6	4.969985349940487e-1
122	3.025371750437465e-5	1.751435815415807e0
123	2.462592959117022e-5	1.280421650074874e0
124	8.609841255293751e-6	4.334615889951921e-1
