N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
19280	3.0896260968e-2	0.304848	0.84013641	0.71116908	0.002464	-0.975601	-0.912880	47	0.867568
19281	3.0896028079e-2	0.304847	0.84013712	0.71117027	0.002516	-0.975089	-0.907831	48	0.867568
19282	3.0895796880e-2	0.304847	0.84013782	0.71117145	0.002464	-0.975601	-0.912880	47	0.867569
19283	3.0895564038e-2	0.304846	0.84013853	0.71117263	0.002516	-0.975089	-0.907831	48	0.867570
19284	3.0895332886e-2	0.304845	0.84013924	0.71117381	0.002516	-0.975089	-0.907831	48	0.867570
19285	3.0895101758e-2	0.304845	0.84013994	0.71117498	0.002568	-0.974578	-0.902782	49	0.867571
19286	3.0894872320e-2	0.304844	0.84014064	0.71117616	0.002620	-0.974066	-0.897734	50	0.867572
19287	3.0894644573e-2	0.304843	0.84014134	0.71117733	0.002620	-0.974066	-0.897734	50	0.867572
19288	3.0894416849e-2	0.304843	0.84014204	0.71117850	0.002620	-0.974066	-0.897734	50	0.867573
19289	3.0894189150e-2	0.304842	0.84014274	0.71117967	0.002568	-0.974578	-0.902782	49	0.867574
19290	3.0893959808e-2	0.304841	0.84014344	0.71118084	0.002620	-0.974066	-0.897734	50	0.867574
19291	3.0893732156e-2	0.304841	0.84014414	0.71118201	0.002672	-0.973555	-0.892687	51	0.867575
19292	3.0893506195e-2	0.304840	0.84014484	0.71118318	0.002672	-0.973555	-0.892687	51	0.867576
19293	3.0893280257e-2	0.304839	0.84014553	0.71118435	0.002620	-0.974066	-0.897734	50	0.867576
19294	3.0893052678e-2	0.304839	0.84014623	0.71118552	0.002568	-0.974578	-0.902780	49	0.867577
19295	3.0892823457e-2	0.304838	0.84014693	0.71118669	0.002516	-0.975089	-0.907827	48	0.867578
19296	3.0892592593e-2	0.304837	0.84014764	0.71118787	0.002516	-0.975089	-0.907827	48	0.867578
19297	3.0892361754e-2	0.304837	0.84014834	0.71118905	0.002568	-0.974578	-0.902781	49	0.867579
19298	3.0892132603e-2	0.304836	0.84014904	0.71119022	0.002620	-0.974066	-0.897735	50	0.867580
19299	3.0891905142e-2	0.304835	0.84014974	0.71119139	0.002568	-0.974578	-0.902781	49	0.867580
19300	3.0891676040e-2	0.304835	0.84015044	0.71119256	0.002568	-0.974578	-0.902781	49	0.867581
19301	3.0891446961e-2	0.304834	0.84015114	0.71119374	0.002516	-0.975089	-0.907826	48	0.867582
19302	3.0891216241e-2	0.304833	0.84015185	0.71119491	0.002464	-0.975600	-0.912871	47	0.867582
19303	3.0890983878e-2	0.304833	0.84015256	0.71119609	0.002516	-0.975089	-0.907826	48	0.867583
19304	3.0890753205e-2	0.304832	0.84015326	0.71119727	0.002516	-0.975089	-0.907826	48	0.867584
19305	3.0890522555e-2	0.304831	0.84015396	0.71119845	0.002516	-0.975089	-0.907826	48	0.867584
19306	3.0890291928e-2	0.304831	0.84015467	0.71119963	0.002516	-0.975089	-0.907826	48	0.867585
19307	3.0890061325e-2	0.304830	0.84015537	0.71120080	0.002568	-0.974578	-0.902782	49	0.867586
19308	3.0889832411e-2	0.304829	0.84015607	0.71120198	0.002568	-0.974578	-0.902782	49	0.867586
19309	3.0889603521e-2	0.304829	0.84015677	0.71120315	0.002516	-0.975089	-0.907826	48	0.867587
19310	3.0889372990e-2	0.304828	0.84015748	0.71120433	0.002464	-0.975600	-0.912869	47	0.867588
19311	3.0889140817e-2	0.304827	0.84015818	0.71120551	0.002413	-0.976111	-0.917912	46	0.867588
19312	3.0888907002e-2	0.304827	0.84015889	0.71120669	0.002413	-0.976111	-0.917912	46	0.867589
19313	3.0888673210e-2	0.304826	0.84015960	0.71120787	0.002361	-0.976622	-0.922954	45	0.867590
