j	k	gcd	formula	integral	error	digits	certified	time_ms
3	47	1	4.619364687435357e-2	4.619356334432184e-2	8.35300e-8	7	true	11840.6
3	48	3	4.566368531904767e-2	4.566360024986364e-2	8.50692e-8	7	true	11898.8
3	49	1	4.473651046480401e-2	4.473642694260598e-2	8.35222e-8	7	true	12372.4
3	50	1	4.404282602282177e-2	4.404274250457195e-2	8.35182e-8	7	true	11567.8
4	5	1	1.973758381245246e-1	1.973757745829975e-1	6.35415e-8	7	true	19684.8
4	6	2	1.788850879730344e-1	1.788850220009702e-1	6.59721e-8	7	true	15433.1
4	7	1	1.637126947704327e-1	1.637126315265279e-1	6.32439e-8	7	true	16681.1
4	8	4	1.618023139977183e-1	1.618022410812287e-1	7.29165e-8	7	true	12153.0
4	9	1	1.423422470703690e-1	1.423421839917966e-1	6.30786e-8	7	true	15098.5
4	10	2	1.332026170623569e-1	1.332025524791767e-1	6.45832e-8	7	true	13394.2
4	11	1	1.252743768417936e-1	1.252743138684574e-1	6.29733e-8	7	true	14469.8
4	12	4	1.229175340322127e-1	1.229174645879488e-1	6.94443e-8	7	true	11818.8
4	13	1	1.127541636202808e-1	1.127541007198134e-1	6.29005e-8	7	true	13782.3
4	14	2	1.072835225492844e-1	1.072834585613506e-1	6.39879e-8	7	true	13364.2
4	15	1	1.023735226469430e-1	1.023734597998429e-1	6.28471e-8	7	true	13218.3
4	16	4	1.004756328429465e-1	1.004755651347382e-1	6.77082e-8	7	true	11282.8
4	17	1	9.415258011696510e-2	9.415251731070438e-2	6.28063e-8	7	true	13182.9
4	18	2	9.047970763086031e-2	9.047964397358543e-2	6.36573e-8	7	true	13642.3
4	19	1	8.711274654088799e-2	8.711268376689184e-2	6.27740e-8	7	true	13903.2
4	20	4	8.561971558451223e-2	8.561964891796640e-2	6.66665e-8	7	true	13123.0
4	21	1	8.127286452073403e-2	8.127280177283955e-2	6.27479e-8	7	true	16143.1
4	22	2	7.861953165375007e-2	7.861946820689827e-2	6.34469e-8	7	true	14988.9
4	23	1	7.615225097919778e-2	7.615218825286242e-2	6.27263e-8	7	true	15100.6
4	24	4	7.495897877001920e-2	7.495891279800183e-2	6.59720e-8	7	true	12595.6
4	25	1	7.177071833152777e-2	7.177065562331664e-2	6.27082e-8	7	true	13398.9
4	26	2	6.975462488623167e-2	6.975456158506060e-2	6.33012e-8	7	true	14204.9
4	27	1	6.786060657922002e-2	6.786054388642941e-2	6.26928e-8	7	true	13121.6
4	28	4	6.688722369590702e-2	6.688715821982369e-2	6.54761e-8	7	true	12783.2
4	29	1	6.443988451863410e-2	6.443982183913724e-2	6.26795e-8	7	true	13011.2
4	30	2	6.285045417456747e-2	6.285039098021920e-2	6.31943e-8	7	true	12240.2
4	31	1	6.134572131663205e-2	6.134565864872690e-2	6.26679e-8	7	true	12527.3
4	32	4	6.053652208686909e-2	6.053645698283263e-2	6.51040e-8	7	true	11251.0
4	33	1	5.859343473228722e-2	5.859337207456839e-2	6.26577e-8	7	true	12556.2
4	34	2	5.730467580793375e-2	5.730461269529252e-2	6.31126e-8	7	true	12041.3
4	35	1	5.607724854953675e-2	5.607718590093914e-2	6.26486e-8	7	true	12287.7
4	36	4	5.539337654687474e-2	5.539331173216872e-2	6.48147e-8	7	true	11352.5
4	37	1	5.380993192256228e-2	5.380986928190822e-2	6.26407e-8	7	true	12134.2
4	38	2	5.274160178713386e-2	5.274153873897569e-2	6.30482e-8	7	true	12173.3
4	39	1	5.171920938803994e-2	5.171914675460638e-2	6.26334e-8	7	true	12499.0
4	40	4	5.113305129352053e-2	5.113298671033095e-2	6.45832e-8	7	true	11270.2
4	41	1	4.981566738451784e-2	4.981560475763648e-2	6.26269e-8	7	true	12226.5
4	42	2	4.891410298178872e-2	4.891403998587329e-2	6.29959e-8	7	true	12468.3
4	43	1	4.804790040239116e-2	4.804783778133816e-2	6.26211e-8	7	true	11832.0
4	44	4	4.753939107609739e-2	4.753932668227542e-2	6.43938e-8	7	true	11517.4
4	45	1	4.642470273896683e-2	4.642464012343257e-2	6.26155e-8	7	true	12120.9
4	46	2	4.565258081233849e-2	4.565251785955475e-2	6.29528e-8	7	true	12431.0
4	47	1	4.490830189119210e-2	4.490823928044820e-2	6.26107e-8	7	true	12074.4
4	48	4	4.446254115544779e-2	4.446247691941307e-2	6.42360e-8	7	true	12080.4
4	49	1	4.350604233143130e-2	4.350597972530316e-2	6.26061e-8	7	true	12210.1
