i,row_gcd2_12,row_inv_max,row_total_excess
289,0.0937709025,0.5589097985,0.6526807010
290,0.2255305725,0.5580507124,0.7835812850
291,0.1408269304,0.5571945683,0.6980214988
292,0.1842797510,0.5563413461,0.7406210971
293,0.0715713539,0.5554910259,0.6270623798
294,0.3072690040,0.5546435879,0.8619125919
295,0.1296981856,0.5537990128,0.6834971984
296,0.2170808431,0.5529572812,0.7700381243
297,0.2182848464,0.5521183741,0.7704032206
298,0.1382650466,0.5512822726,0.6895473192
299,0.1158720517,0.5504489580,0.6663210097
300,0.3998337488,0.5496184117,0.9494521605
301,0.1232603025,0.5487906155,0.6720509180
302,0.1381998535,0.5479655511,0.6861654046
303,0.1377731715,0.5471432007,0.6849163722
304,0.2446774029,0.5463235464,0.7910009493
305,0.1293715311,0.5455065705,0.6748781016
306,0.2954906338,0.5446922557,0.8401828895
307,0.0714744388,0.5438805847,0.6153550235
308,0.2888833141,0.5430715403,0.8319548544
309,0.1376430555,0.5422651056,0.6799081611
310,0.2227999886,0.5414612639,0.7642612526
311,0.0714483501,0.5406599985,0.6121083486
312,0.3556845204,0.5398612929,0.8955458133
313,0.0714355556,0.5390651309,0.6105006865
314,0.1380142211,0.5382714962,0.6762857173
315,0.3027319683,0.5374803730,0.8402123413
316,0.1819050514,0.5366917453,0.7185967967
317,0.0714104506,0.5359055975,0.6073160481
318,0.2316930219,0.5351219140,0.7668149358
319,0.1156026967,0.5343406794,0.6499433760
320,0.3080594326,0.5335618784,0.8416213110
321,0.1373973726,0.5327854960,0.6701828686
322,0.2141412220,0.5320115172,0.7461527392
323,0.1129165254,0.5312399271,0.6441564525
324,0.3335917830,0.5304707110,0.8640624940
325,0.1668508642,0.5297038544,0.6965547186
326,0.1378422301,0.5289393429,0.6667815730
327,0.1372812735,0.5281771620,0.6654584355
328,0.2128375073,0.5274172978,0.7402548050
329,0.1211482816,0.5266597361,0.6478080177
330,0.3667327038,0.5259044630,0.8926371668
331,0.0713273579,0.5251514647,0.5964788226
332,0.1814518795,0.5244007276,0.7058526071
333,0.1749039082,0.5236522382,0.6985561464
334,0.1099576415,0.5229059829,0.6328636244
335,0.0996949507,0.5221619486,0.6218568993
336,0.3769555800,0.5214201220,0.8983757020
337,0.0435163254,0.5206804901,0.5641968155
338,0.1446591708,0.5199430399,0.6646022107
339,0.1092857674,0.5192077587,0.6284935260
340,0.2599466017,0.5184746336,0.7784212353
341,0.0865977506,0.5177436520,0.6043414026
342,0.2620336027,0.5170148015,0.7790484042
343,0.0921139347,0.5162880697,0.6084020045
344,0.1842819057,0.5155634443,0.6998453500
345,0.1951646742,0.5148409132,0.7100055874
346,0.1098051947,0.5141204641,0.6239256589
347,0.0434630519,0.5134020853,0.5568651372
348,0.2677385769,0.5126857648,0.7804243417
349,0.0434527633,0.5119714908,0.5554242542
350,0.2587172646,0.5112592518,0.7699765163
351,0.1799415772,0.5105490361,0.6904906133
352,0.2384060955,0.5098408322,0.7482469278
353,0.0434325358,0.5091346289,0.5525671647
354,0.2015955030,0.5084304148,0.7100259179
355,0.0991992346,0.5077281788,0.6069274134
356,0.1530739324,0.5070279098,0.6601018422
357,0.1881466550,0.5063295968,0.6944762517
358,0.1096629532,0.5056332288,0.6152961820
359,0.0434030391,0.5049387952,0.5483418343
360,0.4263253479,0.5042462851,0.9305716331
361,0.0628966901,0.5035556880,0.5664523781
362,0.1096176320,0.5028669933,0.6124846253
363,0.1467683618,0.5021801906,0.6489485524
364,0.2495246285,0.5014952695,0.7510198980
365,0.0977814132,0.5008122196,0.5985936329
366,0.2011569595,0.5001310309,0.7012879904
367,0.0433652097,0.4994516932,0.5428169029
368,0.2064640110,0.4987741965,0.7052382075
369,0.1448173349,0.4980985307,0.6429158657
370,0.1887201552,0.4974246862,0.6861448414
371,0.0908744433,0.4967526529,0.5876270962
372,0.2632898510,0.4960824214,0.7593722724
373,0.0433379020,0.4954139818,0.5387518838
374,0.1756323704,0.4947473247,0.6703796951
375,0.1856835021,0.4940824406,0.6797659427
376,0.1805486978,0.4934193200,0.6739680178
377,0.0828396554,0.4927579537,0.5755976090
378,0.3122627625,0.4920983323,0.8043610948
379,0.0433114585,0.4914404468,0.5347519052
380,0.2520537190,0.4907842879,0.7428380069
381,0.1051524583,0.4901298467,0.5952823050
382,0.1094052439,0.4894771141,0.5988823580
383,0.0432942895,0.4888260814,0.5321203708
384,0.2980195332,0.4881767396,0.7861962728
385,0.1790252175,0.4875290799,0.6665542975
386,0.1093654038,0.4868830938,0.5962484976
387,0.1406563637,0.4862387725,0.6268951362
388,0.1504904974,0.4855961075,0.6360866049
389,0.0432691977,0.4849550904,0.5282242881
390,0.3219893159,0.4843157126,0.8063050285
391,0.0806530385,0.4836779659,0.5643310044
392,0.2413657224,0.4830418419,0.7244075643
393,0.1049894091,0.4824073324,0.5873967414
394,0.1092881474,0.4817744291,0.5910625765
395,0.0958857052,0.4811431241,0.5770288293
396,0.3352976007,0.4805134093,0.8158110099
397,0.0432369212,0.4798852765,0.5231221977
398,0.1092506823,0.4792587181,0.5885094004
399,0.1798203941,0.4786337259,0.6584541200
400,0.2724726500,0.4780102923,0.7504829423
401,0.0432212656,0.4773884096,0.5206096752
402,0.1881946869,0.4767680699,0.6649627568
403,0.0814671848,0.4761492656,0.5576164504
404,0.1418539647,0.4755319892,0.6173859539
405,0.2128071745,0.4749162332,0.6877234077
406,0.1701371303,0.4743019901,0.6444391204
