i,row_gcd2_12,row_inv_max,row_total_excess
498,0.1808823441,0.4234108516,0.6042931957
499,0.0429160763,0.4229108556,0.4658269319
500,0.1834268646,0.4224118576,0.6058387222
501,0.0582395965,0.4219138536,0.4801534501
502,0.0584867351,0.4214168397,0.4799035748
503,0.0012396426,0.4209208119,0.4221604545
504,0.3302183079,0.4204257663,0.7506440742
505,0.0496906401,0.4199316990,0.4696223391
506,0.1151523130,0.4194386062,0.5345909193
507,0.0894363117,0.4189464841,0.5083827958
508,0.0963644844,0.4184553288,0.5148198132
509,0.0012250338,0.4179651365,0.4191901702
510,0.2501350360,0.4174759035,0.6676109394
511,0.0435474800,0.4169876260,0.4605351060
512,0.1389586186,0.4165003003,0.5554589189
513,0.1161952771,0.4160139226,0.5322091997
514,0.0584183532,0.4155284894,0.4739468426
515,0.0495768094,0.4150439970,0.4646208063
516,0.1946807359,0.4145604416,0.6092411776
517,0.0370213021,0.4140778197,0.4510991219
518,0.1211122078,0.4135961278,0.5347083356
519,0.0580985038,0.4131153621,0.4712138659
520,0.2323543425,0.4126355192,0.6449898617
521,0.0011968253,0.4121565956,0.4133534208
522,0.1870814485,0.4116785876,0.5987600360
523,0.0011922497,0.4112014919,0.4123937415
524,0.0961850082,0.4107253049,0.5069103130
525,0.1913873664,0.4102500231,0.6016373895
526,0.0583530891,0.4097756433,0.4681287324
527,0.0331293331,0.4093021618,0.4424314950
528,0.2780662388,0.4088295754,0.6868958143
529,0.0167525691,0.4083578807,0.4251104498
530,0.1274896509,0.4078870743,0.5353767252
531,0.0888665102,0.4074171528,0.4962836630
532,0.1781524558,0.4069481130,0.5851005688
533,0.0347480070,0.4064799515,0.4412279585
534,0.1385774165,0.4060126650,0.5445900815
535,0.0493618884,0.4055462504,0.4549081388
536,0.1214285562,0.4050807043,0.5265092605
537,0.0579668592,0.4046160235,0.4625828828
538,0.0582907344,0.4041522048,0.4624429392
539,0.0758132070,0.4036892451,0.4795024521
540,0.3296587653,0.4032271410,0.7328859063
541,0.0011525913,0.4027658896,0.4039184808
542,0.0582705626,0.4023054876,0.4605760502
543,0.0579249151,0.4018459319,0.4597708469
544,0.1631532479,0.4013872194,0.5645404673
545,0.0492603316,0.4009293470,0.4501896786
546,0.2397744624,0.4004723117,0.6402467741
547,0.0011399517,0.4000161103,0.4011560620
548,0.0959354111,0.3995607400,0.4954961511
549,0.0885255536,0.3991061975,0.4876317511
550,0.1770078832,0.3986524800,0.5756603633
551,0.0318473791,0.3981995845,0.4300469636
552,0.2336634975,0.3977475079,0.6314110054
553,0.0420722273,0.3972962473,0.4393684747
554,0.0582117939,0.3968457998,0.4550575937
555,0.1291436712,0.3963961624,0.5255398337
556,0.0958569925,0.3959473323,0.4918043248
557,0.0011194907,0.3954993065,0.3966187972
558,0.1837169162,0.3950520822,0.5787689984
559,0.0339705679,0.3946056565,0.4285762244
560,0.2713551229,0.3941600266,0.6655151495
561,0.1172000938,0.3937151895,0.5109152833
562,0.0581740080,0.3932711426,0.4514451507
563,0.0011075629,0.3928278830,0.3939354459
564,0.1915484384,0.3923854079,0.5839338463
565,0.0472162753,0.3919437146,0.4391599899
566,0.0581555154,0.3915028002,0.4496583156
567,0.1462001584,0.3910626621,0.5372628205
568,0.1208344395,0.3906232975,0.5114577371
569,0.0010958866,0.3901847038,0.3912805903
570,0.2418359237,0.3897468781,0.6315828018
571,0.0010920490,0.3893098178,0.3904018668
572,0.1677087036,0.3888735203,0.5565822239
573,0.0577283564,0.3884379829,0.4461663393
574,0.1181084805,0.3880032030,0.5061116834
575,0.0743567588,0.3875691778,0.4619259366
576,0.2695391205,0.3871359049,0.6566750254
577,0.0010806958,0.3867033815,0.3877840773
578,0.0834856314,0.3862716052,0.4697572365
579,0.0576914863,0.3858405733,0.4435320596
580,0.1768552927,0.3854102832,0.5622655759
581,0.0417439459,0.3849807325,0.4267246784
582,0.1365794931,0.3845519186,0.5211314117
583,0.0347457782,0.3841238389,0.4188696172
584,0.1175860731,0.3836964910,0.5012825641
585,0.1807197209,0.3832698723,0.5639895932
586,0.0580668368,0.3828439804,0.4409108172
587,0.0010622895,0.3824188128,0.3834811024
588,0.2568195406,0.3819943671,0.6388139077
589,0.0306887534,0.3815706407,0.4122593941
590,0.1238325078,0.3811476313,0.5049801391
591,0.0576199898,0.3807253364,0.4383453262
592,0.1372882242,0.3803037537,0.5175919779
593,0.0010515436,0.3798828807,0.3809344243
594,0.2249184425,0.3794627150,0.6043811575
595,0.1128175494,0.3790432543,0.4918608037
596,0.0925203717,0.3786244962,0.4711448678
597,0.0575853183,0.3782064383,0.4357917566
598,0.1086150906,0.3777890784,0.4864041690
599,0.0010410130,0.3773724140,0.3784134270
600,0.3114078607,0.3769564430,0.6883643036
