j	k	G_jk	abs_G_jk	product_maxjk
1	1101	3.299220955623159e-3	3.299220955623159e-3	3.632442272141099e0
1	1111	3.273593139478305e-3	3.273593139478305e-3	3.636961977960397e0
1	1121	3.248386435353296e-3	3.248386435353296e-3	3.641441194031045e0
1	1131	3.223590308904186e-3	3.223590308904186e-3	3.645880639370634e0
1	1141	3.199194578451101e-3	3.199194578451101e-3	3.650281014012706e0
1	1151	3.175189400233911e-3	3.175189400233911e-3	3.654642999669231e0
1	1161	3.151565254405209e-3	3.151565254405209e-3	3.658967260364447e0
1	1171	3.128312931717776e-3	3.128312931717776e-3	3.663254443041515e0
1	1181	3.105423520866545e-3	3.105423520866545e-3	3.667505178143390e0
1	1191	3.082888396447700e-3	3.082888396447700e-3	3.671720080169210e0
1	1201	3.060699207499941e-3	3.060699207499941e-3	3.675899748207430e0
1	1211	3.038847866595249e-3	3.038847866595249e-3	3.680044766446847e0
1	1221	3.017326539448512e-3	3.017326539448512e-3	3.684155704666633e0
1	1231	2.996127635017360e-3	2.996127635017360e-3	3.688233118706370e0
1	1241	2.975243796065339e-3	2.975243796065339e-3	3.692277550917086e0
1	1251	2.954667890163221e-3	2.954667890163221e-3	3.696289530594189e0
1	1261	2.934393001104815e-3	2.934393001104815e-3	3.700269574393172e0
1	1271	2.914412420715107e-3	2.914412420715107e-3	3.704218186728901e0
1	1281	2.894719641029872e-3	2.894719641029872e-3	3.708135860159266e0
1	1291	2.875308346827193e-3	2.875308346827193e-3	3.712023075753907e0
1	1301	2.856172408492487e-3	2.856172408492487e-3	3.715880303448726e0
1	1311	2.837305875199717e-3	2.837305875199717e-3	3.719708002386829e0
1	1321	2.818702968392514e-3	2.818702968392514e-3	3.723506621246512e0
1	1331	2.800358075549873e-3	2.800358075549873e-3	3.727276598556882e0
1	1341	2.782265744221978e-3	2.782265744221978e-3	3.731018363001672e0
1	1351	2.764420676322555e-3	2.764420676322555e-3	3.734732333711772e0
1	1361	2.746817722664929e-3	2.746817722664929e-3	3.738418920546969e0
1	1371	2.729451877729671e-3	2.729451877729671e-3	3.742078524367380e0
1	1381	2.712318274652447e-3	2.712318274652447e-3	3.745711537295029e0
1	1391	2.695412180421267e-3	2.695412180421267e-3	3.749318342965982e0
1	1401	2.678728991272984e-3	2.678728991272984e-3	3.752899316773451e0
1	1411	2.662264228279422e-3	2.662264228279422e-3	3.756454826102265e0
1	1421	2.646013533114040e-3	2.646013533114040e-3	3.759985230555051e0
1	1431	2.629972663990563e-3	2.629972663990563e-3	3.763490882170496e0
1	1441	2.614137491765441e-3	2.614137491765441e-3	3.766972125634001e0
1	1451	2.598503996196457e-3	2.598503996196457e-3	3.770429298481059e0
1	1461	2.583068262350205e-3	2.583068262350205e-3	3.773862731293649e0
1	1471	2.567826477151551e-3	2.567826477151551e-3	3.777272747889931e0
1	1481	2.552774926068546e-3	2.552774926068546e-3	3.780659665507517e0
1	1491	2.537909989926608e-3	2.537909989926608e-3	3.784023794980573e0
1	1501	2.523228141846110e-3	2.523228141846110e-3	3.787365440911011e0
1	1511	2.508725944297810e-3	2.508725944297810e-3	3.790684901833992e0
1	1521	2.494400046270853e-3	2.494400046270853e-3	3.793982470377968e0
1	1531	2.480247180548330e-3	2.480247180548330e-3	3.797258433419493e0
1	1541	2.466264161085647e-3	2.466264161085647e-3	3.800513072232981e0
1	1551	2.452447880487192e-3	2.452447880487192e-3	3.803746662635635e0
1	1561	2.438795307577004e-3	2.438795307577004e-3	3.806959475127703e0
1	1571	2.425303485059376e-3	2.425303485059376e-3	3.810151775028279e0
1	1581	2.411969527265512e-3	2.411969527265512e-3	3.813323822606774e0
1	1591	2.398790617982561e-3	2.398790617982561e-3	3.816475873210254e0
1	1601	2.385764008361521e-3	2.385764008361521e-3	3.819608177386795e0
1	1611	2.372887014900671e-3	2.372887014900671e-3	3.822720981004981e0
1	1621	2.360157017501370e-3	2.360157017501370e-3	3.825814525369721e0
1	1631	2.347571457593195e-3	2.347571457593195e-3	3.828889047334501e0
1	1641	2.335127836325532e-3	2.335127836325532e-3	3.831944779410198e0
1	1651	2.322823712822895e-3	2.322823712822895e-3	3.834981949870600e0
1	1661	2.310656702501346e-3	2.310656702501346e-3	3.838000782854735e0
1	1671	2.298624475443525e-3	2.298624475443525e-3	3.841001498466130e0
1	1681	2.286724754829927e-3	2.286724754829927e-3	3.843984312869108e0
1	1691	2.274955315424147e-3	2.274955315424147e-3	3.846949438382232e0
1	1701	2.263313982109933e-3	2.263313982109933e-3	3.849897083568996e0
1	1711	2.251798628477995e-3	2.251798628477995e-3	3.852827453325850e0
1	1721	2.240407175460587e-3	2.240407175460587e-3	3.855740748967670e0
1	1731	2.229137590011989e-3	2.229137590011989e-3	3.858637168310754e0
1	1741	2.217987883833090e-3	2.217987883833090e-3	3.861516905753410e0
