j	k	G_jk	abs_G_jk	product_maxjk
11	1351	2.549779525180527e-3	2.549779525180527e-3	3.444752138518892e0
11	1361	2.533628597425573e-3	2.533628597425573e-3	3.448268521096205e0
11	1371	2.517760721640074e-3	2.517760721640074e-3	3.451849949368542e0
11	1381	2.502161403552802e-3	2.502161403552802e-3	3.455484898306419e0
11	1391	2.486768286687925e-3	2.486768286687925e-3	3.459094686782904e0
11	1401	2.471577324217860e-3	2.471577324217860e-3	3.462679831229222e0
11	1411	2.456638262187166e-3	2.456638262187166e-3	3.466316587946091e0
11	1421	2.441951563812208e-3	2.441951563812208e-3	3.470013172177147e0
11	1431	2.427554881549044e-3	2.427554881549044e-3	3.473831035496681e0
11	1441	2.413647927238245e-3	2.413647927238245e-3	3.478066663150312e0
11	1451	2.398873279998202e-3	2.398873279998202e-3	3.480765129277391e0
11	1461	2.384594051612172e-3	2.384594051612172e-3	3.483891909405383e0
11	1471	2.370594407139361e-3	2.370594407139361e-3	3.487144372902000e0
11	1481	2.356825623801351e-3	2.356825623801351e-3	3.490458748849800e0
11	1491	2.343275960644715e-3	2.343275960644715e-3	3.493824457321271e0
11	1501	2.329892514017563e-3	2.329892514017563e-3	3.497168663540361e0
11	1511	2.316672261383663e-3	2.316672261383663e-3	3.500491786950714e0
11	1521	2.303658470351316e-3	2.303658470351316e-3	3.503864533404351e0
11	1531	2.290852119380935e-3	2.290852119380935e-3	3.507294594772212e0
11	1541	2.278286254205384e-3	2.278286254205384e-3	3.510839117730496e0
11	1551	2.266133936216062e-3	2.266133936216062e-3	3.514773735071112e0
11	1561	2.253223439784776e-3	2.253223439784776e-3	3.517281789504035e0
11	1571	2.240731383671389e-3	2.240731383671389e-3	3.520189003747752e0
11	1581	2.228472105663767e-3	2.228472105663767e-3	3.523214399054416e0
11	1591	2.216404013370443e-3	2.216404013370443e-3	3.526298785272375e0
11	1601	2.204517419188816e-3	2.204517419188816e-3	3.529432388121295e0
11	1611	2.192766861153145e-3	2.192766861153145e-3	3.532547413317717e0
11	1621	2.181150035147618e-3	2.181150035147618e-3	3.535644206974288e0
11	1631	2.169704892997113e-3	2.169704892997113e-3	3.538788680478291e0
11	1641	2.158432703744191e-3	2.158432703744191e-3	3.541988066844218e0
11	1651	2.147362673618745e-3	2.147362673618745e-3	3.545295774144548e0
11	1661	2.136646192588990e-3	2.136646192588990e-3	3.548969325890312e0
11	1671	2.125261561616706e-3	2.125261561616706e-3	3.551312069461516e0
11	1681	2.114234700184782e-3	2.114234700184782e-3	3.554028531010619e0
11	1691	2.103404195416526e-3	2.103404195416526e-3	3.556856494449345e0
11	1701	2.092734120287593e-3	2.092734120287593e-3	3.559740738609197e0
11	1711	2.082216355105154e-3	2.082216355105154e-3	3.562672183584919e0
11	1721	2.071811403322560e-3	2.071811403322560e-3	3.565587425118127e0
11	1731	2.061517477037355e-3	2.061517477037355e-3	3.568486752751661e0
11	1741	2.051368118504744e-3	2.051368118504744e-3	3.571431894316759e0
11	1751	2.041364749779788e-3	2.041364749779788e-3	3.574429676864408e0
11	1761	2.031533350853287e-3	2.031533350853287e-3	3.577530230852639e0
11	1771	2.022007456422553e-3	2.022007456422553e-3	3.580975205324341e0
11	1781	2.011888311309029e-3	2.011888311309029e-3	3.583173082441381e0
11	1791	2.002078326096418e-3	2.002078326096418e-3	3.585722282038684e0
