a	b	n_two_tile	beta_full	beta_once	s_perm	piece1_logG_beta	piece2_logG_alpha	piece3_digamma	piece1_gauss_err	sum_pcl	delta_target	identity_err
11	15	11	true	true	true	-7.264034268770493e-1	6.324116654967350e-1	7.155938329323761e-2	5.562685e-309	-2.243237808707668e-2	-2.243237808707668e-2	5.786722e-126
11	16	11	true	true	true	-7.264034268770493e-1	6.512407779768149e-1	5.706871627597553e-2	5.562685e-309	-1.809393262425888e-2	-1.809393262425888e-2	6.781314e-126
11	17	11	true	true	true	-7.264034268770493e-1	6.410634100076607e-1	6.732167986449344e-2	5.562685e-309	-1.801833700489523e-2	-1.801833700489523e-2	7.658896e-126
11	18	11	true	true	true	-7.264034268770493e-1	6.575986682786520e-1	5.416947048128731e-2	5.562685e-309	-1.463528811711001e-2	-1.463528811711001e-2	8.438969e-126
11	19	11	true	true	true	-7.264034268770493e-1	6.630954456797761e-1	5.093729486518836e-2	5.562685e-309	-1.237068633208482e-2	-1.237068633208482e-2	9.136929e-126
11	20	11	true	true	true	-7.264034268770493e-1	6.716404669807241e-1	4.517924733215953e-2	5.562685e-309	-9.583712564165693e-3	-9.583712564165693e-3	9.765093e-126
12	13	12	true	true	true	-7.388225450297833e-1	6.016288607281622e-1	1.063228003131952e-1	1.112537e-308	-3.087088398842588e-2	-3.087088398842588e-2	1.530143e-126
12	17	12	true	true	true	-7.388225450297833e-1	6.588037274874630e-1	6.158628900613691e-2	1.112537e-308	-1.843252853618342e-2	-1.843252853618342e-2	5.850546e-126
12	19	12	true	true	true	-7.388225450297833e-1	6.659332905200963e-1	5.772003873511945e-2	1.112537e-308	-1.516921577456761e-2	-1.516921577456761e-2	7.328578e-126
13	14	13	true	true	true	-7.495990553634849e-1	6.172913623540891e-1	1.035058758413308e-1	0.000000e0	-2.880181716806500e-2	-2.880181716806500e-2	1.311551e-126
13	15	13	true	true	true	-7.495990553634849e-1	6.406497223294272e-1	8.334924712549308e-2	0.000000e0	-2.560008590856474e-2	-2.560008590856474e-2	2.448228e-126
13	16	13	true	true	true	-7.495990553634849e-1	6.552874584820529e-1	7.170315332411414e-2	0.000000e0	-2.260844355731789e-2	-2.260844355731789e-2	3.442821e-126
13	17	13	true	true	true	-7.495990553634849e-1	6.664232528966770e-1	6.333106978543572e-2	0.000000e0	-1.984473268137216e-2	-1.984473268137216e-2	4.320403e-126
13	18	13	true	true	true	-7.495990553634849e-1	6.701025335946816e-1	6.139951374105392e-2	0.000000e0	-1.809700802774945e-2	-1.809700802774945e-2	5.100476e-126
13	19	13	true	true	true	-7.495990553634849e-1	6.834592205184955e-1	5.116041807677212e-2	0.000000e0	-1.497941676821730e-2	-1.497941676821730e-2	5.798436e-126
13	20	13	true	true	true	-7.495990553634849e-1	6.711151436395698e-1	6.295089984742940e-2	0.000000e0	-1.553301187648573e-2	-1.553301187648573e-2	6.426600e-126
14	15	14	true	true	true	-7.590480190609369e-1	6.312859595983052e-1	1.007734965767173e-1	5.562685e-309	-2.698856288591434e-2	-2.698856288591434e-2	1.136677e-126
14	17	14	true	true	true	-7.590480190609369e-1	6.646257803604836e-1	7.262989911938192e-2	5.562685e-309	-2.179233958107134e-2	-2.179233958107134e-2	3.008852e-126
14	19	14	true	true	true	-7.590480190609369e-1	6.766799219539670e-1	6.440362191836618e-2	5.562685e-309	-1.796447518860370e-2	-1.796447518860370e-2	4.486885e-126
15	16	15	true	true	true	-7.674076242876209e-1	6.438768010002665e-1	9.814361137151101e-2	5.562685e-309	-2.538721191584341e-2	-2.538721191584341e-2	9.945928e-127
15	17	15	true	true	true	-7.674076242876209e-1	6.645134872254191e-1	7.996785612571118e-2	5.562685e-309	-2.292628093649056e-2	-2.292628093649056e-2	1.872175e-126
15	19	15	true	true	true	-7.674076242876209e-1	6.822569613215240e-1	6.621134082055194e-2	5.562685e-309	-1.893932214554492e-2	-1.893932214554492e-2	3.350207e-126
16	17	16	true	true	true	-7.748614773093875e-1	6.552739329401718e-1	9.562436879097509e-2	0.000000e0	-2.396317557824063e-2	-2.396317557824063e-2	8.775819e-127
16	19	16	true	true	true	-7.748614773093875e-1	6.869083610919778e-1	6.824865401273060e-2	0.000000e0	-1.970446220467908e-2	-1.970446220467908e-2	2.355615e-126
17	18	17	true	true	true	-7.815535211321563e-1	6.656466304816865e-1	9.321800002513304e-2	5.562685e-309	-2.268889062533671e-2	-2.268889062533671e-2	7.800728e-127
17	19	17	true	true	true	-7.815535211321563e-1	6.841199949332121e-1	7.669381487389348e-2	5.562685e-309	-2.073971132505063e-2	-2.073971132505063e-2	1.478033e-126
17	20	17	true	true	true	-7.815535211321563e-1	6.939787246695386e-1	6.855638962030416e-2	5.562685e-309	-1.901840684231343e-2	-1.901840684231343e-2	2.106196e-126
18	19	18	true	true	true	-7.875982880850753e-1	6.751329455711613e-1	9.092318989147391e-2	5.562685e-309	-2.154215262243999e-2	-2.154215262243999e-2	6.979599e-127
19	20	19	true	true	true	-7.930881109526784e-1	6.838466733189503e-1	8.873654506376261e-2	0.000000e0	-2.050489256996546e-2	-2.050489256996546e-2	6.281639e-127
