j	k	gcd	a	b	ftc_value	series_value	formula_value	err_ftc_series	err_ftc_formula
8	13	1	8	13	9.423036122254257e-2	9.423101524820564e-2	9.423098820867080e-2	6.540257e-7	6.269861e-7
8	14	2	4	7	9.078428639168896e-2	9.078494246658791e-2	9.078491881378778e-2	6.560749e-7	6.324221e-7
8	15	1	8	15	8.834853926112053e-2	8.834915453634476e-2	8.834916598261366e-2	6.152752e-7	6.267215e-7
9	10	1	9	10	1.103332052048240e-1	1.103337720096054e-1	1.103337628007506e-1	5.668048e-7	5.575959e-7
9	11	1	9	11	1.015905463947143e-1	1.015911071035242e-1	1.015911038051899e-1	5.607088e-7	5.574105e-7
9	12	3	3	4	9.588949198221373e-2	9.589005583303985e-2	9.589006295443635e-2	5.638508e-7	5.709722e-7
9	13	1	9	13	9.091936683023864e-2	9.091991564978667e-2	9.091992395412843e-2	5.488195e-7	5.571239e-7
9	14	1	9	14	8.699595297261689e-2	8.699651237600356e-2	8.699650998634427e-2	5.594034e-7	5.570137e-7
9	15	3	3	5	8.377750369285587e-2	8.377808689682900e-2	8.377807158026362e-2	5.832040e-7	5.678874e-7
10	11	1	10	11	1.013210050906303e-1	1.013215307803221e-1	1.013215065959788e-1	5.256897e-7	5.015053e-7
10	12	2	5	6	9.376055451618449e-2	9.376109793029876e-2	9.376106006096242e-2	5.434141e-7	5.055448e-7
10	13	1	10	13	8.830543970720670e-2	8.830596724962013e-2	8.830594097955301e-2	5.275424e-7	5.012723e-7
10	14	2	5	7	8.415378040038238e-2	8.415430203020303e-2	8.415428514819234e-2	5.216298e-7	5.047478e-7
10	15	5	2	3	8.155350742615780e-2	8.155403291750128e-2	8.155403518921377e-2	5.254913e-7	5.277631e-7
11	12	1	11	12	9.366963637097456e-2	9.367005932638922e-2	9.367009205790590e-2	4.229554e-7	4.556869e-7
11	13	1	11	13	8.692274353646684e-2	8.692318185626162e-2	8.692319913100360e-2	4.383198e-7	4.555945e-7
11	14	1	11	14	8.211148316564530e-2	8.211195241023993e-2	8.211193868530307e-2	4.692446e-7	4.555197e-7
11	15	1	11	15	7.836450490419668e-2	7.836497497923041e-2	7.836496035881071e-2	4.700750e-7	4.554546e-7
12	13	1	12	13	8.709396409876545e-2	8.709440992537273e-2	8.709438164205288e-2	4.458266e-7	4.175433e-7
12	14	2	6	7	8.113524579429575e-2	8.113567269252930e-2	8.113566575643240e-2	4.268982e-7	4.199621e-7
12	15	3	4	5	7.690263355352177e-2	7.690307394745863e-2	7.690305715261932e-2	4.403939e-7	4.235991e-7
13	14	1	13	14	8.138273288154643e-2	8.138313441811854e-2	8.138311819305660e-2	4.015366e-7	3.853115e-7
13	15	1	13	15	7.600513146228903e-2	7.600554064497961e-2	7.600551672831049e-2	4.091827e-7	3.852660e-7
14	15	1	14	15	7.637631622936707e-2	7.637661013821653e-2	7.637667392936624e-2	2.939088e-7	3.577000e-7
