a	b	strip	stirling_b	ft_a	tsum_delta	formula	lhs	identity_err	gap_algebraic	gap_numerical	gap_match
35	79	1.229656419529837e-2	3.299511411491299e-3	6.450427976151647e-3	-2.595390901813585e-3	1.902143167868710e-2	1.945111268112773e-2	4.296810e-4	3.425356071897430e-3	3.855037074338063e-3	4.296810e-4
36	79	1.230661040787623e-2	3.299511411491299e-3	6.374512631738870e-3	-2.688088442454887e-3	1.893480239955039e-2	1.929254600865151e-2	3.577436e-4	3.328680580182856e-3	3.686424189283983e-3	3.577436e-4
37	79	1.231611358193637e-2	3.299511411491299e-3	6.489821718848477e-3	-2.896858821295554e-3	1.889171712569314e-2	1.920858789098059e-2	3.168708e-4	3.276092132265476e-3	3.592962897552924e-3	3.168708e-4
38	79	1.232511658894071e-2	3.299511411491299e-3	6.630565122229178e-3	-2.998492982045512e-3	1.891137193307670e-2	1.925670014061567e-2	3.453282e-4	3.286743932644697e-3	3.632072140183666e-3	3.453282e-4
39	79	1.233365790327816e-2	3.299511411491299e-3	6.866537750958371e-3	-3.006099662897951e-3	1.903895560779030e-2	1.949360740282988e-2	4.546518e-4	3.405786293020842e-3	3.860438088060420e-3	4.546518e-4
40	79	1.234177215189873e-2	3.299511411491299e-3	3.871479577814614e-3	-3.513562146760802e-4	1.887114795371471e-2	1.916140692652857e-2	2.902590e-4	3.229864390324671e-3	3.520123363138534e-3	2.902590e-4
41	79	1.234949058351343e-2	3.299511411491299e-3	4.163236115981763e-3	-9.716582108386815e-4	1.842420061523402e-2	1.884057990014781e-2	4.163793e-4	2.775198620229292e-3	3.191577905143081e-3	4.163793e-4
42	79	1.235684147076552e-2	3.299511411491299e-3	4.345970281013509e-3	-1.491581420123183e-3	1.809354130859736e-2	1.851074174314715e-2	4.172004e-4	2.437188426340540e-3	2.854388860890326e-3	4.172004e-4
43	79	1.236385045628496e-2	3.299511411491299e-3	4.492365131566551e-3	-1.921385623293709e-3	1.782639123677649e-2	1.823434137604910e-2	4.079501e-4	2.163029369000231e-3	2.570979508272842e-3	4.079501e-4
44	79	1.237054085155351e-2	3.299511411491299e-3	4.474754005333031e-3	-2.193342687348492e-3	1.760003701783842e-2	1.795146358102935e-2	3.514266e-4	1.929984754793607e-3	2.281411317984539e-3	3.514266e-4
45	79	1.237693389592124e-2	3.299511411491299e-3	4.675321305548184e-3	-2.557766391495302e-3	1.740593210105438e-2	1.779400022146542e-2	3.880681e-4	1.729486793641844e-3	2.117554914052883e-3	3.880681e-4
46	79	1.238304898183819e-2	3.299511411491299e-3	4.636215683790071e-3	-2.715419281805272e-3	1.722066132517237e-2	1.760335679531429e-2	3.826955e-4	1.538100931842876e-3	1.920796401984799e-3	3.826955e-4
47	79	1.238890385133315e-2	3.299511411491299e-3	4.746727643456810e-3	-2.997156372605377e-3	1.707418706142956e-2	1.743798653367588e-2	3.637995e-4	1.385771798605109e-3	1.749571270851433e-3	3.637995e-4
48	79	1.239451476793249e-2	3.299511411491299e-3	4.494878557216824e-3	-2.871835942812165e-3	1.691928340797216e-2	1.731706879382845e-2	3.977854e-4	1.225257228548369e-3	1.623042614404659e-3	3.977854e-4
49	79	1.239989666752777e-2	3.299511411491299e-3	4.620408764162353e-3	-3.159444767736272e-3	1.677443095521701e-2	1.716037207544515e-2	3.859411e-4	1.075022876197943e-3	1.460963996426081e-3	3.859411e-4
