a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	sum_pcl	delta_target	identity_err	certified
13	20	12	true	true	true	8.900295e-308	0.000000e0	7.120236e-307	7.120236e-307	-1.553301187648573e-2	-1.553301187648573e-2	6.426600e-126	true
14	15	13	true	true	true	8.900295e-308	1.780059e-307	3.560118e-307	3.560118e-307	-2.698856288591434e-2	-2.698856288591434e-2	1.136677e-126	true
14	17	13	true	true	true	8.900295e-308	8.900295e-308	3.560118e-307	0.000000e0	-2.179233958107134e-2	-2.179233958107134e-2	3.008852e-126	true
14	19	13	true	true	true	8.900295e-308	0.000000e0	3.560118e-307	7.120236e-307	-1.796447518860370e-2	-1.796447518860370e-2	4.486885e-126	true
15	16	14	true	true	true	1.780059e-307	0.000000e0	3.560118e-307	3.560118e-307	-2.538721191584341e-2	-2.538721191584341e-2	9.945928e-127	true
15	17	14	true	true	true	1.780059e-307	8.900295e-308	3.560118e-307	0.000000e0	-2.292628093649056e-2	-2.292628093649056e-2	1.872175e-126	true
15	19	14	true	true	true	1.780059e-307	0.000000e0	3.560118e-307	7.120236e-307	-1.893932214554492e-2	-1.893932214554492e-2	3.350207e-126	true
16	17	15	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	0.000000e0	-2.396317557824063e-2	-2.396317557824063e-2	8.775819e-127	true
16	19	15	true	true	true	0.000000e0	0.000000e0	3.560118e-307	7.120236e-307	-1.970446220467908e-2	-1.970446220467908e-2	2.355615e-126	true
17	18	16	true	true	true	8.900295e-308	8.900295e-308	0.000000e0	7.120236e-307	-2.268889062533671e-2	-2.268889062533671e-2	7.800728e-127	true
17	19	16	true	true	true	8.900295e-308	0.000000e0	0.000000e0	7.120236e-307	-2.073971132505063e-2	-2.073971132505063e-2	1.478033e-126	true
17	20	16	true	true	true	8.900295e-308	0.000000e0	0.000000e0	7.120236e-307	-1.901840684231343e-2	-1.901840684231343e-2	2.106196e-126	true
18	19	17	true	true	true	8.900295e-308	0.000000e0	7.120236e-307	7.120236e-307	-2.154215262243999e-2	-2.154215262243999e-2	6.979599e-127	true
19	20	18	true	true	true	0.000000e0	0.000000e0	7.120236e-307	7.120236e-307	-2.050489256996546e-2	-2.050489256996546e-2	6.281639e-127	true
