t	energy
8.8400	0.494975
8.8500	0.493530
8.8600	0.492151
8.8700	0.490842
8.8800	0.489608
8.8900	0.488453
8.9000	0.487380
8.9100	0.486390
8.9200	0.485485
8.9300	0.484665
8.9400	0.483929
8.9500	0.483275
8.9600	0.482701
8.9700	0.482204
8.9800	0.481778
8.9900	0.481419
9.0000	0.481120
9.0100	0.480876
9.0200	0.480679
9.0300	0.480522
9.0400	0.480395
9.0500	0.480291
9.0600	0.480201
9.0700	0.480116
9.0800	0.480027
9.0900	0.479925
9.1000	0.479802
9.1100	0.479650
9.1200	0.479460
9.1300	0.479225
9.1400	0.478938
9.1500	0.478593
9.1600	0.478185
9.1700	0.477708
9.1800	0.477160
9.1900	0.476537
9.2000	0.475838
9.2100	0.475062
9.2200	0.474209
9.2300	0.473280
9.2400	0.472278
9.2500	0.471205
9.2600	0.470066
9.2700	0.468867
9.2800	0.467612
9.2900	0.466310
9.3000	0.464967
9.3100	0.463591
9.3200	0.462192
9.3300	0.460777
9.3400	0.459358
9.3500	0.457943
9.3600	0.456542
9.3700	0.455166
9.3800	0.453822
9.3900	0.452522
9.4000	0.451274
9.4100	0.450086
9.4200	0.448966
9.4300	0.447922
9.4400	0.446960
9.4500	0.446086
9.4600	0.445304
9.4700	0.444618
9.4800	0.444031
9.4900	0.443544
9.5000	0.443158
9.5100	0.442872
9.5200	0.442683
9.5300	0.442590
9.5400	0.442588
9.5500	0.442671
9.5600	0.442835
9.5700	0.443071
9.5800	0.443372
9.5900	0.443729
9.6000	0.444133
9.6100	0.444574
9.6200	0.445042
9.6300	0.445525
9.6400	0.446014
9.6500	0.446498
9.6600	0.446965
9.6700	0.447404
9.6800	0.447807
9.6900	0.448162
9.7000	0.448461
9.7100	0.448694
9.7200	0.448855
9.7300	0.448937
9.7400	0.448933
9.7500	0.448839
9.7600	0.448652
9.7700	0.448368
9.7800	0.447987
9.7900	0.447509
9.8000	0.446935
9.8100	0.446268
9.8200	0.445512
9.8300	0.444672
9.8400	0.443754
9.8500	0.442766
9.8600	0.441715
9.8700	0.440612
9.8800	0.439466
9.8900	0.438288
9.9000	0.437090
9.9100	0.435883
9.9200	0.434680
9.9300	0.433492
9.9400	0.432333
9.9500	0.431214
9.9600	0.430147
9.9700	0.429144
9.9800	0.428215
9.9900	0.427371
10.0000	0.426621
10.0100	0.425973
10.0200	0.425435
10.0300	0.425013
10.0400	0.424711
10.0500	0.424534
10.0600	0.424482
10.0700	0.424558
10.0800	0.424759
10.0900	0.425085
10.1000	0.425531
10.1100	0.426093
10.1200	0.426763
10.1300	0.427534
10.1400	0.428398
10.1500	0.429345
10.1600	0.430362
10.1700	0.431439
10.1800	0.432563
10.1900	0.433720
10.2000	0.434897
10.2100	0.436080
10.2200	0.437254
10.2300	0.438407
10.2400	0.439523
10.2500	0.440590
10.2600	0.441594
10.2700	0.442524
10.2800	0.443369
10.2900	0.444117
10.3000	0.444762
10.3100	0.445293
10.3200	0.445706
10.3300	0.445995
10.3400	0.446157
10.3500	0.446191
10.3600	0.446096
10.3700	0.445874
10.3800	0.445530
10.3900	0.445066
10.4000	0.444491
10.4100	0.443813
10.4200	0.443041
10.4300	0.442186
10.4400	0.441261
10.4500	0.440278
10.4600	0.439253
10.4700	0.438201
10.4800	0.437137
10.4900	0.436078
10.5000	0.435039
10.5100	0.434039
10.5200	0.433092
10.5300	0.432216
10.5400	0.431425
10.5500	0.430735
10.5600	0.430159
10.5700	0.429710
10.5800	0.429399
10.5900	0.429237
10.6000	0.429231
10.6100	0.429390
10.6200	0.429717
10.6300	0.430215
10.6400	0.430887
10.6500	0.431730
10.6600	0.432743
10.6700	0.433920
10.6800	0.435254
10.6900	0.436738
10.7000	0.438361
10.7100	0.440110
10.7200	0.441972
10.7300	0.443932
10.7400	0.445973
10.7500	0.448079
10.7600	0.450230
10.7700	0.452408
10.7800	0.454594
10.7900	0.456768
10.8000	0.458910
10.8100	0.461001
10.8200	0.463023
10.8300	0.464957
10.8400	0.466787
10.8500	0.468496
10.8600	0.470070
10.8700	0.471497
10.8800	0.472766
10.8900	0.473866
10.9000	0.474793
10.9100	0.475540
10.9200	0.476105
10.9300	0.476489
10.9400	0.476694
10.9500	0.476723
10.9600	0.476585
10.9700	0.476289
10.9800	0.475846
10.9900	0.475271
11.0000	0.474579
11.0100	0.473787
11.0200	0.472916
11.0300	0.471985
11.0400	0.471017
11.0500	0.470035
11.0600	0.469062
11.0700	0.468123
11.0800	0.467242
11.0900	0.466442
11.1000	0.465748
11.1100	0.465182
11.1200	0.464766
11.1300	0.464521
11.1400	0.464466
11.1500	0.464617
11.1600	0.464991
11.1700	0.465599
11.1800	0.466452
11.1900	0.467558
11.2000	0.468922
11.2100	0.470546
11.2200	0.472428
11.2300	0.474566
