j	k	tau	M_jk	G_jk
9	39	1.46633707	0.0131617449	0.2465852113
9	40	1.49165488	0.0128623544	0.2440460164
9	41	1.51634749	0.0127257544	0.2444537589
9	42	1.54044504	0.0126786749	0.2465016142
9	43	1.56397554	0.0124486447	0.2448936674
9	44	1.58696506	0.0123014568	0.2447959004
9	45	1.60943791	0.0129583219	0.2607811976
9	46	1.63141682	0.0120386384	0.2449500542
9	47	1.65292302	0.0119097448	0.2449472892
9	48	1.67397643	0.0118493246	0.2462835864
9	49	1.69459572	0.0116504622	0.2446597056
9	50	1.71479843	0.0115258702	0.2445006298
10	10	0.00000000	0.0324343639	0.3243436390
10	11	0.09531018	0.0233309717	0.2446972958
10	12	0.18232156	0.0224320344	0.2457306251
10	13	0.26236426	0.0213645529	0.2435933820
10	14	0.33647224	0.0207352050	0.2453422544
10	15	0.40546511	0.0209593909	0.2566990648
10	16	0.47000363	0.0193999854	0.2453925619
10	17	0.53062825	0.0187148950	0.2440123776
10	18	0.58778666	0.0183048164	0.2455848826
10	19	0.64185389	0.0177700781	0.2449436227
10	20	0.69314718	0.0201351550	0.2847540922
10	21	0.74193734	0.0169134867	0.2450997073
10	22	0.78845736	0.0165448154	0.2453992692
10	23	0.83290912	0.0160977727	0.2441348106
10	24	0.87546874	0.0158468243	0.2454979466
10	25	0.91629073	0.0159591224	0.2523358809
10	26	0.95551145	0.0152161930	0.2453537398
10	27	0.99325177	0.0148689975	0.2443225606
10	28	1.02961942	0.0146699501	0.2454752172
10	29	1.06471074	0.0144080706	0.2453606008
10	30	1.09861229	0.0156853564	0.2716783422
10	31	1.13140211	0.0139286121	0.2452385216
10	32	1.16315081	0.0137177389	0.2453903730
10	33	1.19392247	0.0134644304	0.2445935242
10	34	1.22377543	0.0133059405	0.2453494199
10	35	1.25276297	0.0133850943	0.2504121848
10	36	1.28093385	0.0129451605	0.2456171519
10	37	1.30833282	0.0127249971	0.2447702058
10	38	1.33500107	0.0125915466	0.2454544305
10	39	1.36097655	0.0124247808	0.2453697615
10	40	1.38629436	0.0132380844	0.2647616885
10	41	1.41098697	0.0121009967	0.2450265090
10	42	1.43508453	0.0119846841	0.2456129363
10	43	1.45861502	0.0118140717	0.2449818056
10	44	1.48160454	0.0116918414	0.2452501340
10	45	1.50407740	0.0117368384	0.2489759412
10	46	1.52605630	0.0114312898	0.2451738515
10	47	1.54756251	0.0112966490	0.2449055154
10	48	1.56861592	0.0112057539	0.2455057670
10	49	1.58923521	0.0110744255	0.2451428579
10	50	1.60943791	0.0116818862	0.2612149173
11	11	0.00000000	0.0295966377	0.3255630143
11	12	0.08701138	0.0213904046	0.2457570391
11	13	0.16705408	0.0204396587	0.2444227677
11	14	0.24116206	0.0196810083	0.2442348899
11	15	0.31015493	0.0190172301	0.2442807440
11	16	0.37469345	0.0184410082	0.2446476200
11	17	0.43531807	0.0178999972	0.2447787799
11	18	0.49247649	0.0173804705	0.2445648980
11	19	0.54654371	0.0169263596	0.2447015415
11	20	0.59783700	0.0164839004	0.2444957539
11	21	0.64662716	0.0161620105	0.2456412931
11	22	0.69314718	0.0183705596	0.2857788405
11	23	0.73759894	0.0154323968	0.2454672987
11	24	0.78015856	0.0150925828	0.2452254442
11	25	0.82098055	0.0147814048	0.2451218679
11	26	0.86020127	0.0144947743	0.2451288753
11	27	0.89794159	0.0142175183	0.2450202742
11	28	0.93430924	0.0139730230	0.2452255590
11	29	0.96940056	0.0137340612	0.2452981770
11	30	1.00330211	0.0134866073	0.2449963884
11	31	1.03609193	0.0132768415	0.2451726150
11	32	1.06784063	0.0130985731	0.2457510142
11	33	1.09861229	0.0142948695	0.2723538432
11	34	1.12846525	0.0127137742	0.2458726911
11	35	1.15745279	0.0125179252	0.2456194284
11	36	1.18562367	0.0123303527	0.2453709215
11	37	1.21302264	0.0121703700	0.2455279768
11	38	1.23969089	0.0120032644	0.2454073199
11	39	1.26566637	0.0118620996	0.2456915466
11	40	1.29098418	0.0116729896	0.2448546956
11	41	1.31567679	0.0115505702	0.2452966941
11	42	1.33977435	0.0114251889	0.2455751268
11	43	1.36330484	0.0113080687	0.2459342456
11	44	1.38629436	0.0120873683	0.2659221028
11	45	1.40876722	0.0110422785	0.2456751867
11	46	1.43074612	0.0109076825	0.2453622506
11	47	1.45225233	0.0108094702	0.2457817769
11	48	1.47330574	0.0106895032	0.2456260829
11	49	1.49392503	0.0105680119	0.2453509122
11	50	1.51412773	0.0104667711	0.2454675401
12	12	0.00000000	0.0272216994	0.3266603933
12	13	0.08004271	0.0197286741	0.2464110608
12	14	0.15415068	0.0190128782	0.2464350668
12	15	0.22314355	0.0185110601	0.2483519318
12	16	0.28768207	0.0181355934	0.2512941541
12	17	0.34830669	0.0171566021	0.2450452921
12	18	0.40546511	0.0175819151	0.2584003240
12	19	0.45953233	0.0162385573	0.2451968379
12	20	0.51082562	0.0161346395	0.2499567605
12	21	0.55961579	0.0156076770	0.2477641911
12	22	0.60613580	0.0151629243	0.2463683579
12	23	0.65058757	0.0148073616	0.2459983667
12	24	0.69314718	0.0168959329	0.2867334891
12	25	0.73396918	0.0142376714	0.2466037027
12	26	0.77318989	0.0139588146	0.2465618259
12	27	0.81093022	0.0137498761	0.2474977700
12	28	0.84729786	0.0136024840	0.2493376504
12	29	0.88238918	0.0131805231	0.2458794699
12	30	0.91629073	0.0133571157	0.2534334520
12	31	0.94908055	0.0127383135	0.2456876931
12	32	0.98082925	0.0126952260	0.2487746073
12	33	1.01160091	0.0124228913	0.2472124146
12	34	1.04145387	0.0122013992	0.2464561820
12	35	1.07044141	0.0120264489	0.2464688590
12	36	1.09861229	0.0131521440	0.2733621786
12	37	1.12601126	0.0117043141	0.2466252025
12	38	1.15267951	0.0115419355	0.2464682980
12	39	1.17865500	0.0114334521	0.2473433876
12	40	1.20397280	0.0113180656	0.2479663926
12	41	1.22866542	0.0110758484	0.2456742030
12	42	1.25276297	0.0112145761	0.2517666082
12	43	1.27629347	0.0108329774	0.2460779439
12	44	1.29928298	0.0108009657	0.2481872971
12	45	1.32175584	0.0106290280	0.2469962916
12	46	1.34373475	0.0104849753	0.2463411431
12	47	1.36524095	0.0103852981	0.2466371656
12	48	1.38629436	0.0111117011	0.2666808267
12	49	1.40691365	0.0101617233	0.2464086949
12	50	1.42711636	0.0100599942	0.2464185253
13	13	0.00000000	0.0251468418	0.3269089433
13	14	0.07410797	0.0182782526	0.2465871092
13	15	0.14310084	0.0175579858	0.2451839279
13	16	0.20763936	0.0169972001	0.2451371059
13	17	0.26826399	0.0164946431	0.2452104981
13	18	0.32542240	0.0160272678	0.2451700530
13	19	0.37948962	0.0156179518	0.2454553803
13	20	0.43078292	0.0152081028	0.2452232891
13	21	0.47957308	0.0148527812	0.2454082206
13	22	0.52609310	0.0145120647	0.2454212829
13	23	0.57054486	0.0141799998	0.2451951185
13	24	0.61310447	0.0139264127	0.2459894938
13	25	0.65392647	0.0136816308	0.2466491068
13	26	0.69314718	0.0156049739	0.2868939551
13	27	0.73088751	0.0131531074	0.2464233873
13	28	0.76725515	0.0128886694	0.2459001393
13	29	0.80234647	0.0126706800	0.2460201032
13	30	0.83624802	0.0124438054	0.2457454654
13	31	0.86903785	0.0122385245	0.2456866638
13	32	0.90078655	0.0120590685	0.2459577024
13	33	0.93155820	0.0118663427	0.2457794308
13	34	0.96141117	0.0116942278	0.2458570603
13	35	0.99039870	0.0115353748	0.2460579531
13	36	1.01856958	0.0113779199	0.2461420421
13	37	1.04596856	0.0112284885	0.2462599774
13	38	1.07263680	0.0110954680	0.2466091013
13	39	1.09861229	0.0121529566	0.2736439967
13	40	1.12393010	0.0107946459	0.2461558003
13	41	1.14862271	0.0106513293	0.2459050320
13	42	1.17272026	0.0105386849	0.2462536860
13	43	1.19625076	0.0104173595	0.2462995146
13	44	1.21924028	0.0102851902	0.2459859733
13	45	1.24171313	0.0101763535	0.2461331544
13	46	1.26369204	0.0100538841	0.2458580696
13	47	1.28519824	0.0099609760	0.2462195312
13	48	1.30625165	0.0098646211	0.2464181567
13	49	1.32687094	0.0097462676	0.2459846733
13	50	1.34707365	0.0096542737	0.2461366490
14	14	0.00000000	0.0233883128	0.3274363798
14	15	0.06899287	0.0170395655	0.2469267637
14	16	0.13353139	0.0164823021	0.2466845089
14	17	0.19415601	0.0159173187	0.2455604335
14	18	0.25131443	0.0155268723	0.2464814565
14	19	0.30538165	0.0150535442	0.2455158753
14	20	0.35667494	0.0147012351	0.2459987153
14	21	0.40546511	0.0151048811	0.2589947591
