j	k	tau	M_bd	G_bd	M_hf	G_hf
32	45	0.34092659	0.0007307838	0.0277312966	0.0065261318	0.2476492883
32	46	0.36290549	0.0007142534	0.0274035109	0.0064579574	0.2477702073
32	47	0.38441170	0.0006978269	0.0270627310	0.0063993621	0.2481764714
32	48	0.40546511	0.0006858731	0.0268806274	0.0066762429	0.2616542159
32	49	0.42608440	0.0006655970	0.0263562981	0.0062530929	0.2476098463
32	50	0.44628710	0.0006493445	0.0259737790	0.0061949344	0.2477973758
33	33	0.00000000	0.0011277426	0.0372155042	0.0100104828	0.3303459308
33	34	0.02985296	0.0010518278	0.0352323075	0.0074539339	0.2496789715
33	35	0.05884050	0.0009972936	0.0338933130	0.0073080346	0.2483656805
33	36	0.08701138	0.0009536488	0.0328697713	0.0072090390	0.2484766567
33	37	0.11441035	0.0009141747	0.0319438340	0.0070936191	0.2478709862
33	38	0.14107860	0.0008806081	0.0311839729	0.0069919747	0.2475988461
33	39	0.16705408	0.0008501086	0.0304974614	0.0069244933	0.2484146898
33	40	0.19237189	0.0008211729	0.0298346940	0.0068037900	0.2471939672
33	41	0.21706451	0.0007974512	0.0293327663	0.0067316096	0.2476097929
33	42	0.24116206	0.0007712347	0.0287123116	0.0066654521	0.2481482546
33	43	0.26469255	0.0007507608	0.0282808719	0.0065797177	0.2478554416
33	44	0.28768207	0.0007338084	0.0279618558	0.0066752760	0.2543621768
33	45	0.31015493	0.0007118206	0.0274305049	0.0064355374	0.2479979254
33	46	0.33213384	0.0006949211	0.0270751827	0.0063562446	0.2476489475
33	47	0.35364004	0.0006786042	0.0267252913	0.0062940611	0.2478773568
33	48	0.37469345	0.0006619788	0.0263464244	0.0062372673	0.2482401052
33	49	0.39531274	0.0006493926	0.0261133342	0.0061672669	0.2479977567
33	50	0.41551544	0.0006345639	0.0257761085	0.0061067528	0.2480574708
34	34	0.00000000	0.0010627227	0.0361325727	0.0097280153	0.3307525216
34	35	0.02898754	0.0009927123	0.0342449760	0.0072500588	0.2501007603
34	36	0.05715841	0.0009439263	0.0330239325	0.0071064008	0.2486224863
34	37	0.08455739	0.0009019617	0.0319910437	0.0069970012	0.2481717078
34	38	0.11122564	0.0008663581	0.0311407227	0.0069026673	0.2481122433
34	39	0.13720112	0.0008350186	0.0304066047	0.0068116461	0.2480412066
34	40	0.16251893	0.0008046241	0.0296730695	0.0067095487	0.2474359299
34	41	0.18721154	0.0007796869	0.0291106297	0.0066348235	0.2477198242
34	42	0.21130909	0.0007552572	0.0285403283	0.0065691583	0.2482411818
34	43	0.23483959	0.0007334875	0.0280457060	0.0064843465	0.2479361756
34	44	0.25782911	0.0007143982	0.0276316085	0.0064117149	0.2479933301
34	45	0.28030197	0.0006961643	0.0272306175	0.0063402587	0.2480005793
34	46	0.30228087	0.0006782961	0.0268248757	0.0062666925	0.2478316456
34	47	0.32378708	0.0006608558	0.0264177045	0.0062115203	0.2483054744
34	48	0.34484049	0.0006439287	0.0260134444	0.0061439439	0.2482031678
34	49	0.36545977	0.0006299114	0.0257108802	0.0060692397	0.2477261150
34	50	0.38566248	0.0006166705	0.0254259750	0.0060137829	0.2479546216
35	35	0.00000000	0.0010033610	0.0351176345	0.0094638538	0.3312348822
35	36	0.02817088	0.0009399412	0.0333646038	0.0070475078	0.2501617117
35	37	0.05556985	0.0008932450	0.0321444122	0.0069091525	0.2486335120
35	38	0.08223810	0.0008551750	0.0311875196	0.0068059618	0.2482077434
35	39	0.10821358	0.0008217389	0.0303598867	0.0067211103	0.2483175132
35	40	0.13353139	0.0007911236	0.0296011347	0.0066541466	0.2489753693
35	41	0.15822401	0.0007654697	0.0289970582	0.0065464421	0.2479883524
35	42	0.18232156	0.0007401898	0.0283793036	0.0065438142	0.2508936262
35	43	0.20585205	0.0007186364	0.0278790186	0.0064001823	0.2482907803
35	44	0.22884157	0.0006994218	0.0274472946	0.0063250455	0.2482127078
35	45	0.25131443	0.0006793696	0.0269616458	0.0062800681	0.2492324778
35	46	0.27329333	0.0006626558	0.0265889356	0.0061799995	0.2479712752
35	47	0.29479954	0.0006465819	0.0262244575	0.0061272220	0.2485115439
35	48	0.31585295	0.0006285013	0.0257608861	0.0060534724	0.2481185359
35	49	0.33647224	0.0006142633	0.0254382160	0.0060460194	0.2503811322
35	50	0.35667494	0.0006001109	0.0251044409	0.0059563688	0.2491727848
36	36	0.00000000	0.0009512417	0.0342447011	0.0092039685	0.3313428649
36	37	0.02739897	0.0008910595	0.0325206198	0.0068603642	0.2503797976
36	38	0.05406722	0.0008490107	0.0314019198	0.0067272397	0.2488169451
36	39	0.08004271	0.0008130252	0.0304640436	0.0066464769	0.2490434083
36	40	0.10536052	0.0007804187	0.0296148059	0.0065496116	0.2485402841
36	41	0.13005313	0.0007537348	0.0289575454	0.0064528806	0.2479115763
36	42	0.15415068	0.0007281368	0.0283131932	0.0064329920	0.2501433198
36	43	0.17768118	0.0007057174	0.0277661896	0.0063130643	0.2483851878
36	44	0.20067070	0.0006861347	0.0273078150	0.0062506930	0.2487744418
36	45	0.22314355	0.0006676016	0.0268704469	0.0062603929	0.2519759528
36	46	0.24512246	0.0006489513	0.0264084128	0.0060986507	0.2481783682
36	47	0.26662866	0.0006332016	0.0260460704	0.0060364030	0.2483009636
36	48	0.28768207	0.0006179733	0.0256886693	0.0061393136	0.2552064744
36	49	0.30830136	0.0006009025	0.0252379057	0.0059085224	0.2481579402
36	50	0.32850407	0.0005867978	0.0248957241	0.0058495477	0.2481752923
37	37	0.00000000	0.0009004742	0.0333175446	0.0089545767	0.3313193380
37	38	0.02666825	0.0008452595	0.0316944139	0.0066721543	0.2501835437
37	39	0.05264373	0.0008053803	0.0305938532	0.0065541341	0.2489708423
37	40	0.07796154	0.0007703076	0.0296343244	0.0064380713	0.2476775465
37	41	0.10265415	0.0007432909	0.0289502022	0.0063703810	0.2481179564
37	42	0.12675171	0.0007158082	0.0282177356	0.0062985430	0.2482936449
37	43	0.15028220	0.0006938008	0.0276738704	0.0062261449	0.2483443689
37	44	0.17327172	0.0006732309	0.0271638443	0.0061480650	0.2480650914
37	45	0.19574458	0.0006534069	0.0266618841	0.0060803675	0.2481058188
37	46	0.21772348	0.0006365567	0.0262613384	0.0060107666	0.2479759943
37	47	0.23922969	0.0006187871	0.0258042385	0.0059594852	0.2485183917
37	48	0.26028310	0.0006018222	0.0253623612	0.0058936359	0.2483732300
37	49	0.28090239	0.0005881875	0.0250446325	0.0058285948	0.2481777072
37	50	0.30110509	0.0005742405	0.0246990179	0.0057684768	0.2481115676
38	38	0.00000000	0.0008544166	0.0324678301	0.0087115594	0.3310392578
38	39	0.02597549	0.0008033580	0.0309266740	0.0065042328	0.2503918424
38	40	0.05129329	0.0007646394	0.0298111321	0.0063663536	0.2482061586
38	41	0.07598591	0.0007354240	0.0290282953	0.0062830164	0.2480001367
38	42	0.10008346	0.0007065046	0.0282248382	0.0062175490	0.2483908874
38	43	0.12361396	0.0006826238	0.0275935426	0.0061391540	0.2481615844
38	44	0.14660347	0.0006622206	0.0270782651	0.0060679296	0.2481182258
38	45	0.16907633	0.0006424023	0.0265647121	0.0059910462	0.2477426199
38	46	0.19105524	0.0006244281	0.0261067727	0.0059307280	0.2479583392
38	47	0.21256144	0.0006078311	0.0256876062	0.0058750252	0.2482849891
38	48	0.23361485	0.0005906169	0.0252242512	0.0058165165	0.2484136053
38	49	0.25423414	0.0005754881	0.0248328282	0.0057477879	0.2480222110
38	50	0.27443685	0.0005623177	0.0245108616	0.0056908186	0.2480570301
39	39	0.00000000	0.0008117986	0.0316601457	0.0084987220	0.3314501567
39	40	0.02531781	0.0007629022	0.0301322211	0.0063228491	0.2497325290
39	41	0.05001042	0.0007292808	0.0291621148	0.0062106208	0.2483471858
39	42	0.07410797	0.0006992430	0.0282999101	0.0061447948	0.2486934426
39	43	0.09763847	0.0006739394	0.0275986202	0.0060666830	0.2484378899
39	44	0.12062799	0.0006527816	0.0270412374	0.0059894534	0.2481108942
39	45	0.14310084	0.0006326262	0.0265024322	0.0059281437	0.2483460658
39	46	0.16507975	0.0006139077	0.0260024504	0.0058539498	0.2479477728
39	47	0.18658596	0.0005968744	0.0255543129	0.0058043725	0.2485057858
39	48	0.20763936	0.0005797378	0.0250832933	0.0057484342	0.2487152905
39	49	0.22825865	0.0005649869	0.0246983936	0.0056777280	0.2482018020
39	50	0.24846136	0.0005505334	0.0243108964	0.0056216352	0.2482446905
40	40	0.00000000	0.0007693736	0.0307749426	0.0082534654	0.3301386171
40	41	0.02469261	0.0007258051	0.0293928647	0.0061560974	0.2493029455
40	42	0.04879016	0.0006925971	0.0283880333	0.0060577460	0.2482937014
40	43	0.07232066	0.0006660915	0.0276247341	0.0059727596	0.2477075586
40	44	0.09531018	0.0006431731	0.0269826250	0.0059171710	0.2482392520
40	45	0.11778304	0.0006215719	0.0263710621	0.0058567501	0.2484808606
40	46	0.13976194	0.0006027179	0.0258537170	0.0057693501	0.2474775483
40	47	0.16126815	0.0005857470	0.0253973859	0.0057120653	0.2476692507
40	48	0.18232156	0.0005691062	0.0249369835	0.0057126391	0.2503153036
40	49	0.20294084	0.0005534312	0.0245014423	0.0055876403	0.2473753805
40	50	0.22314355	0.0005403245	0.0241640456	0.0056258426	0.2515953312
41	41	0.00000000	0.0007352684	0.0301460052	0.0080672252	0.3307562350
41	42	0.02409755	0.0006918011	0.0287076612	0.0060275245	0.2501241126
41	43	0.04762805	0.0006627271	0.0278266473	0.0059224727	0.2486733358
41	44	0.07061757	0.0006384131	0.0271156523	0.0058401015	0.2480496743
41	45	0.09309042	0.0006152896	0.0264288176	0.0057703615	0.2478570093
41	46	0.11506933	0.0005963366	0.0258977674	0.0057066268	0.2478279670
41	47	0.13657554	0.0005783187	0.0253868096	0.0056526842	0.2481393148
41	48	0.15762894	0.0005605158	0.0248656834	0.0055920320	0.2480745385
41	49	0.17824823	0.0005450861	0.0244317787	0.0055284204	0.2477941368
41	50	0.19845094	0.0005305039	0.0240195843	0.0054746894	0.2478771058
42	42	0.00000000	0.0006989224	0.0293547413	0.0078954906	0.3316106059
42	43	0.02353050	0.0006607422	0.0280795997	0.0058986833	0.2506766890
42	44	0.04652002	0.0006329759	0.0272106031	0.0057917796	0.2489791668
42	45	0.06899287	0.0006092403	0.0264861902	0.0057237194	0.2488337221
42	46	0.09097178	0.0005883494	0.0258606144	0.0056502441	0.2483537772
42	47	0.11247798	0.0005697847	0.0253153731	0.0055972954	0.2486862644
42	48	0.13353139	0.0005514733	0.0247610893	0.0055673223	0.2499721529
42	49	0.15415068	0.0005364416	0.0243357732	0.0055155240	0.2502127667
42	50	0.17435339	0.0005214397	0.0238953709	0.0054176282	0.2482669146
43	43	0.00000000	0.0006678691	0.0287183723	0.0077103382	0.3315445429
43	44	0.02298952	0.0006322296	0.0275001698	0.0057551251	0.2503314040
43	45	0.04546237	0.0006054983	0.0266350454	0.0056536897	0.2486980907
43	46	0.06744128	0.0005832968	0.0259419584	0.0055853198	0.2484054873
43	47	0.08894749	0.0005640058	0.0253551839	0.0055308881	0.2486440248
43	48	0.11000090	0.0005452754	0.0247725530	0.0054703623	0.2485254890
43	49	0.13062018	0.0005289927	0.0242818579	0.0054049566	0.2480986957
43	50	0.15082289	0.0005144482	0.0238539809	0.0053550244	0.2483022667
44	44	0.00000000	0.0006397514	0.0281490626	0.0075284529	0.3312519278
44	45	0.02247286	0.0006056323	0.0269489345	0.0056229772	0.2502066916
44	46	0.04445176	0.0005811586	0.0261456808	0.0055275289	0.2486773757
44	47	0.06595797	0.0005599766	0.0254650858	0.0054668084	0.2486045760
44	48	0.08701138	0.0005401252	0.0248222665	0.0054186942	0.2490242285
44	49	0.10763066	0.0005233987	0.0243028411	0.0053403253	0.2479659741
44	50	0.12783337	0.0005085341	0.0238523650	0.0052915334	0.2481949142
45	45	0.00000000	0.0006117357	0.0275281064	0.0073587544	0.3311439471
45	46	0.02197891	0.0005801470	0.0263950932	0.0054948153	0.2499989999
45	47	0.04348511	0.0005565384	0.0255947151	0.0054111906	0.2488559443
45	48	0.06453852	0.0005357688	0.0249002833	0.0053523525	0.2487548663
45	49	0.08515781	0.0005182752	0.0243368694	0.0052833580	0.2480928986
45	50	0.10536052	0.0005020675	0.0238151532	0.0052481502	0.2489416223
46	46	0.00000000	0.0005869217	0.0269983982	0.0071956587	0.3310002984
46	47	0.02150621	0.0005567581	0.0258877567	0.0053893194	0.2505888638
46	48	0.04255961	0.0005337087	0.0250786320	0.0052969920	0.2489022656
46	49	0.06317890	0.0005145763	0.0244301825	0.0052261530	0.2481184616
46	50	0.08338161	0.0004978673	0.0238768793	0.0051749562	0.2481821792
47	47	0.00000000	0.0005624548	0.0264353763	0.0070644204	0.3320277589
47	48	0.02105341	0.0005329769	0.0253149996	0.0052805946	0.2508143492
47	49	0.04167270	0.0005119864	0.0245700134	0.0051885029	0.2489940843
47	50	0.06187540	0.0004942070	0.0239575752	0.0051294264	0.2486581712
48	48	0.00000000	0.0005371386	0.0257826513	0.0069128539	0.3318169867
48	49	0.02061929	0.0005104503	0.0247555245	0.0051647374	0.2504764530
48	50	0.04082199	0.0004906872	0.0240386631	0.0050820877	0.2489704346
49	49	0.00000000	0.0005155869	0.0252637604	0.0067612109	0.3312993345
49	50	0.02020271	0.0004906833	0.0242875822	0.0050589832	0.2504068947
50	50	0.00000000	0.0004955729	0.0247786430	0.0066264973	0.3313248638
