j	k	tau	M_bd	G_bd	M_hf	G_hf
4	21	1.65822808	0.0088585947	0.0811903618	0.0261145937	0.2393442047
4	22	1.70474809	0.0083768167	0.0785815066	0.0257772709	0.2418122352
4	23	1.74919985	0.0079345464	0.0761054957	0.0249278973	0.2390999909
4	24	1.79175947	0.0076467143	0.0749221929	0.0257267306	0.2520694511
4	25	1.83258146	0.0071732829	0.0717328292	0.0239546164	0.2395461640
4	26	1.87180218	0.0068356468	0.0697101931	0.0236881011	0.2415721800
4	27	1.90954250	0.0065312237	0.0678744681	0.0230265167	0.2392985808
4	28	1.94591015	0.0063142605	0.0668238523	0.0236409076	0.2501918492
4	29	1.98100147	0.0059800743	0.0644073711	0.0222497253	0.2396368751
4	30	2.01490302	0.0057305157	0.0627746540	0.0220106732	0.2411148441
4	31	2.04769284	0.0055062189	0.0613146588	0.0214899350	0.2393017884
4	32	2.07944154	0.0053480040	0.0605057582	0.0219902020	0.2487907347
4	33	2.11021320	0.0050959935	0.0585485077	0.0208335153	0.2393588677
4	34	2.14006616	0.0049074203	0.0572298630	0.0206793078	0.2411600984
4	35	2.16905370	0.0047339477	0.0560128247	0.0202475360	0.2395720769
4	36	2.19722458	0.0046131061	0.0553572732	0.0206661891	0.2479942695
4	37	2.22462355	0.0044195152	0.0537657227	0.0197020977	0.2396863635
4	38	2.25129180	0.0042783806	0.0527474189	0.0195425112	0.2409362592
4	39	2.27726729	0.0041409509	0.0517204604	0.0191786502	0.2395412641
4	40	2.30258509	0.0040378902	0.0510757193	0.0194813887	0.2464222407
4	41	2.32727771	0.0038868213	0.0497756000	0.0186789318	0.2392070413
4	42	2.35137526	0.0037687229	0.0488482312	0.0185892706	0.2409444847
4	43	2.37490575	0.0036590803	0.0479883888	0.0182618236	0.2395015716
4	44	2.39789527	0.0035812582	0.0475107592	0.0185647401	0.2462891087
4	45	2.42036813	0.0034594948	0.0464139928	0.0178334598	0.2392609707
4	46	2.44234704	0.0033656109	0.0456533674	0.0177304118	0.2405070073
4	47	2.46385324	0.0032781602	0.0449478675	0.0174815214	0.2396945453
4	48	2.48490665	0.0032053823	0.0444150795	0.0177492040	0.2459401851
4	49	2.50552594	0.0031057995	0.0434811924	0.0170948019	0.2393272273
4	50	2.52572864	0.0030251082	0.0427814904	0.0170036735	0.2404682568
5	5	0.00000000	0.0424098517	0.2120492583	0.0633225912	0.3166129562
5	6	0.18232156	0.0311759749	0.1707578472	0.0438578749	0.2402194741
5	7	0.33647224	0.0260138926	0.1539002639	0.0404901306	0.2395428431
5	8	0.47000363	0.0225761805	0.1427843023	0.0379126427	0.2397806063
5	9	0.58778666	0.0201254484	0.1350056123	0.0358310141	0.2403617498
5	10	0.69314718	0.0189990721	0.1343437275	0.0394395453	0.2788796993
5	11	0.78845736	0.0162243853	0.1203232618	0.0324503382	0.2406581490
5	12	0.87546874	0.0145650477	0.1128203745	0.0310492472	0.2405064349
5	13	0.95551145	0.0132962750	0.1071979959	0.0298228415	0.2404394347
5	14	1.02961942	0.0122870801	0.1028010875	0.0287847494	0.2408304922
5	15	1.09861229	0.0117343382	0.1016223499	0.0307913045	0.2666605187
5	16	1.16315081	0.0105544924	0.0944022503	0.0269541845	0.2410855552
5	17	1.22377543	0.0097728218	0.0901009647	0.0261264265	0.2408737510
5	18	1.28093385	0.0091304511	0.0866190642	0.0253983557	0.2409499582
5	19	1.33500107	0.0086082995	0.0839033246	0.0247354095	0.2410909496
5	20	1.38629436	0.0082783907	0.0827839066	0.0260021139	0.2600211390
5	21	1.43508453	0.0076435190	0.0783227630	0.0235281929	0.2410922345
5	22	1.48160454	0.0072049403	0.0755660513	0.0229587724	0.2407936368
5	23	1.52605630	0.0068275180	0.0732169739	0.0224332398	0.2405696954
5	24	1.56861592	0.0065095839	0.0713089188	0.0220235788	0.2412562181
5	25	1.60943791	0.0062993524	0.0704289012	0.0229599585	0.2567001399
5	26	1.64865863	0.0059092795	0.0673761524	0.0211549923	0.2412040240
5	27	1.68639895	0.0056330214	0.0654497947	0.0207303633	0.2408650557
5	28	1.72276660	0.0053818525	0.0636789370	0.0203777682	0.2411130053
5	29	1.75785792	0.0051737476	0.0623001708	0.0200483402	0.2414139851
5	30	1.79175947	0.0050251762	0.0615455881	0.0207265869	0.2538478104
5	31	1.82454929	0.0047652105	0.0593263919	0.0193768246	0.2412395214
5	32	1.85629799	0.0045742594	0.0578603132	0.0190524911	0.2409970684
5	33	1.88706965	0.0044018608	0.0565429257	0.0187561362	0.2409269320
5	34	1.91692261	0.0042496753	0.0554089868	0.0185037846	0.2412598345
5	35	1.94591015	0.0041466843	0.0548554773	0.0190862865	0.2524878382
5	36	1.97408103	0.0039625224	0.0531628170	0.0180027281	0.2415319431
5	37	2.00148000	0.0038216801	0.0519804686	0.0177375496	0.2412567580
5	38	2.02814825	0.0036983026	0.0509775828	0.0174939281	0.2411371584
5	39	2.05412373	0.0035890031	0.0501177003	0.0172869972	0.2413997785
5	40	2.07944154	0.0035045490	0.0495618074	0.0177017604	0.2503406966
5	41	2.10413415	0.0033714257	0.0482714705	0.0168464690	0.2412047282
5	42	2.12823171	0.0032636758	0.0472951551	0.0166482615	0.2412562298
5	43	2.15176220	0.0031698238	0.0464787408	0.0164532693	0.2412522858
5	44	2.17475172	0.0030860396	0.0457733637	0.0162658406	0.2412614046
5	45	2.19722458	0.0030247995	0.0453719930	0.0166512842	0.2497692629
5	46	2.21920348	0.0029204609	0.0442909826	0.0158972130	0.2410931726
