k	lambda_k
325	2.160717732889096e-7
326	2.161633057406944e-7
327	2.161753727438488e-7
328	2.163346539599557e-7
329	2.163720542563910e-7
330	2.164760859372176e-7
331	2.166559568899747e-7
332	2.167136641614536e-7
333	2.167517746066370e-7
334	2.168170917219545e-7
335	2.169761635183054e-7
336	2.170413695230836e-7
337	2.171024228146228e-7
338	2.171553146235253e-7
339	2.172419817001689e-7
340	2.172851137413777e-7
341	2.173524116569196e-7
342	2.174214964419109e-7
343	2.174875997012320e-7
344	2.175456758857355e-7
345	2.176298951916476e-7
346	2.176739148740160e-7
347	2.177313487480863e-7
348	2.178056587612284e-7
349	2.178731407227330e-7
350	2.179050888099047e-7
351	2.179562670846058e-7
352	2.179991659287008e-7
353	2.180558173158735e-7
354	2.181436539352263e-7
355	2.181692534144753e-7
356	2.182699659894752e-7
357	2.183826290836107e-7
358	2.184069636373274e-7
359	2.184130534372893e-7
360	2.185431124463946e-7
361	2.186338528084237e-7
362	2.186853841510827e-7
363	2.187039531743477e-7
364	2.187707889732392e-7
365	2.188246437624287e-7
366	2.189026130450904e-7
367	2.189754279673013e-7
368	2.190028171698127e-7
369	2.191036449343440e-7
370	2.191242038762179e-7
371	2.191762392822592e-7
372	2.192064447358842e-7
373	2.192572888327040e-7
374	2.193634346778142e-7
375	2.194089681975303e-7
376	2.194732585486221e-7
377	2.195522977199193e-7
378	2.196220503053136e-7
379	2.196470189315371e-7
380	2.196803161855358e-7
381	2.197694134534737e-7
382	2.198157360614952e-7
383	2.198612388296106e-7
384	2.198874141348279e-7
385	2.200060414793710e-7
386	2.200568559215120e-7
387	2.200992851532265e-7
388	2.201269651060991e-7
389	2.202266823035380e-7
390	2.203163589256792e-7
391	2.203675887297584e-7
392	2.204038572572500e-7
393	2.204288446026851e-7
394	2.205564570211141e-7
395	2.205792838411784e-7
396	2.206993785119149e-7
397	2.207244607522306e-7
398	2.207635082501785e-7
399	2.208223317447674e-7
400	2.208495085766367e-7
401	2.208724207785560e-7
402	2.209275028994551e-7
403	2.210320719032268e-7
404	2.211303237977903e-7
405	2.211445989327178e-7
406	2.211893365167540e-7
407	2.212525435023866e-7
408	2.213499983475657e-7
409	2.213856048097706e-7
410	2.214481959529197e-7
411	2.214815177108217e-7
412	2.215789782236456e-7
413	2.216049995718717e-7
414	2.216896955393601e-7
415	2.217125144028272e-7
416	2.217883855585985e-7
417	2.218681465241708e-7
418	2.219058182508037e-7
419	2.219317023927404e-7
420	2.219802528609662e-7
421	2.220365612434615e-7
422	2.220469715949086e-7
423	2.221934082736981e-7
424	2.222557111050646e-7
425	2.222745258711423e-7
426	2.223130089508904e-7
427	2.223904908186724e-7
428	2.224651858819517e-7
429	2.224919579036549e-7
430	2.225436289123475e-7
431	2.226162157307213e-7
432	2.226865028259370e-7
433	2.227960684017921e-7
434	2.229000799831870e-7
435	2.229102505834107e-7
436	2.229514383244969e-7
437	2.230423340498602e-7
438	2.230855097952789e-7
439	2.231049261824477e-7
440	2.231997212947509e-7
441	2.233514302330526e-7
442	2.234080495152733e-7
443	2.234239071349830e-7
444	2.234848656217549e-7
445	2.235345820608688e-7
446	2.235716692351615e-7
447	2.236072575804409e-7
448	2.236862790319688e-7
449	2.237057998066619e-7
450	2.237545073179912e-7
451	2.238424658217787e-7
452	2.238659029672184e-7
453	2.239726551273400e-7
454	2.240224463505622e-7
455	2.240671494005858e-7
456	2.241292277071114e-7
457	2.241505530695229e-7
458	2.241999364019542e-7
459	2.242186419546688e-7
460	2.243260175177555e-7
461	2.243961958068871e-7
462	2.244617920043219e-7
463	2.244940327867169e-7
464	2.245564421020443e-7
465	2.246259464321467e-7
466	2.247070983963421e-7
467	2.247365899761257e-7
468	2.247902093035550e-7
469	2.248289421578322e-7
470	2.249310433371379e-7
471	2.249822629194852e-7
472	2.250180405700935e-7
473	2.250425823379851e-7
474	2.250832489282345e-7
475	2.251837265642622e-7
476	2.253267794259893e-7
477	2.253411688332889e-7
478	2.253837924098303e-7
479	2.254837850054979e-7
480	2.255390242309833e-7
481	2.255961856770020e-7
482	2.256421724392266e-7
483	2.256774500862049e-7
484	2.256912424227664e-7
485	2.257814732975396e-7
486	2.258703043425765e-7
487	2.259072654603980e-7
488	2.260546933100480e-7
489	2.260911404699629e-7
490	2.260947128109730e-7
491	2.261313569033747e-7
492	2.262214403430858e-7
493	2.262473940762039e-7
494	2.263090619544402e-7
495	2.263446211391842e-7
496	2.264381587093995e-7
497	2.265103420225084e-7
498	2.265498973398986e-7
499	2.266196087712814e-7
500	2.266366031799137e-7
501	2.267921310535648e-7
502	2.268323215224381e-7
503	2.268509466910025e-7
504	2.269477513602625e-7
505	2.270008278990866e-7
506	2.270573780560792e-7
507	2.271088003589191e-7
508	2.271796957484720e-7
509	2.271898983092211e-7
510	2.272696067369380e-7
511	2.273813892862500e-7
512	2.274317232334009e-7
513	2.275047887759017e-7
514	2.275624846869151e-7
515	2.276360458529134e-7
516	2.276809643238621e-7
517	2.277002877710604e-7
518	2.278856883277286e-7
519	2.279073664598972e-7
520	2.279398497982457e-7
521	2.279796401183204e-7
522	2.279944305503667e-7
523	2.280532934860562e-7
524	2.281367968323487e-7
525	2.281961510240035e-7
526	2.282354297854247e-7
527	2.282784884431297e-7
528	2.283265220826895e-7
