k	lambda_k	c_k_sq	E_k	S_cumulative
547	1.546558265187447e-6	2.191668710915848e-15	1.417126506158636e-9	1.296783540568485e-5
548	1.548873656009410e-6	1.197472493202787e-15	7.731247081108027e-10	1.296860853039296e-5
549	1.551601642905086e-6	2.783490159072973e-16	1.793946385530634e-10	1.296878792503152e-5
550	1.553279992533439e-6	2.330746364251109e-17	1.500532019632599e-11	1.296880293035171e-5
551	1.553346556333228e-6	3.336829668388216e-17	2.148155319740762e-11	1.296882441190491e-5
552	1.555304338741853e-6	1.683436690899017e-14	1.082384102561442e-8	1.297964825293053e-5
553	1.558039352800591e-6	6.519960429747161e-14	4.184721276794111e-8	1.302149546569847e-5
554	1.561128786734526e-6	7.461233769208491e-17	4.779383887229088e-11	1.302154325953734e-5
555	1.562373766588183e-6	1.077772626515484e-14	6.898302119274944e-9	1.302844156165661e-5
556	1.563627893347859e-6	7.881535387429536e-14	5.040544122396349e-8	1.307884700288058e-5
557	1.565528652603250e-6	3.639432649446395e-14	2.324730782406659e-8	1.310209431070465e-5
558	1.567350722032180e-6	2.120763431256881e-14	1.353087985634231e-8	1.311562519056099e-5
559	1.572302874851032e-6	1.029321758206748e-14	6.546587013677448e-9	1.312217177757467e-5
560	1.572649933679268e-6	1.243836165733087e-16	7.909173803372059e-11	1.312225086931270e-5
561	1.575798642867161e-6	2.393174437984427e-13	1.518705736178357e-7	1.327412144293054e-5
562	1.579027365266312e-6	6.417874393165150e-15	4.064447858433877e-9	1.327818589078897e-5
563	1.581941503911378e-6	4.201632591705322e-15	2.655997444479908e-9	1.328084188823345e-5
564	1.582789705472321e-6	9.670060946569932e-16	6.109504574825551e-10	1.328145283869093e-5
565	1.585739027441288e-6	2.979282990227878e-14	1.878797796277475e-8	1.330024081665371e-5
566	1.586427410040263e-6	1.281007930393215e-14	8.074797007955774e-9	1.330831561366166e-5
567	1.587408980621149e-6	5.494750879223628e-15	3.461458859249711e-9	1.331177707252091e-5
568	1.592901285687772e-6	3.181622387105103e-13	1.997375741793919e-7	1.351151464670030e-5
569	1.595513680414522e-6	1.328529648925797e-13	8.326657835867874e-8	1.359478122505898e-5
570	1.596371440972138e-6	7.146321086508498e-14	4.476602940326109e-8	1.363954725446225e-5
571	1.598686424556681e-6	5.289395724583102e-14	3.308588628348340e-8	1.367263314074573e-5
572	1.600404224635604e-6	3.426659491880544e-14	2.141121248702502e-8	1.369404435323275e-5
573	1.601322872395636e-6	6.405730191366422e-15	4.000273962104359e-9	1.369804462719486e-5
574	1.602860299368629e-6	1.208142829731835e-14	7.537418140606051e-9	1.370558204533546e-5
575	1.605198444974465e-6	1.226191991445122e-14	7.638881007417300e-9	1.371322092634288e-5
576	1.609527836281903e-6	3.753411623241124e-15	2.331995470119802e-9	1.371555292181300e-5
577	1.612109648972228e-6	2.329867290108488e-13	1.445228797925658e-7	1.386007580160557e-5
578	1.615787145754859e-6	4.692807184658527e-14	2.904347393150077e-8	1.388911927553707e-5
579	1.616112895310169e-6	1.233631706913646e-13	7.633326300987678e-8	1.396545253854694e-5
580	1.622796350112924e-6	2.881610009079676e-14	1.775706488912892e-8	1.398320960343607e-5
581	1.625081976551107e-6	2.535767245770085e-14	1.560393433906464e-8	1.399881353777513e-5
582	1.627386754685741e-6	3.571153797211058e-16	2.194410017734642e-10	1.399903297877691e-5
583	1.630433566252710e-6	7.004798559661157e-15	4.296279655086201e-9	1.400332925843199e-5
584	1.633196408360529e-6	2.994523344642265e-13	1.833535347808101e-7	1.418668279321280e-5
585	1.635817197305177e-6	1.039269267833178e-14	6.353211529657809e-9	1.419303600474246e-5
586	1.637586989302273e-6	1.280518565003236e-13	7.819545302743440e-8	1.427123145776990e-5
587	1.638182236695691e-6	2.412089913916007e-14	1.472418550198257e-8	1.428595564327188e-5
588	1.642057952114380e-6	1.133224463368005e-14	6.901245244778476e-9	1.429285688851666e-5
589	1.644520119399356e-6	4.707515325291974e-15	2.862546508103133e-9	1.429571943502476e-5
590	1.648030207627378e-6	6.905758387393395e-14	4.190310563139141e-8	1.433762254065615e-5
591	1.651601336974539e-6	3.778907320639743e-14	2.288026314850337e-8	1.436050280380466e-5
592	1.653501464203863e-6	1.972302247294010e-15	1.192803447708856e-9	1.436169560725236e-5
593	1.655210645371028e-6	4.428578002088073e-15	2.675537409376300e-9	1.436437114466174e-5
594	1.656993298436677e-6	8.955029124011131e-16	5.404384635990941e-10	1.436491158312534e-5
595	1.658183108833463e-6	3.904336551087808e-14	2.354587096134709e-8	1.438845745408669e-5
596	1.659720345151522e-6	6.920733061863784e-14	4.169818778254457e-8	1.443015564186923e-5
597	1.660836174983275e-6	7.261934187938994e-15	4.372456656064903e-9	1.443452809852530e-5
598	1.664243971383224e-6	1.941461801656591e-14	1.166572831291652e-8	1.444619382683821e-5
599	1.665375577626915e-6	8.298499263701298e-15	4.982959624955162e-9	1.445117678646317e-5
600	1.669295136307752e-6	1.902073682610411e-13	1.139447208129733e-7	1.456512150727614e-5
601	1.672415721778586e-6	1.396350588030838e-14	8.349303165757391e-9	1.457347081044190e-5
602	1.673854132386770e-6	6.434544166132059e-15	3.844148687530471e-9	1.457731495912943e-5
603	1.676704916568452e-6	3.458001434774129e-14	2.062379253858981e-8	1.459793875166802e-5
604	1.677983657772296e-6	2.844736470997322e-13	1.695330260113507e-7	1.476747177767937e-5
605	1.685423839098302e-6	2.142771455641145e-14	1.271354662212161e-8	1.478018532430149e-5
606	1.685730547342764e-6	1.422405493076587e-14	8.437917289443085e-9	1.478862324159094e-5
607	1.688322617847852e-6	3.414071794246298e-14	2.022167895018964e-8	1.480884492054113e-5
608	1.689441400270305e-6	1.711060855091386e-13	1.012796806576199e-7	1.491012460119875e-5
609	1.694143644409984e-6	1.424697843957206e-14	8.409545723340257e-9	1.491853414692209e-5
610	1.697365162743584e-6	3.308730660283459e-15	1.949333433316905e-9	1.492048348035541e-5
611	1.700269883855215e-6	3.432404048172681e-15	2.018740719202766e-9	1.492250222107461e-5
612	1.704064769875905e-6	8.013386464602467e-15	4.702512842388043e-9	1.492720473391700e-5
613	1.704848907425038e-6	9.392272489959125e-15	5.509152423451402e-9	1.493271388634045e-5
614	1.706621770147811e-6	1.035553030239849e-14	6.067853160868556e-9	1.493878173950132e-5
615	1.709223951362408e-6	8.582410917528030e-14	5.021232536957526e-8	1.498899406487089e-5
616	1.711160179414551e-6	4.234595256977223e-14	2.474692496891805e-8	1.501374098983981e-5
617	1.711343912344463e-6	1.152631585682719e-13	6.735242269940160e-8	1.508109341253921e-5
618	1.718346736873855e-6	1.234576445362608e-13	7.184675938039382e-8	1.515294017191961e-5
619	1.720700332923731e-6	1.464452264264976e-14	8.510792008604132e-9	1.516145096392821e-5
620	1.724968868478770e-6	1.712513286032428e-15	9.927792421799895e-10	1.516244374317039e-5
621	1.725428003697836e-6	3.713738395597838e-14	2.152357784641708e-8	1.518396732101681e-5
622	1.727975987107641e-6	1.878175821577307e-13	1.086922408407466e-7	1.529265956185756e-5
623	1.729590451065796e-6	2.030491828174864e-13	1.173972616999388e-7	1.541005682355749e-5
624	1.732221054063471e-6	1.645886427382427e-13	9.501595789529753e-8	1.550507278145279e-5
625	1.733170320908166e-6	1.673157686432477e-14	9.653740698466134e-9	1.551472652215126e-5
626	1.739098008880282e-6	1.820128754142679e-13	1.046593547257621e-7	1.561938587687702e-5
627	1.741484390281050e-6	2.062577145232927e-14	1.184378772927191e-8	1.563122966460629e-5
628	1.745063196458755e-6	1.530264302507767e-13	8.769105357405520e-8	1.571892071818035e-5
629	1.745550561722015e-6	5.608790016233887e-14	3.213192524598498e-8	1.575105264342633e-5
630	1.750345553673975e-6	1.447783219432671e-13	8.271413701104756e-8	1.583376678043738e-5
631	1.751639671622630e-6	5.611864849504840e-14	3.203778117394598e-8	1.586580456161133e-5
632	1.755045208141308e-6	7.550328113961048e-15	4.302070441796353e-9	1.587010663205312e-5
633	1.755289417382323e-6	7.531733744748763e-14	4.290878569746575e-8	1.591301541775059e-5
634	1.756858310573971e-6	3.003977874920301e-16	1.709857793790378e-10	1.591318640352997e-5
635	1.760002428724925e-6	9.027313579153470e-14	5.129148364694881e-8	1.596447788717692e-5
636	1.760475088293001e-6	1.535144634494767e-13	8.720058833569073e-8	1.605167847551261e-5
637	1.766217782740820e-6	5.613493748677140e-15	3.178256839859301e-9	1.605485673235247e-5
638	1.769610646754791e-6	5.095106023741320e-14	2.879224327162025e-8	1.608364897562409e-5
639	1.773102428255006e-6	7.427279515952131e-14	4.188860946550994e-8	1.612553758508960e-5
640	1.774927810518546e-6	1.386774572572791e-13	7.813132254475431e-8	1.620366890763435e-5
641	1.778363848441075e-6	7.322833531446876e-14	4.117736388909457e-8	1.624484627152344e-5
