eps	B_eps	t	A	c_lean	c_div_tA	actual_zeta	bc_lower	check_vs_actual	check_vs_bc	ratio_actual	ratio_bc
0.2500	200.0000	1000.0	200.0	1.555753819465285e-61	0.000000000000000e0	8.887270312636550e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	1000.0	500.0	1.555753819465285e-61	0.000000000000000e0	8.887270312636550e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	1000.0	1000.0	1.555753819465285e-61	0.000000000000000e0	8.887270312636550e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	5000.0	1.0	1.555753819465285e-61	3.111507638930571e-65	5.927484037308708e-1	0.000000000000000e0	PASS	FAIL	1.905020e64	0.000000e0
0.2500	200.0000	5000.0	5.0	1.555753819465285e-61	4.978412222288913e-80	5.927484037308708e-1	0.000000000000000e0	PASS	FAIL	1.190637e79	0.000000e0
0.2500	200.0000	5000.0	10.0	1.555753819465285e-61	1.593091911132452e-98	5.927484037308708e-1	0.000000000000000e0	PASS	FAIL	3.720742e97	0.000000e0
0.2500	200.0000	5000.0	50.0	1.555753819465285e-61	1.751623080406021e-246	5.927484037308708e-1	0.000000000000000e0	PASS	FAIL	3.383995e245	0.000000e0
0.2500	200.0000	5000.0	100.0	1.555753819465285e-61	0.000000000000000e0	5.927484037308708e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	5000.0	200.0	1.555753819465285e-61	0.000000000000000e0	5.927484037308708e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	5000.0	500.0	1.555753819465285e-61	0.000000000000000e0	5.927484037308708e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	5000.0	1000.0	1.555753819465285e-61	0.000000000000000e0	5.927484037308708e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	10000.0	1.0	1.555753819465285e-61	1.555753819465286e-65	6.378654458085654e-1	0.000000000000000e0	PASS	FAIL	4.100041e64	0.000000e0
0.2500	200.0000	10000.0	5.0	1.555753819465285e-61	1.555753819465285e-81	6.378654458085654e-1	0.000000000000000e0	PASS	FAIL	4.100041e80	0.000000e0
0.2500	200.0000	10000.0	10.0	1.555753819465285e-61	1.555753819465285e-101	6.378654458085654e-1	0.000000000000000e0	PASS	FAIL	4.100041e100	0.000000e0
0.2500	200.0000	10000.0	50.0	1.555753819465285e-61	1.555753819465285e-261	6.378654458085654e-1	0.000000000000000e0	PASS	FAIL	4.100041e260	0.000000e0
0.2500	200.0000	10000.0	100.0	1.555753819465285e-61	0.000000000000000e0	6.378654458085654e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	10000.0	200.0	1.555753819465285e-61	0.000000000000000e0	6.378654458085654e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	10000.0	500.0	1.555753819465285e-61	0.000000000000000e0	6.378654458085654e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	10000.0	1000.0	1.555753819465285e-61	0.000000000000000e0	6.378654458085654e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.5000	80.0000	2.0	1.0	2.067951531382569e-25	1.033975765691285e-25	6.899732168256925e-1	2.610121787199407e-54	PASS	FAIL	6.673011e24	2.524355e-29
0.5000	80.0000	2.0	5.0	2.067951531382569e-25	6.462348535570529e-27	6.899732168256925e-1	2.610121787199407e-54	PASS	FAIL	1.067682e26	4.038968e-28
0.5000	80.0000	2.0	10.0	2.067951531382569e-25	2.019483917365790e-28	6.899732168256925e-1	2.610121787199407e-54	PASS	FAIL	3.416582e27	1.292470e-26
0.5000	80.0000	2.0	50.0	2.067951531382569e-25	1.836709923159824e-40	6.899732168256925e-1	2.610121787199407e-54	PASS	FAIL	3.756572e39	1.421085e-14
0.5000	80.0000	2.0	100.0	2.067951531382569e-25	1.631326116999631e-55	6.899732168256925e-1	2.610121787199407e-54	PASS	PASS	4.229524e54	1.600000e1
0.5000	80.0000	2.0	200.0	2.067951531382569e-25	1.286889397367007e-85	6.899732168256925e-1	2.610121787199407e-54	PASS	PASS	5.361558e84	2.028241e31
0.5000	80.0000	2.0	500.0	2.067951531382569e-25	6.317460331175305e-176	6.899732168256925e-1	2.610121787199407e-54	PASS	PASS	1.092169e175	4.131600e121
0.5000	80.0000	2.0	1000.0	2.067951531382569e-25	0.000000000000000e0	6.899732168256925e-1	2.610121787199407e-54	PASS	PASS	inf	inf
0.5000	80.0000	5.0	1.0	2.067951531382569e-25	4.135903062765139e-26	7.808260153979032e-1	9.410590528568699e-74	PASS	FAIL	1.887921e25	2.275341e-48
0.5000	80.0000	5.0	5.0	2.067951531382569e-25	6.617444900424222e-29	7.808260153979032e-1	9.410590528568699e-74	PASS	FAIL	1.179951e28	1.422088e-45
0.5000	80.0000	5.0	10.0	2.067951531382569e-25	2.117582368135751e-32	7.808260153979032e-1	9.410590528568699e-74	PASS	FAIL	3.687347e31	4.444026e-42
0.5000	80.0000	5.0	50.0	2.067951531382569e-25	2.328306436538696e-60	7.808260153979032e-1	9.410590528568699e-74	PASS	FAIL	3.353622e59	4.041818e-14
0.5000	80.0000	5.0	100.0	2.067951531382569e-25	2.621440000000000e-95	7.808260153979032e-1	9.410590528568699e-74	PASS	PASS	2.978615e94	3.589855e21
0.5000	80.0000	5.0	200.0	2.067951531382569e-25	3.323069989462290e-165	7.808260153979032e-1	9.410590528568699e-74	PASS	PASS	2.349713e164	2.831897e91
0.5000	80.0000	5.0	500.0	2.067951531382569e-25	0.000000000000000e0	7.808260153979032e-1	9.410590528568699e-74	PASS	PASS	inf	inf
0.5000	80.0000	5.0	1000.0	2.067951531382569e-25	0.000000000000000e0	7.808260153979032e-1	9.410590528568699e-74	PASS	PASS	inf	inf
0.5000	80.0000	10.0	1.0	2.067951531382569e-25	2.067951531382569e-26	1.390235884831393e0	1.765876773086794e-92	PASS	FAIL	6.722768e25	8.539256e-67
0.5000	80.0000	10.0	5.0	2.067951531382569e-25	2.067951531382569e-30	1.390235884831393e0	1.765876773086794e-92	PASS	FAIL	6.722768e29	8.539256e-63
0.5000	80.0000	10.0	10.0	2.067951531382569e-25	2.067951531382569e-35	1.390235884831393e0	1.765876773086794e-92	PASS	FAIL	6.722768e34	8.539256e-58
0.5000	80.0000	10.0	50.0	2.067951531382569e-25	2.067951531382569e-75	1.390235884831393e0	1.765876773086794e-92	PASS	FAIL	6.722768e74	8.539256e-18
0.5000	80.0000	10.0	100.0	2.067951531382569e-25	2.067951531382569e-125	1.390235884831393e0	1.765876773086794e-92	PASS	PASS	6.722768e124	8.539256e32
0.5000	80.0000	10.0	200.0	2.067951531382569e-25	2.067951531382569e-225	1.390235884831393e0	1.765876773086794e-92	PASS	PASS	6.722768e224	8.539256e132
0.5000	80.0000	10.0	500.0	2.067951531382569e-25	0.000000000000000e0	1.390235884831393e0	1.765876773086794e-92	PASS	PASS	inf	inf
0.5000	80.0000	10.0	1000.0	2.067951531382569e-25	0.000000000000000e0	1.390235884831393e0	1.765876773086794e-92	PASS	PASS	inf	inf
0.5000	80.0000	50.0	1.0	2.067951531382569e-25	4.135903062765138e-27	5.231890581175177e-1	2.000748902169373e-143	PASS	FAIL	1.264994e26	4.837514e-117
0.5000	80.0000	50.0	5.0	2.067951531382569e-25	6.617444900424222e-34	5.231890581175177e-1	2.000748902169373e-143	PASS	FAIL	7.906210e32	3.023446e-110
