a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
3	5	50	2.05200674190647886e-1	2.06889770296346420e-1	-1.68909610569853430e-3	1.68909610569853430e-3	2.53364415854780145e-1	0.8
3	5	100	2.06041596281791362e-1	2.06889770296346420e-1	-8.48174014555058697e-4	8.48174014555058697e-4	2.54452204366517609e-1	1.7
3	5	200	2.06464767066596749e-1	2.06889770296346420e-1	-4.25003229749670863e-4	4.25003229749670863e-4	2.55001937849802518e-1	3.5
3	5	500	2.06719547867583897e-1	2.06889770296346420e-1	-1.70222428762523137e-4	1.70222428762523137e-4	2.55333643143784705e-1	8.7
3	5	1000	2.06804622122388121e-1	2.06889770296346420e-1	-8.51481739582993225e-5	8.51481739582993225e-5	2.55444521874897967e-1	17.1
3	5	2000	2.06847186959787294e-1	2.06889770296346420e-1	-4.25833365591266055e-5	4.25833365591266055e-5	2.55500019354759633e-1	33.8
3	5	5000	2.06872734740584430e-1	2.06889770296346420e-1	-1.70355557619905618e-5	1.70355557619905618e-5	2.55533336429858426e-1	86.1
3	5	10000	2.06881252148172462e-1	2.06889770296346420e-1	-8.51814817395823987e-6	8.51814817395823987e-6	2.55544445218747196e-1	171.7
3	5	20000	2.06885511129676514e-1	2.06889770296346420e-1	-4.25916666990655557e-6	4.25916666990655557e-6	2.55550000194393334e-1	339.7
3	5	50000	2.06888066607457316e-1	2.06889770296346420e-1	-1.70368888910421568e-6	1.70368888910421568e-6	2.55553333365632351e-1	866.3
3	7	10	1.64715201373772213e-1	1.73136742391617332e-1	-8.42154101784511888e-3	8.42154101784511888e-3	2.52646230535353566e-1	0.2
3	7	20	1.68872452234320930e-1	1.73136742391617332e-1	-4.26429015729640204e-3	4.26429015729640204e-3	2.55857409437784122e-1	0.4
3	7	50	1.71447246451928187e-1	1.73136742391617332e-1	-1.68949593968914513e-3	1.68949593968914513e-3	2.53424390953371770e-1	0.8
