k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
8542	3.395314848060051e-6	2	0.42605008	0.00000000	0.13565396	0.42605008	0.36407961	0.07421634
8543	3.396079047752876e-6	2	0.42238340	0.00000000	0.14546083	0.42238340	0.36438694	0.06776883
8544	3.401879149884031e-6	2	0.43612717	0.00000000	0.13266727	0.43612717	0.35761244	0.07359311
8545	3.405947969501985e-6	2	0.42779155	0.00000000	0.13638848	0.42779155	0.36645451	0.06936546
8546	3.415464615063521e-6	2	0.43898881	0.00000000	0.13888326	0.43898881	0.35570378	0.06642416
8547	3.418492604696626e-6	2	0.45874203	0.00000000	0.12141108	0.45874203	0.34791625	0.07193064
8548	3.424113558042306e-6	2	0.44355844	0.00000000	0.13290700	0.44355844	0.35559115	0.06794340
8549	3.427653196772154e-6	2	0.45100977	0.00000000	0.13052281	0.45100977	0.34987160	0.06859583
8550	3.431674357180047e-6	2	0.43680600	0.00000000	0.14354319	0.43680600	0.35909852	0.06055230
8551	3.440567830786836e-6	2	0.43488802	0.00000000	0.14676006	0.43488802	0.34720593	0.07114599
8552	3.446509223239220e-6	2	0.44359952	0.00000000	0.13529076	0.44359952	0.35681854	0.06429118
8553	3.449432674940422e-6	2	0.43179496	0.00000000	0.13909742	0.43179496	0.36025248	0.06885514
8554	3.458082995940368e-6	2	0.43779696	0.00000000	0.13467581	0.43779696	0.36273962	0.06478761
8555	3.460606426235309e-6	2	0.43966079	0.00000000	0.13984775	0.43966079	0.34790932	0.07258215
8556	3.463913162013988e-6	2	0.44585114	0.00000000	0.14359570	0.44585114	0.33804288	0.07251028
8557	3.472274146724977e-6	2	0.43814295	0.00000000	0.13937231	0.43814295	0.34713374	0.07535099
8558	3.477843566337841e-6	2	0.43775375	0.00000000	0.13141144	0.43775375	0.36395978	0.06687502
8559	3.488992775831324e-6	2	0.42997749	0.00000000	0.13099676	0.42997749	0.37400442	0.06502133
8560	3.491624973757278e-6	2	0.44989804	0.00000000	0.12913640	0.44989804	0.36040394	0.06056162
8561	3.496168633971593e-6	2	0.44525429	0.00000000	0.15250698	0.44525429	0.34264014	0.05959859
8562	3.496842000840825e-6	2	0.42397698	0.00000000	0.15340915	0.42397698	0.35221229	0.07040157
8563	3.500149572575069e-6	2	0.43705130	0.00000000	0.14618630	0.43705130	0.34894674	0.06781567
8564	3.507332217066348e-6	2	0.43735185	0.00000000	0.14192018	0.43735185	0.34882304	0.07190493
8565	3.516783971880748e-6	2	0.44426151	0.00000000	0.13254527	0.44426151	0.35583619	0.06735704
8566	3.524024773440113e-6	2	0.43681673	0.00000000	0.13984181	0.43681673	0.35587835	0.06746311
8567	3.527197195377229e-6	2	0.42960168	0.00000000	0.13711111	0.42960168	0.36967643	0.06361078
8568	3.538034392840462e-6	2	0.43210875	0.00000000	0.13841506	0.43210875	0.35852336	0.07095283
8569	3.549231849948952e-6	2	0.41956605	0.00000000	0.13694958	0.41956605	0.37306517	0.07041921
8570	3.550473082641180e-6	2	0.44529677	0.00000000	0.12958831	0.44529677	0.35471845	0.07039648
8571	3.554950828257708e-6	2	0.44308831	0.00000000	0.13277285	0.44308831	0.36682342	0.05731542
8572	3.558410207841016e-6	2	0.44086827	0.00000000	0.14546211	0.44086827	0.34636732	0.06730230
8573	3.568650474316032e-6	2	0.42014821	0.00000000	0.14038508	0.42014821	0.36602573	0.07344099
8574	3.569648160318793e-6	2	0.44959399	0.00000000	0.14232534	0.44959399	0.33863570	0.06944496
8575	3.575421316463013e-6	2	0.45895155	0.00000000	0.13756158	0.45895155	0.34151852	0.06196835
8576	3.587728079541459e-6	2	0.44039768	0.00000000	0.13631761	0.44039768	0.35347934	0.06980536
8577	3.591216255477272e-6	2	0.41982978	0.00000000	0.13377117	0.41982978	0.37122434	0.07517470
8578	3.597420930537576e-6	2	0.43305222	0.00000000	0.13479825	0.43305222	0.35963817	0.07251136
8579	3.602559798255252e-6	2	0.44299752	0.00000000	0.12429577	0.44299752	0.36358853	0.06911817
8580	3.607764701623012e-6	2	0.45145198	0.00000000	0.13635591	0.45145198	0.34501127	0.06718084
8581	3.615072166530424e-6	2	0.44091662	0.00000000	0.13097028	0.44091662	0.36121608	0.06689701
8582	3.618035682653274e-6	2	0.44094946	0.00000000	0.13545492	0.44094946	0.34932963	0.07426600
8583	3.622487634805205e-6	2	0.41581808	0.00000000	0.14579751	0.41581808	0.37411139	0.06427302
8584	3.630244864882711e-6	2	0.43966012	0.00000000	0.13988245	0.43966012	0.35086861	0.06958882
8585	3.639343367466129e-6	2	0.45145931	0.00000000	0.13300895	0.45145931	0.34592726	0.06960448
8586	3.645775716965936e-6	2	0.44035005	0.00000000	0.13535385	0.44035005	0.35439232	0.06990377
8587	3.648467938052764e-6	2	0.43724411	0.00000000	0.14538834	0.43724411	0.34798171	0.06938583
8588	3.656034215993434e-6	2	0.43897864	0.00000000	0.13344999	0.43897864	0.35936914	0.06820223
8589	3.657905156449156e-6	2	0.42669207	0.00000000	0.13122418	0.42669207	0.37138714	0.07069661
8590	3.668476584118827e-6	2	0.43283202	0.00000000	0.13035314	0.43283202	0.37467460	0.06214024
8591	3.675388141318430e-6	2	0.43041055	0.00000000	0.14661637	0.43041055	0.35494082	0.06803226
8592	3.682579115535075e-6	2	0.44318794	0.00000000	0.13042989	0.44318794	0.36324751	0.06313465
8593	3.686681184773505e-6	2	0.42412523	0.00000000	0.14999217	0.42412523	0.36033972	0.06554287
8594	3.698434059551871e-6	2	0.44753501	0.00000000	0.13469567	0.44753501	0.35025531	0.06751401
8595	3.707771425156300e-6	2	0.43533483	0.00000000	0.13994592	0.43533483	0.35690179	0.06781746
8596	3.710935942114568e-6	2	0.43172026	0.00000000	0.15048626	0.43172026	0.35146293	0.06633056
8597	3.717446461486027e-6	2	0.45041806	0.00000000	0.13433176	0.45041806	0.34814881	0.06710137
8598	3.721589488436757e-6	2	0.45355141	0.00000000	0.13479065	0.45355141	0.34994558	0.06171236
8599	3.733024181537403e-6	2	0.43526683	0.00000000	0.14724439	0.43526683	0.34906624	0.06842255
8600	3.736525160869563e-6	2	0.43727191	0.00000000	0.13741305	0.43727191	0.35772795	0.06758710
8601	3.737152144018221e-6	2	0.44381108	0.00000000	0.14230103	0.44381108	0.35898620	0.05490169
