N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
2255	0.6399813728	1.1935990284	-0.5536176556	0.7955670904	0.0488471920	0.1194699819	3.4278823721	1.5089104680	1321.0494520717	4533.5744969982	-0.4700517457	0.0920585226	-0.2471561743	1.8506618139	-0.4700517457	0.1091612953	-0.2258785401	0.0000000000	-0.1267139545	-0.4971974960	166.7419110726	2.3704022921	0.1950742606	0.4638221400	-0.0835659099	false	false		1.722
2256	0.6399967302	1.1939893025	-0.5539925723	0.7955768978	0.0488429346	0.1194653003	3.4281449036	1.5088808525	1321.9609684911	4537.0464190622	-0.4700783880	0.0921041516	-0.2471595694	1.8507712242	-0.4700783880	0.1091526055	-0.2259186665	0.0000000000	-0.1267268381	-0.4972032069	166.8219046754	2.3706822338	0.1950476017	0.4639845358	-0.0839141843	false	false		1.726
2257	0.6400120796	1.1943797165	-0.5543676369	0.7955866997	0.0488386803	0.1194606227	3.4284072886	1.5088512535	1322.7811777389	4540.2055876135	-0.4701050089	0.0921497567	-0.2471629639	1.8508805863	-0.4701050089	0.1091439116	-0.2259587774	0.0000000000	-0.1267397157	-0.4972089161	166.9018608244	2.3709620648	0.1950209565	0.4641468950	-0.0842626279	false	false		1.751
2258	0.6400271084	1.1947702172	-0.5547431087	0.7955962891	0.0488345301	0.1194560753	3.4286695273	1.5088216389	1323.6014661582	4543.3652640751	-0.4701320244	0.0921953379	-0.2471663579	1.8509899003	-0.4701320244	0.1091352134	-0.2259988730	0.0000000000	-0.1267525872	-0.4972145207	166.9813832836	2.3712415752	0.1949940098	0.4643094553	-0.0846110844	false	false		1.731
2259	0.6400418170	1.1951604277	-0.5551186107	0.7956056664	0.0488304842	0.1194516583	3.4289316198	1.5087920090	1323.5786140966	4543.6341058176	-0.4701601485	0.0922417200	-0.2471697513	1.8510991662	-0.4701601485	0.1091273358	-0.2260389533	0.0000000000	-0.1267654526	-0.4972201306	167.0594304121	2.3715214804	0.1949663521	0.4644720473	-0.0849584621	false	false		1.735
2260	0.6400565183	1.1955507781	-0.5554942598	0.7956150385	0.0488264414	0.1194472455	3.4291935663	1.5087623957	1324.7136334056	4547.8733071811	-0.4701882507	0.0922880779	-0.2471731441	1.8512083841	-0.4701882507	0.1091194538	-0.2260790182	0.0000000000	-0.1267783119	-0.4972257387	167.1374410505	2.3718012755	0.1949387087	0.4646346018	-0.0853060090	false	false		1.756
2261	0.6400712122	1.1959412678	-0.5558700556	0.7956244053	0.0488224016	0.1194428368	3.4294553669	1.5091861368	1325.0394065404	4549.3391906464	-0.4702163310	0.0923344118	-0.2471765365	1.8513175540	-0.4702163310	0.1091115673	-0.2261190678	0.0000000000	-0.1267911652	-0.4972313451	167.2154152308	2.3720809604	0.1949110795	0.4647971188	-0.0856537246	false	false		1.748
2262	0.6400862102	1.1963315959	-0.5562453857	0.7956339732	0.0488182638	0.1194383052	3.4297170218	1.5091565633	1326.5228963102	4554.7741372489	-0.4702436540	0.0923807216	-0.2471799282	1.8514266760	-0.4702436540	0.1091036764	-0.2261591020	0.0000000000	-0.1268040124	-0.4972373739	167.2944487287	2.3723604568	0.1948838170	0.4649592033	-0.0860017318	false	false		1.751
2263	0.6401008895	1.1967214662	-0.5566205767	0.7956433297	0.0488142301	0.1194339046	3.4299785311	1.5091269746	1326.5000239024	4555.0428766201	-0.4702736568	0.0924278298	-0.2471828528	1.8515357501	-0.4702736568	0.1090974355	-0.2261979132	0.0000000000	-0.1268168535	-0.4972438726	167.3665821966	2.3726400175	0.1948555567	0.4651212437	-0.0863469198	false	false		1.948
2264	0.6401152508	1.1971114192	-0.5569961684	0.7956524751	0.0488103006	0.1194296349	3.4302398950	1.5090973704	1326.4772671170	4555.3118074329	-0.4703040467	0.0924749137	-0.2471857771	1.8516447764	-0.4703040467	0.1090911900	-0.2262367092	0.0000000000	-0.1268296886	-0.4972502710	167.4382953780	2.3729192559	0.1948269975	0.4652834811	-0.0866921217	false	false		1.761
2265	0.6401296049	1.1975015116	-0.5573719066	0.7956616154	0.0488063742	0.1194253695	3.4305011135	1.5090677826	1327.2978646433	4558.4736613542	-0.4703344141	0.0925219734	-0.2471887009	1.8517537548	-0.4703344141	0.1090849397	-0.2262754902	0.0000000000	-0.1268425177	-0.4972566676	167.5099723332	2.3731983845	0.1947984530	0.4654456811	-0.0870374925	false	false		1.759
2266	0.6401442620	1.1978912114	-0.5577469493	0.7956709561	0.0488023497	0.1194209810	3.4307621870	1.5090382432	1328.1183665400	4561.6354230649	-0.4703635263	0.0925690088	-0.2471920900	1.8518626855	-0.4703635263	0.1090786847	-0.2263148996	0.0000000000	-0.1268557942	-0.4972628882	167.5838351577	2.3734771286	0.1947704556	0.4656073474	-0.0873834231	false	false		1.776
2267	0.6401592214	1.1982805251	-0.5581213037	0.7956804971	0.0487982273	0.1194164693	3.4310231154	1.5090087517	1328.0954228864	4561.9035392542	-0.4703911769	0.0926151997	-0.2471954786	1.8519715685	-0.4703911769	0.1090714596	-0.2263542937	0.0000000000	-0.1268690647	-0.4972692713	167.6601885077	2.3737552196	0.1947432128	0.4657684841	-0.0877301268	false	true	2267	1.753
