a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
4	5	50000	1.158478575725059e-1	4.737456730056636e-2	-6.847329027193939e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-1.270824e-6	2.541648e-1	6.847202e-2	1.369440e4
4	5	100000	1.158490242316711e-1	4.737520271020233e-2	-6.847382152147055e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-6.354143e-7	2.541657e-1	6.847319e-2	2.738927e4
1	6	100	1.721926720983328e-1	1.721926720983328e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-2.643243e-3	2.643243e-1	-2.643243e-3	2.643243e-1
1	6	500	1.743079726517371e-1	1.743079726517371e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-5.279424e-4	2.639712e-1	-5.279424e-4	2.639712e-1
1	6	1000	1.745719843320082e-1	1.745719843320082e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-2.639307e-4	2.639307e-1	-2.639307e-4	2.639307e-1
1	6	5000	1.747831356376435e-1	1.747831356376435e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-5.277944e-5	2.638972e-1	-5.277944e-5	2.638972e-1
1	6	10000	1.748095257743285e-1	1.748095257743285e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-2.638931e-5	2.638931e-1	-2.638931e-5	2.638931e-1
1	6	50000	1.748306372856337e-1	1.748306372856337e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-5.277794e-6	2.638897e-1	-5.277794e-6	2.638897e-1
1	6	100000	1.748332761870233e-1	1.748332761870233e-1	0.000000000000000e0	0.000000000000000e0	1.748359150800768e-1	1.748359150800768e-1	-2.638893e-6	2.638893e-1	-2.638893e-6	2.638893e-1
5	6	100	9.682016301532391e-2	3.701601104930490e-2	-5.980415196601903e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-5.061091e-4	2.530545e-1	5.929804e-2	2.964902e1
5	6	500	9.759328500052465e-2	3.742107174958988e-2	-6.017221325093458e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-1.010484e-4	2.526209e-1	6.007116e-2	1.501779e2
5	6	1000	9.769049931122635e-2	3.747155891242070e-2	-6.021894039880556e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-5.056121e-5	2.528060e-1	6.016838e-2	3.008419e2
