N	k	inner_val	predicted	ratio
200	45	-2.255198059316635e-3	1.469742471310316e0	1.534417153575255e-3
200	46	-2.223129336342163e-3	1.470128283065568e0	1.512200916035986e-3
200	47	-2.170570125797846e-3	1.470458982786056e0	1.476117424020424e-3
200	48	-2.168056218844572e-3	1.470738337209168e0	1.474127765621868e-3
200	49	-2.185421362583946e-3	1.470969808021997e0	1.485701032519945e-3
200	50	-2.187411895700217e-3	1.471156581443822e0	1.486865452182832e-3
200	51	-2.196554650367445e-3	1.471301594453130e0	1.492932964015365e-3
200	52	-2.159957972425768e-3	1.471407558094420e0	1.467953566327381e-3
200	53	-2.103872692087102e-3	1.471476978236633e0	1.429769356370298e-3
200	54	-2.111979370289855e-3	1.471512174101903e0	1.435244238858468e-3
200	55	-2.145148945230467e-3	1.471515294838555e0	1.457782296082636e-3
200	56	-2.101633519847065e-3	1.471488334374476e0	1.428236616459798e-3
200	57	-2.078571607510374e-3	1.471433144754952e0	1.412617090297047e-3
200	58	-2.034618867058436e-3	1.471351448141881e0	1.382823165483601e-3
200	59	-1.981179395578775e-3	1.471244847628012e0	1.346600736629865e-3
200	60	-1.953560126080481e-3	1.471114837000095e0	1.327945362895116e-3
200	61	-1.941719151106924e-3	1.470962809567786e0	1.320032796531043e-3
200	62	-1.966252763578774e-3	1.470790066160577e0	1.336868400744355e-3
200	63	-1.968576630746855e-3	1.470597822382414e0	1.338623382127480e-3
200	64	-1.946407722591695e-3	1.470387215202821e0	1.323738197984273e-3
200	65	-1.961117546657495e-3	1.470159308953926e0	1.333949004514962e-3
200	66	-1.917105215813739e-3	1.469915100794637e0	1.304228533183550e-3
200	67	-1.896521873872726e-3	1.469655525696091e0	1.290453334616935e-3
200	68	-1.902407473694032e-3	1.469381460996361e0	1.294699520983506e-3
200	69	-1.889602133733164e-3	1.469093730566939e0	1.286236605886233e-3
200	70	-1.851518472656392e-3	1.468793108628857e0	1.260571323339620e-3
200	71	-1.821649736912715e-3	1.468480323252096e0	1.240499929122980e-3
200	72	-1.822147610818134e-3	1.468156059568340e0	1.241113026740408e-3
200	73	-1.805711564583121e-3	1.467820962723912e0	1.230198784756533e-3
200	74	-1.809639037555196e-3	1.467475640596895e0	1.233164617859774e-3
200	75	-1.810828875159157e-3	1.467120666299945e0	1.234273987650953e-3
200	76	-1.799341260042966e-3	1.466756580488136e0	1.226748380732777e-3
200	77	-1.793748267704096e-3	1.466383893489138e0	1.223246024229046e-3
200	78	-1.758060227672604e-3	1.466003087271394e0	1.199220003652791e-3
200	79	-1.732779763300800e-3	1.465614617264328e0	1.182288811048538e-3
200	80	-1.736256804542164e-3	1.465218914043308e0	1.184981157355470e-3
200	81	-1.737401756827187e-3	1.464816384890813e0	1.186088423605866e-3
200	82	-1.733190977617319e-3	1.464407415244203e0	1.183544251125152e-3
200	83	-1.714434291899907e-3	1.463992370039475e0	1.171067778074334e-3
200	84	-1.721207366704256e-3	1.463571594959539e0	1.176032230081535e-3
200	85	-1.742398050988803e-3	1.463145417594747e0	1.190857743896104e-3
200	86	-1.728614190320257e-3	1.462714148522704e0	1.181785376224126e-3
200	87	-1.723754189992449e-3	1.462278082313779e0	1.178814215190132e-3
200	88	-1.706172074931302e-3	1.461837498468116e0	1.167142091182657e-3
200	89	-1.681244775022851e-3	1.461392662289485e0	1.150440137279008e-3
200	90	-1.680201334307287e-3	1.460943825700819e0	1.150079356063734e-3
200	91	-1.702322232343844e-3	1.460491228005855e0	1.165581962904483e-3
200	92	-1.695903902214744e-3	1.460035096600954e0	1.161550092982631e-3
