a	b	abs_V	ratio_to_a_lna
67	5	2.996559702203379e1	1.063687068786387e-1
67	6	2.513852205354081e1	8.923406671020474e-2
67	7	2.332288279288509e1	8.278910250101415e-2
67	8	2.055067022842460e1	7.294859555374544e-2
67	9	1.929240728327825e1	6.848214683623413e-2
67	10	1.740480482942529e1	6.178173529530440e-2
67	11	1.088661527239034e1	3.864415542790360e-2
67	12	1.355869939745809e1	4.812923703149732e-2
67	13	9.076805280831389e0	3.221988334159694e-2
67	14	1.331508078654416e1	4.726446545376333e-2
67	15	1.171189580050104e1	4.157364895752383e-2
67	16	5.888784612761317e0	2.090338476772765e-2
67	17	1.676515713619714e1	5.951118156875745e-2
67	18	8.543044655572187e0	3.032519632936061e-2
67	19	2.771573095248573e0	9.838237027096207e-3
67	20	2.402915498010161e0	8.529615280951723e-3
67	21	1.116336304185337e0	3.962652538861837e-3
67	22	8.930895224788008e0	3.170194725740973e-2
67	23	1.269971968180860e1	4.508012169028006e-2
67	24	7.389518140557930e0	2.623052991366838e-2
67	25	1.113977364187538e0	3.954279023160293e-3
67	26	5.585327869479281e-1	1.982620611673068e-3
67	27	6.839032066825929e0	2.427647267347668e-2
67	28	8.477574747948210e-1	3.009279817596138e-3
67	29	6.609022653547467e-1	2.346000958607834e-3
67	30	3.732174774421318e0	1.324807926597842e-2
67	31	6.742906167008737e0	2.393525512144253e-2
67	32	1.295252522598515e1	4.597750407201726e-2
67	33	2.416379425752087e1	8.577408107584311e-2
67	34	2.416379425752087e1	8.577408107584311e-2
67	35	1.295252522598515e1	4.597750407201726e-2
67	36	6.742906167008737e0	2.393525512144253e-2
67	37	3.732174774421318e0	1.324807926597842e-2
67	38	6.609022653547467e-1	2.346000958607834e-3
67	39	8.477574747948210e-1	3.009279817596138e-3
67	40	6.839032066825929e0	2.427647267347668e-2
67	41	5.585327869479281e-1	1.982620611673068e-3
67	42	1.113977364187538e0	3.954279023160293e-3
67	43	7.389518140557930e0	2.623052991366838e-2
67	44	1.269971968180860e1	4.508012169028006e-2
67	45	8.930895224788008e0	3.170194725740973e-2
67	46	1.116336304185337e0	3.962652538861837e-3
67	47	2.402915498010161e0	8.529615280951723e-3
67	48	2.771573095248573e0	9.838237027096207e-3
67	49	8.543044655572187e0	3.032519632936061e-2
67	50	1.676515713619714e1	5.951118156875745e-2
67	51	5.888784612761317e0	2.090338476772765e-2
67	52	1.171189580050104e1	4.157364895752383e-2
67	53	1.331508078654416e1	4.726446545376333e-2
67	54	9.076805280831389e0	3.221988334159694e-2
67	55	1.355869939745809e1	4.812923703149732e-2
67	56	1.088661527239034e1	3.864415542790360e-2
67	57	1.740480482942529e1	6.178173529530440e-2
67	58	1.929240728327825e1	6.848214683623413e-2
67	59	2.055067022842460e1	7.294859555374544e-2
67	60	2.332288279288509e1	8.278910250101415e-2
67	61	2.513852205354081e1	8.923406671020474e-2
67	62	2.996559702203379e1	1.063687068786387e-1
67	63	3.499198158661216e1	1.242108351704868e-1
67	64	4.011716222081238e1	1.424036593007206e-1
67	65	4.864003775760359e1	1.726572614254994e-1
67	66	6.310626655796717e1	2.240079503429851e-1
68	1	6.436403524886366e1	2.243223608690728e-1
68	3	4.141010068382418e1	1.443230138275932e-1
68	5	3.087162990129048e1	1.075942003411914e-1
68	7	2.475394019241182e1	8.627274973210579e-2
68	9	1.879621941307780e1	6.550882488725175e-2
68	11	1.345566377756593e1	4.689585191440194e-2
68	13	1.104043606720201e1	3.847826933229051e-2
68	15	8.164234403404182e0	2.845409441746376e-2
68	19	5.907406905917779e0	2.058857028814296e-2
68	21	2.915236432616047e0	1.016021939158190e-2
68	23	1.789378805301694e1	6.236365954097690e-2
68	25	4.261432696172234e0	1.485199986908668e-2
68	27	4.819270676759005e0	1.679618395114157e-2
68	29	4.888151190654838e0	1.703624720129743e-2
68	31	4.741053309541664e0	1.652357978008058e-2
68	33	1.733602853872721e1	6.041974893066649e-2
68	35	1.733602853872721e1	6.041974893066649e-2
68	37	4.741053309541664e0	1.652357978008058e-2
68	39	4.888151190654838e0	1.703624720129743e-2
68	41	4.819270676759005e0	1.679618395114157e-2
68	43	4.261432696172234e0	1.485199986908668e-2
68	45	1.789378805301694e1	6.236365954097690e-2
68	47	2.915236432616047e0	1.016021939158190e-2
68	49	5.907406905917779e0	2.058857028814296e-2
68	53	8.164234403404182e0	2.845409441746376e-2
68	55	1.104043606720201e1	3.847826933229051e-2
68	57	1.345566377756593e1	4.689585191440194e-2
68	59	1.879621941307780e1	6.550882488725175e-2
68	61	2.475394019241182e1	8.627274973210579e-2
68	63	3.087162990129048e1	1.075942003411914e-1
68	65	4.141010068382418e1	1.443230138275932e-1
68	67	6.436403524886366e1	2.243223608690728e-1
69	1	6.562648569138123e1	2.246302702230574e-1
69	2	5.071904229932648e1	1.736041791225862e-1
69	4	3.563003821709979e1	1.219566312053200e-1
69	5	3.243874803181960e1	1.110332918077050e-1
69	7	2.665857729515615e1	9.124857682817593e-2
69	8	2.257499048530359e1	7.727103104139972e-2
69	10	2.158906842304636e1	7.389635789030029e-2
69	11	1.485042686607638e1	5.083093151661155e-2
69	13	1.264590913627677e1	4.328517604701094e-2
69	14	1.835484635316068e1	6.282606866383926e-2
69	16	9.242286043820851e0	3.163505084312209e-2
69	17	1.744348475221327e-1	5.970660553039556e-4
69	19	7.770411252063959e0	2.659702955150997e-2
69	20	7.178024342724542e0	2.456937211839236e-2
69	22	1.376363432699899e0	4.711099284920523e-3
69	25	4.331235199002110e0	1.482521154228493e-2
69	26	6.076907398473868e0	2.080040301806006e-2
69	28	4.179538285179489e0	1.430597424982612e-2
69	29	1.259203085524851e0	4.310075823613736e-3
69	31	4.930106690961586e0	1.687506479361345e-2
69	32	8.066986311962985e0	2.761216444932893e-2
69	34	2.520321160639881e1	8.626706388420514e-2
69	35	2.520321160639881e1	8.626706388420514e-2
69	37	8.066986311962985e0	2.761216444932893e-2
69	38	4.930106690961586e0	1.687506479361345e-2
69	40	1.259203085524851e0	4.310075823613736e-3
69	41	4.179538285179489e0	1.430597424982612e-2
69	43	6.076907398473868e0	2.080040301806006e-2
69	44	4.331235199002110e0	1.482521154228493e-2
69	47	1.376363432699899e0	4.711099284920523e-3
69	49	7.178024342724542e0	2.456937211839236e-2
69	50	7.770411252063959e0	2.659702955150997e-2
69	52	1.744348475221327e-1	5.970660553039556e-4
69	53	9.242286043820851e0	3.163505084312209e-2
69	55	1.835484635316068e1	6.282606866383926e-2
69	56	1.264590913627677e1	4.328517604701094e-2
69	58	1.485042686607638e1	5.083093151661155e-2
69	59	2.158906842304636e1	7.389635789030029e-2
69	61	2.257499048530359e1	7.727103104139972e-2
69	62	2.665857729515615e1	9.124857682817593e-2
69	64	3.243874803181960e1	1.110332918077050e-1
69	65	3.563003821709979e1	1.219566312053200e-1
69	67	5.071904229932648e1	1.736041791225862e-1
69	68	6.562648569138123e1	2.246302702230574e-1
70	1	6.689355001351655e1	2.249319085006836e-1
70	3	4.285549348328115e1	1.441031001790945e-1
70	9	2.179856373892129e1	7.329843525091168e-2
70	11	1.573019880608055e1	5.289334529012047e-2
70	13	1.314379101041943e1	4.419645834778373e-2
70	17	3.533196124614099e0	1.188049591113172e-2
70	19	6.831691044673959e0	2.297180078879120e-2
70	23	9.651025008234745e0	3.245191014158211e-2
70	27	2.727997524395956e0	9.172987372079007e-3
70	29	2.965014644213461e-1	9.969965751864714e-4
70	31	6.104004473645578e0	2.052492916695832e-2
70	33	1.025239667606748e1	3.447404347037875e-2
70	37	1.025239667606748e1	3.447404347037875e-2
70	39	6.104004473645578e0	2.052492916695832e-2
70	41	2.965014644213461e-1	9.969965751864714e-4
70	43	2.727997524395956e0	9.172987372079007e-3
70	47	9.651025008234745e0	3.245191014158211e-2
70	51	6.831691044673959e0	2.297180078879120e-2
70	53	3.533196124614099e0	1.188049591113172e-2
70	57	1.314379101041943e1	4.419645834778373e-2
70	59	1.573019880608055e1	5.289334529012047e-2
70	61	2.179856373892129e1	7.329843525091168e-2
70	67	4.285549348328115e1	1.441031001790945e-1
70	69	6.689355001351655e1	2.249319085006836e-1
71	1	6.816516228332756e1	2.252274944189002e-1
71	2	5.281650111148772e1	1.745133116513243e-1
71	3	4.416227812731742e1	1.459185149314773e-1
71	4	3.828602758366150e1	1.265025384679541e-1
71	5	3.217181406452774e1	1.063002981280454e-1
71	6	3.060942779717431e1	1.011379493193112e-1
71	7	2.424457050530054e1	8.010754592609248e-2
71	8	2.582121709370109e1	8.531701288538140e-2
71	9	2.408203883428693e1	7.957051792234540e-2
71	10	1.537768120563573e1	5.081006913065146e-2
71	11	1.807080272855681e1	5.970852975855912e-2
71	12	2.056034790088500e1	6.793434486152251e-2
71	13	1.540381496962597e1	5.089641884340929e-2
71	14	6.285275718172652e0	2.076745443445125e-2
71	15	1.341738104296835e1	4.433295561463882e-2
71	16	1.083161096956678e1	3.578919960691553e-2
71	17	5.530880798924713e0	1.827482518260070e-2
71	18	1.808833488828768e1	5.976645853442739e-2
71	19	1.018901628283154e1	3.366597439373833e-2
71	20	4.958832791085003e0	1.638469633705442e-2
71	21	4.681190416707698e0	1.546732602308673e-2
71	22	1.912330406070847e0	6.318614544922187e-3
71	23	4.773001329270524e0	1.577068247532972e-2
71	24	1.900343679347466e1	6.279008676825376e-2
71	25	8.368369060022935e0	2.765029426508988e-2
71	26	5.551796269848533e0	1.834393290497630e-2
71	27	3.091956554787502e0	1.021626890276199e-2
71	28	2.145105560242644e0	7.087737114001882e-3
71	29	2.458628231360292e0	8.123661085925294e-3
71	30	1.952347438033967e0	6.450836570678870e-3
71	31	3.172098977664856e0	1.048107098782563e-2
71	32	5.008450214485961e0	1.654863943610654e-2
71	33	8.763670070733777e0	2.895642562605692e-2
71	34	1.395699892343886e1	4.611593065776780e-2
71	35	2.625186087362886e1	8.673992183610124e-2
71	36	2.625186087362886e1	8.673992183610124e-2
71	37	1.395699892343886e1	4.611593065776780e-2
71	38	8.763670070733777e0	2.895642562605692e-2
71	39	5.008450214485961e0	1.654863943610654e-2
71	40	3.172098977664856e0	1.048107098782563e-2
71	41	1.952347438033967e0	6.450836570678870e-3
71	42	2.458628231360292e0	8.123661085925294e-3
71	43	2.145105560242644e0	7.087737114001882e-3
71	44	3.091956554787502e0	1.021626890276199e-2
71	45	5.551796269848533e0	1.834393290497630e-2
71	46	8.368369060022935e0	2.765029426508988e-2
71	47	1.900343679347466e1	6.279008676825376e-2
71	48	4.773001329270524e0	1.577068247532972e-2
71	49	1.912330406070847e0	6.318614544922187e-3
71	50	4.681190416707698e0	1.546732602308673e-2
71	51	4.958832791085003e0	1.638469633705442e-2
71	52	1.018901628283154e1	3.366597439373833e-2
71	53	1.808833488828768e1	5.976645853442739e-2
71	54	5.530880798924713e0	1.827482518260070e-2
71	55	1.083161096956678e1	3.578919960691553e-2
71	56	1.341738104296835e1	4.433295561463882e-2
71	57	6.285275718172652e0	2.076745443445125e-2
71	58	1.540381496962597e1	5.089641884340929e-2
71	59	2.056034790088500e1	6.793434486152251e-2
71	60	1.807080272855681e1	5.970852975855912e-2
71	61	1.537768120563573e1	5.081006913065146e-2
71	62	2.408203883428693e1	7.957051792234540e-2
71	63	2.582121709370109e1	8.531701288538140e-2
71	64	2.424457050530054e1	8.010754592609248e-2
71	65	3.060942779717431e1	1.011379493193112e-1
71	66	3.217181406452774e1	1.063002981280454e-1
71	67	3.828602758366150e1	1.265025384679541e-1
71	68	4.416227812731742e1	1.459185149314773e-1
71	69	5.281650111148772e1	1.745133116513243e-1
71	70	6.816516228332756e1	2.252274944189002e-1
72	1	6.944125842691165e1	2.255172360328871e-1
72	5	3.373973919662987e1	1.095730823499253e-1
72	7	2.612951194550051e1	8.485812968150228e-2
72	11	1.667839770703429e1	5.416471759806060e-2
72	13	1.298898594411140e1	4.218299430833485e-2
72	17	7.794816048298233e0	2.531442272819981e-2
72	19	1.120143450720652e1	3.637774727725319e-2
72	23	2.140608788224628e0	6.951835094639364e-3
72	25	1.099396061458693e1	3.570395564570031e-2
72	29	7.673621307649726e0	2.492083102851106e-2
72	31	1.755850558282356e0	5.702295346611697e-3
72	35	1.899220439161125e1	6.167902969494494e-2
72	37	1.899220439161125e1	6.167902969494494e-2
72	41	1.755850558282356e0	5.702295346611697e-3
72	43	7.673621307649726e0	2.492083102851106e-2
72	47	1.099396061458693e1	3.570395564570031e-2
72	49	2.140608788224628e0	6.951835094639364e-3
72	53	1.120143450720652e1	3.637774727725319e-2
72	55	7.794816048298233e0	2.531442272819981e-2
72	59	1.298898594411140e1	4.218299430833485e-2
72	61	1.667839770703429e1	5.416471759806060e-2
72	65	2.612951194550051e1	8.485812968150228e-2
72	67	3.373973919662987e1	1.095730823499253e-1
72	71	6.944125842691165e1	2.255172360328871e-1
73	1	7.072177615094364e1	2.258013313984871e-1
73	2	5.493189427314189e1	1.753872079887075e-1
73	3	4.563475562944829e1	1.457031927080148e-1
73	4	3.896043792359840e1	1.243933514373316e-1
73	5	3.466853240663612e1	1.106901042522188e-1
73	6	2.933196254803515e1	9.365144028256316e-2
73	7	2.757415711798676e1	8.803909811517656e-2
73	8	2.222730194534847e1	7.096759507204342e-2
73	9	1.921996978804567e1	6.136574904901485e-2
73	10	1.948921682803272e1	6.222540421342160e-2
73	11	1.902822752717274e1	6.075355206886468e-2
73	12	1.153547260358012e1	3.683059467623973e-2
73	13	1.524977838154944e1	4.868967451745460e-2
73	14	1.113792951846010e1	3.556131436692210e-2
73	15	1.650982308207012e1	5.271276028373851e-2
73	16	1.035583007419064e1	3.306421792204295e-2
73	17	8.638153747115526e0	2.758000043381957e-2
73	18	5.067265587068300e-1	1.617882607568661e-3
73	19	1.232926434862201e1	3.936502243864537e-2
73	20	9.792043075781990e0	3.126415206122348e-2
73	21	1.004434623201137e1	3.206970859123826e-2
73	22	5.891026103819230e0	1.880893849026832e-2
73	23	4.537438843296991e-1	1.448718892139987e-3
73	24	1.038481457713165e1	3.315675998914313e-2
73	25	1.448264840852203e1	4.624037277911072e-2
73	26	6.812530828226482e0	2.175112977823949e-2
73	27	3.916342409618686e0	1.250414481130730e-2
73	28	1.175756486023345e0	3.753969348533332e-3
73	29	5.497772810579285e0	1.755335467969071e-2
73	30	1.076620749168023e0	3.437447584100763e-3
73	31	3.210553742476205e0	1.025069432688237e-2
73	32	2.475143016117610e0	7.902666178068918e-3
73	33	6.242971223657532e0	1.993263307153951e-2
73	34	1.013165355615698e1	3.234846445832566e-2
73	35	1.504971104970696e1	4.805089715130142e-2
73	36	2.730948170573060e1	8.719403929837975e-2
73	37	2.730948170573060e1	8.719403929837975e-2
73	38	1.504971104970696e1	4.805089715130142e-2
73	39	1.013165355615698e1	3.234846445832566e-2
73	40	6.242971223657532e0	1.993263307153951e-2
73	41	2.475143016117610e0	7.902666178068918e-3
73	42	3.210553742476205e0	1.025069432688237e-2
73	43	1.076620749168023e0	3.437447584100763e-3
73	44	5.497772810579285e0	1.755335467969071e-2
73	45	1.175756486023345e0	3.753969348533332e-3
73	46	3.916342409618686e0	1.250414481130730e-2
73	47	6.812530828226482e0	2.175112977823949e-2
73	48	1.448264840852203e1	4.624037277911072e-2
73	49	1.038481457713165e1	3.315675998914313e-2
73	50	4.537438843296991e-1	1.448718892139987e-3
73	51	5.891026103819230e0	1.880893849026832e-2
73	52	1.004434623201137e1	3.206970859123826e-2
73	53	9.792043075781990e0	3.126415206122348e-2
73	54	1.232926434862201e1	3.936502243864537e-2
73	55	5.067265587068300e-1	1.617882607568661e-3
73	56	8.638153747115526e0	2.758000043381957e-2
73	57	1.035583007419064e1	3.306421792204295e-2
73	58	1.650982308207012e1	5.271276028373851e-2
73	59	1.113792951846010e1	3.556131436692210e-2
73	60	1.524977838154944e1	4.868967451745460e-2
73	61	1.153547260358012e1	3.683059467623973e-2
73	62	1.902822752717274e1	6.075355206886468e-2
73	63	1.948921682803272e1	6.222540421342160e-2
73	64	1.921996978804567e1	6.136574904901485e-2
73	65	2.222730194534847e1	7.096759507204342e-2
73	66	2.757415711798676e1	8.803909811517656e-2
73	67	2.933196254803515e1	9.365144028256316e-2
73	68	3.466853240663612e1	1.106901042522188e-1
73	69	3.896043792359840e1	1.243933514373316e-1
73	70	4.563475562944829e1	1.457031927080148e-1
73	71	5.493189427314189e1	1.753872079887075e-1
73	72	7.072177615094364e1	2.258013313984871e-1
74	1	7.200665486946136e1	2.260799691848923e-1
74	3	4.695480901241681e1	1.474244539460177e-1
74	5	3.625764356966961e1	1.138384633449232e-1
74	7	2.788918101878087e1	8.756392303945155e-2
74	9	2.145915078283394e1	6.737549684139837e-2
74	11	1.994748194673561e1	6.262929602839803e-2
74	13	1.578830467184880e1	4.957068815603445e-2
74	15	2.000898350989663e1	6.282239306268567e-2
74	17	8.221298962373297e0	2.581248940730089e-2
74	19	1.508332293718446e1	4.735725039618066e-2
74	21	2.733316587058475e0	8.581819706733973e-3
74	23	1.526421752438205e0	4.792520682706173e-3
74	25	2.012655243300743e1	6.319152531250584e-2
74	27	7.347635242374604e0	2.306943923710014e-2
74	29	3.806598373252944e-1	1.195161259031452e-3
74	31	2.294645105401346e-1	7.204518744272575e-4
74	33	2.073770178341771e0	6.511035665606160e-3
74	35	1.248448786003964e1	3.919766354656713e-2
74	39	1.248448786003964e1	3.919766354656713e-2
74	41	2.073770178341771e0	6.511035665606160e-3
74	43	2.294645105401346e-1	7.204518744272575e-4
74	45	3.806598373252944e-1	1.195161259031452e-3
74	47	7.347635242374604e0	2.306943923710014e-2
74	49	2.012655243300743e1	6.319152531250584e-2
74	51	1.526421752438205e0	4.792520682706173e-3
74	53	2.733316587058475e0	8.581819706733973e-3
74	55	1.508332293718446e1	4.735725039618066e-2
74	57	8.221298962373297e0	2.581248940730089e-2
74	59	2.000898350989663e1	6.282239306268567e-2
74	61	1.578830467184880e1	4.957068815603445e-2
74	63	1.994748194673561e1	6.262929602839803e-2
74	65	2.145915078283394e1	6.737549684139837e-2
74	67	2.788918101878087e1	8.756392303945155e-2
74	69	3.625764356966961e1	1.138384633449232e-1
74	71	4.695480901241681e1	1.474244539460177e-1
74	73	7.200665486946136e1	2.260799691848923e-1
75	1	7.329583563461127e1	2.263533292419485e-1
75	2	5.706473035866513e1	1.762281797750384e-1
75	4	4.165182540662955e1	1.286298091585292e-1
75	7	2.935124174146534e1	9.064295710722012e-2
75	8	2.544724521901590e1	7.858657487821211e-2
75	11	2.141468108681821e1	6.613314817529604e-2
75	13	1.745803922344057e1	5.391418579306373e-2
75	14	1.293975481796919e1	3.996075025630484e-2
75	16	1.201434948472557e1	3.710289924383840e-2
75	17	1.034180978420822e1	3.193773636352515e-2
75	19	1.942948635949851e1	6.000243922257370e-2
75	22	5.299369529641783e0	1.636559465530293e-2
75	23	1.503750428903170e0	4.643905250334701e-3
75	26	1.215640599915315e1	3.754160036106810e-2
75	28	9.174929004055955e-1	2.833415715429676e-3
75	29	1.774844472065098e0	5.481102052527735e-3
75	31	7.911478556509046e-1	2.443235000988887e-3
75	32	5.719059791571069e0	1.766168859045768e-2
75	34	7.965785159870550e0	2.460006049936303e-2
75	37	2.837582803878901e1	8.763066947754278e-2
75	38	2.837582803878901e1	8.763066947754278e-2
75	41	7.965785159870550e0	2.460006049936303e-2
75	43	5.719059791571069e0	1.766168859045768e-2
75	44	7.911478556509046e-1	2.443235000988887e-3
75	46	1.774844472065098e0	5.481102052527735e-3
75	47	9.174929004055955e-1	2.833415715429676e-3
75	49	1.215640599915315e1	3.754160036106810e-2
75	52	1.503750428903170e0	4.643905250334701e-3
75	53	5.299369529641783e0	1.636559465530293e-2
75	56	1.942948635949851e1	6.000243922257370e-2
75	58	1.034180978420822e1	3.193773636352515e-2
75	59	1.201434948472557e1	3.710289924383840e-2
75	61	1.293975481796919e1	3.996075025630484e-2
75	62	1.745803922344057e1	5.391418579306373e-2
75	64	2.141468108681821e1	6.613314817529604e-2
75	67	2.544724521901590e1	7.858657487821211e-2
75	68	2.935124174146534e1	9.064295710722012e-2
75	71	4.165182540662955e1	1.286298091585292e-1
